jppfs_cor:OtherNetPPE,その他（純額）、有形固定資産,"Other, net","Other, net-PPE"
jppfs_cor:AccumulatedDepreciationPPEByGroup,減価償却累計額、有形固定資産、一括控除,Accumulated depreciation,Accumulated depreciation-PPE-by group
jppfs_cor:AccumulatedImpairmentLossPPEByGroup,減損損失累計額、有形固定資産、一括控除,Accumulated impairment loss,Accumulated impairment loss-PPE-by group
jppfs_cor:AccumulatedDepreciationAndImpairmentLossPPEByGroup,減価償却累計額及び減損損失累計額、有形固定資産、一括控除,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-PPE-by group
jppfs_cor:PropertyPlantAndEquipment,有形固定資産,"Property, plant and equipment","Property, plant and equipment"
jppfs_cor:IntangibleAssetsAbstract,無形固定資産 [タイトル項目],Intangible assets,Intangible assets [abstract]
jppfs_cor:LeaseholdRight,借地権,Leasehold right,Leasehold right
jppfs_cor:PatentRight,特許権,Patent right,Patent right
jppfs_cor:Software,ソフトウエア,Software,Software
jppfs_cor:LeaseAssetsIA,リース資産、無形固定資産,Leased assets,Leased assets-IA
jppfs_cor:OtherIA,その他、無形固定資産,Other,Other-IA
jppfs_cor:IntangibleAssets,無形固定資産,Intangible assets,Intangible assets
jppfs_cor:InvestmentsAndOtherAssetsAbstract,投資その他の資産 [タイトル項目],Investments and other assets,Investments and other assets [abstract]
jppfs_cor:InvestmentSecurities,投資有価証券,Investment securities,Investment securities
jppfs_cor:StocksOfSubsidiariesAndAffiliates,関係会社株式,Shares of subsidiaries and associates,Shares of subsidiaries and associates
jppfs_cor:BondsOfSubsidiariesAndAffiliates,関係会社社債,Bonds of subsidiaries and associates,Bonds of subsidiaries and associates
jppfs_cor:InvestmentsInOtherSecuritiesOfSubsidiariesAndAffiliates,その他の関係会社有価証券,Investments in other securities of subsidiaries and associates,Investments in other securities of subsidiaries and associates
jppfs_cor:InvestmentsInCapital,出資金,Investments in capital,Investments in capital
jppfs_cor:InvestmentsInCapitalOfSubsidiariesAndAffiliates,関係会社出資金,Investments in capital of subsidiaries and associates,Investments in capital of subsidiaries and associates
jppfs_cor:ReservedAssetsForDepreciationEDU,減価償却引当特定資産、学校法人,Reserved assets for depreciation,Reserved assets for depreciation-EDU
jppfs_cor:LongTermLoansReceivable,長期貸付金,Long-term loans receivable,Long-term loans receivable
jppfs_cor:AllowanceForDoubtfulAccountsLongTermLoansReceivable,貸倒引当金、長期貸付金,Allowance for doubtful accounts,Allowance for doubtful accounts-long-term loans receivable
jppfs_cor:LongTermLoansReceivableNet,長期貸付金（純額）,"Long-term loans receivable, net","Long-term loans receivable, net"
jppfs_cor:LongTermLoansReceivableFromDirectorsAndOtherEDU,役員等長期貸付金、学校法人,Long-term loans receivable from directors and other,Long-term loans receivable from directors and other-EDU
jppfs_cor:AllowanceForDoubtfulAccountsLongTermLoansReceivableFromDirectorsAndOtherEDU,貸倒引当金、役員等長期貸付金、学校法人,Allowance for doubtful accounts,Allowance for doubtful accounts-long-term loans receivable from directors and other-EDU
jppfs_cor:LongTermLoansReceivableFromDirectorsAndOtherNetEDU,役員等長期貸付金（純額）、学校法人,"Long-term loans receivable from directors and other, net","Long-term loans receivable from directors and other, net-EDU"
jppfs_cor:LongTermLoansReceivableFromSubsidiariesAndAffiliates,関係会社長期貸付金,Long-term loans receivable from subsidiaries and associates,Long-term loans receivable from subsidiaries and associates
jppfs_cor:AllowanceForDoubtfulAccountsLongTermLoansReceivableFromSubsidiariesAndAffiliates,貸倒引当金、関係会社長期貸付金,Allowance for doubtful accounts,Allowance for doubtful accounts-long-term loans receivable from subsidiaries and affiliates
jppfs_cor:LongTermLoansReceivableFromSubsidiariesAndAffiliatesNet,関係会社長期貸付金（純額）,"Long-term loans receivable from subsidiaries and associates, net","Long-term loans receivable from subsidiaries and associates, net"
jppfs_cor:ClaimsProvableInBankruptcyClaimsProvableInRehabilitationAndOther,破産更生債権等,"Claims provable in bankruptcy, claims provable in rehabilitation and other","Claims provable in bankruptcy, claims provable in rehabilitation and other"
jppfs_cor:AllowanceForDoubtfulAccountsClaimsInBankruptcyReorganizationClaimsAndOther,貸倒引当金、破産更生債権等,Allowance for doubtful accounts,"Allowance for doubtful accounts-claims provable in bankruptcy, claims provable in rehabilitation and other"
jppfs_cor:ClaimsProvableInBankruptcyClaimsProvableInRehabilitationAndOtherNet,破産更生債権等（純額）,"Claims provable in bankruptcy, claims provable in rehabilitation and other, net","Claims provable in bankruptcy, claims provable in rehabilitation and other, net"
jppfs_cor:LongTermPrepaidExpenses,長期前払費用,Long-term prepaid expenses,Long-term prepaid expenses
jppfs_cor:DeferredTaxAssetsIOA,繰延税金資産、投資その他の資産,Deferred tax assets,Deferred tax assets-IOA
jppfs_cor:RealEstateForInvestmentNet,投資不動産（純額）,"Real estate for investment, net","Real estate for investment, net"
jppfs_cor:OtherNCAEDU,その他、固定資産、学校法人,Other,Other-NCA-EDU
jppfs_cor:AllowanceForDoubtfulAccountsIOAByGroup,貸倒引当金、投資その他の資産、一括控除,Allowance for doubtful accounts,Allowance for doubtful accounts-IOA-by group
jppfs_cor:InvestmentsAndOtherAssets,投資その他の資産,Investments and other assets,Investments and other assets
jppfs_cor:NoncurrentAssets,固定資産,Non-current assets,Non-current assets
jppfs_cor:DeferredAssetsAbstract,繰延資産 [タイトル項目],Deferred assets,Deferred assets [abstract]
jppfs_cor:SchoolBondIssuanceCostEDU,学校債発行費、学校法人,School bond issuance cost,School bond issuance cost-EDU
jppfs_cor:SchoolEstablishmentExpensesEDU,開設費、学校法人,School establishment expenses,School establishment expenses-EDU
jppfs_cor:DeferredAssets,繰延資産,Deferred assets,Deferred assets
jppfs_cor:CurrentAssetsAbstract,流動資産 [タイトル項目],Current assets,Current assets [abstract]
jppfs_cor:CashAndDeposits,現金及び預金,Cash and deposits,Cash and deposits
jppfs_cor:AccountsReceivableEDU,未収入金、学校法人,Accounts receivable,Accounts receivable-EDU
jppfs_cor:AllowanceForDoubtfulAccountsAccountsReceivableEDU,貸倒引当金、未収入金、学校法人,Allowance for doubtful accounts,Allowance for doubtful accounts-accounts receivable-EDU
jppfs_cor:AccountsReceivableNetEDU,未収入金（純額）、学校法人,"Accounts receivable, net","Accounts receivable, net-EDU"
jppfs_cor:LeaseReceivablesCA,リース債権、流動資産,Lease receivables,Lease receivables-CA
jppfs_cor:AllowanceForDoubtfulAccountsLeaseReceivablesCA,貸倒引当金、リース債権、流動資産,Allowance for doubtful accounts,Allowance for doubtful accounts-lease receivables-CA
jppfs_cor:LeaseReceivablesNetCA,リース債権（純額）、流動資産,"Lease receivables, net","Lease receivables, net-CA"
jppfs_cor:LeaseInvestmentAssetsCA,リース投資資産、流動資産,Lease investment assets,Lease investment assets-CA
jppfs_cor:AllowanceForDoubtfulAccountsLeaseInvestmentAssetsCA,貸倒引当金、リース投資資産、流動資産,Allowance for doubtful accounts,Allowance for doubtful accounts-lease investment assets-CA
jppfs_cor:LeaseInvestmentAssetsNetCA,リース投資資産（純額）、流動資産,"Lease investment assets, net","Lease investment assets, net-CA"
jppfs_cor:ShortTermInvestmentSecurities,有価証券,Securities,Securities
jppfs_cor:Inventories,たな卸資産,Inventories,Inventories
jppfs_cor:ShortTermLoansReceivable,短期貸付金,Short-term loans receivable,Short-term loans receivable
