タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
jppfs_cor:SpecialReserveForExpansionOfRailwayTransportCapacityCARWY,特定都市鉄道整備積立金、流動資産、鉄道事業,Special reserve for expansion of railway transport capacity,Special reserve for expansion of railway transport capacity-CA-RWY
jppfs_cor:LandAndBuildingsForSaleCARWY,販売土地及び建物、流動資産、鉄道事業,Land and buildings for sale,Land and buildings for sale-CA-RWY
jppfs_cor:OtherCA,その他、流動資産,Other,Other-CA
jppfs_cor:AllowanceForDoubtfulAccountsCA,貸倒引当金、流動資産、一括控除,Allowance for doubtful accounts,Allowance for doubtful accounts-CA-by group
jppfs_cor:CurrentAssets,流動資産,Current assets,Current assets
jppfs_cor:NotesAccountsReceivableTradeAndAccruedFreightRWY,受取手形、売掛金及び未収運賃、鉄道事業,"Notes, accounts receivable - trade and accrued freight","Notes, accounts receivable-trade and accrued freight-RWY"
jppfs_cor:NoncurrentAssetsAbstract,固定資産 [タイトル項目],Non-current assets,Non-current assets [abstract]
jppfs_cor:NoncurrentAssetsRailwayBusinessAbstractRWY,鉄道事業固定資産、鉄道事業 [タイトル項目],Non-current assets - railway business,Non-current assets - railway business-RWY [abstract]
jppfs_cor:PropertyPlantAndEquipmentNCARailway,有形固定資産、鉄道事業固定資産,"Property, plant and equipment","Property, plant and equipment-NCA-railway"
jppfs_cor:AccumulatedDepreciationPPERailway,減価償却累計額、鉄道事業有形固定資産,Accumulated depreciation,Accumulated depreciation-PPE-railway
jppfs_cor:PropertyPlantAndEquipmentNetNCARailway,有形固定資産（純額）、鉄道事業固定資産,"Property, plant and equipment, net","Property, plant and equipment, net-NCA-railway"
jppfs_cor:BuildingsRWY,建物、鉄道事業,Buildings,Buildings-RWY
jppfs_cor:MachineryAndEquipmentRWY,機械及び装置、鉄道事業,Machinery and equipment,Machinery and equipment-RWY
jppfs_cor:StructuresRWY,構築物、鉄道事業,Structures,Structures-RWY
jppfs_cor:ToolsFurnitureAndFixturesRWY,工具、器具及び備品、鉄道事業,"Tools, furniture and fixtures","Tools, furniture and fixtures-RWY"
jppfs_cor:RollingStockRWY,車両、鉄道事業,Rolling stock,Rolling stock-RWY
jppfs_cor:LandRWY,土地、鉄道事業,Land,Land-RWY
jppfs_cor:IntangibleAssetsNCARWY,無形固定資産、鉄道事業固定資産,Intangible assets,Intangible assets-NCA-RWY
jppfs_cor:SoftwareRWY,ソフトウエア、鉄道事業,Software,Software-RWY
jppfs_cor:RightOfUsingFacilitiesRWY,施設利用権、鉄道事業,Right of using facilities,Right of using facilities-RWY
jppfs_cor:LeaseholdRightRWY,借地権、鉄道事業,Leasehold right,Leasehold right-RWY
