jppfs_cor:AccountsReceivableInstallment,割賦売掛金,Accounts receivable - installment,Accounts receivable-installment
jppfs_cor:AccountsReceivableDevelopmentBusiness,開発事業未収入金,Accounts receivable - development business,Accounts receivable-development business
jppfs_cor:AccountsReceivableRealEstateBusiness,不動産事業未収入金,Accounts receivable - real estate business,Accounts receivable-real estate business
jppfs_cor:AccountsReceivableCompletedOperation,完成業務未収入金,Accounts receivable - completed operation,Accounts receivable-completed operation
jppfs_cor:AccountsReceivableDueFromFranchisedStores,加盟店貸勘定,Accounts receivable - due from franchised stores,Accounts receivable-due from franchised stores
jppfs_cor:NotesAndOperatingAccountsReceivableCA,受取手形及び営業未収入金、流動資産,Notes and operating accounts receivable,Notes and operating accounts receivable-CA
jppfs_cor:OperatingAccountsReceivableCA,営業未収入金、流動資産,Operating accounts receivable,Operating accounts receivable-CA
jppfs_cor:ElectronicallyRecordedMonetaryClaimsOperatingCA,電子記録債権、流動資産,Electronically recorded monetary claims - operating,Electronically recorded monetary claims-operating-CA
jppfs_cor:OperatingLoansCA,営業貸付金、流動資産,Operating loans,Operating loans-CA
jppfs_cor:SecuritiesTradingAndMaturedWithinOneYearAbstract,売買目的有価証券及び1年内に満期の到来する有価証券 [タイトル項目],Securities - trading and matured within one year,Securities-trading and matured within one year [abstract]
jppfs_cor:ShortTermInvestmentSecurities,有価証券,Securities,Securities
jppfs_cor:StocksOfParentCompanyCA,親会社株式、流動資産,Shares of parent,Shares of parent-CA
jppfs_cor:MoneyHeldInTrustCA,金銭の信託、流動資産,Money held in trust,Money held in trust-CA
jppfs_cor:OperationalInvestmentSecuritiesCA,営業投資有価証券、流動資産,Operational investment securities,Operational investment securities-CA
jppfs_cor:Inventories,たな卸資産,Inventories,Inventories
jppfs_cor:Merchandise,商品,Merchandise,Merchandise
jppfs_cor:GoodsInTransit,未着商品,Goods in transit,Goods in transit
jppfs_cor:FinishedGoodsByProductsAndScrapsCAAbstract,製品、副産物及び作業くず、流動資産 [タイトル項目],"Finished goods, by-products and scraps","Finished goods, by-products and scraps-CA [abstract]"
jppfs_cor:FinishedGoods,製品,Finished goods,Finished goods
jppfs_cor:ByProduct,副産物,By-product,By-product
jppfs_cor:MerchandiseAndFinishedGoods,商品及び製品,Merchandise and finished goods,Merchandise and finished goods
jppfs_cor:SemiFinishedGoods,半製品,Semi-finished goods,Semi-finished goods
jppfs_cor:RawMaterialsAndMaterialsCAAbstract,原料及び材料、流動資産 [タイトル項目],Raw materials and materials,Raw materials and materials-CA [abstract]
jppfs_cor:RawMaterials,原材料,Raw materials,Raw materials
jppfs_cor:RawMaterialsAndSupplies,原材料及び貯蔵品,Raw materials and supplies,Raw materials and supplies
jppfs_cor:RawMaterialsInTransit,未着原材料,Raw materials in transit,Raw materials in transit
jppfs_cor:WorkInProcessAndPartlyFinishedConstructionCAAbstract,仕掛品及び半成工事、流動資産 [タイトル項目],Work in process and partly-finished work,Work in process and partly-finished work-CA [abstract]
jppfs_cor:WorkInProcess,仕掛品,Work in process,Work in process
jppfs_cor:PartlyFinishedWork,半成工事,Partly-finished work,Partly-finished work
jppfs_cor:SuppliesAndOtherReasonableValueCAAbstract,消耗品、消耗工具、器具及び備品その他の貯蔵品で相当額以上のもの、流動資産 [タイトル項目],Supplies and other - reasonable value,Supplies and other-reasonable value-CA [abstract]
jppfs_cor:Supplies,貯蔵品,Supplies,Supplies
jppfs_cor:RealEstateForSale,販売用不動産,Real estate for sale,Real estate for sale
jppfs_cor:RealEstateForSaleInProcess,仕掛販売用不動産,Real estate for sale in process,Real estate for sale in process
jppfs_cor:DevelopmentProjectsInProgress,開発事業等支出金,Development projects in progress,Development projects in progress
jppfs_cor:CostsOnRealEstateBusiness,不動産事業支出金,Costs on real estate business,Costs on real estate business
jppfs_cor:CostsOnUncompletedServices,未成業務支出金,Costs on uncompleted services,Costs on uncompleted services
jppfs_cor:LandAndBuildingsForSaleInLots,分譲土地建物,Land and buildings for sale in lots,Land and buildings for sale in lots
jppfs_cor:LandForSaleInLots,分譲土地,Land for sale in lots,Land for sale in lots
jppfs_cor:OtherInventories,その他のたな卸資産,Other inventories,Other inventories
jppfs_cor:AdvancePaymentsTrade,前渡金,Advance payments - trade,Advance payments-trade
jppfs_cor:AdvancePaymentsOther,前払金,Advance payments - other,Advance payments-other
jppfs_cor:PrepaidExpenses,前払費用,Prepaid expenses,Prepaid expenses
jppfs_cor:DeferredTaxAssetsCA,繰延税金資産、流動資産,Deferred tax assets,Deferred tax assets-CA
jppfs_cor:AccruedIncome,未収収益,Accrued income,Accrued income
jppfs_cor:AccruedInterest,未収利息,Accrued interest,Accrued interest
jppfs_cor:OtherAssetsEncashedWithinOneYearAbstract,その他の資産で1年内に現金化できると認められるもの [タイトル項目],Other assets - encashed within one year,Other assets-encashed within one year [abstract]
jppfs_cor:ShortTermClaimsOnShareholdersDirectorsOrEmployees,株主、役員又は従業員に対する短期債権,"Short-term claims on shareholders, directors (and other officers) or employees","Short-term claims on shareholders, directors (and other officers) or employees"
