jppfs_cor:FinishedGoods,製品,Finished goods,Finished goods
jppfs_cor:WorkInProcess,仕掛品,Work in process,Work in process
jppfs_cor:RawMaterialsAndSupplies,原材料及び貯蔵品,Raw materials and supplies,Raw materials and supplies
jppfs_cor:RawMaterialsCAGAS,原料、流動資産、ガス事業,Raw materials,Raw materials-CA-GAS
jppfs_cor:Supplies,貯蔵品,Supplies,Supplies
jppfs_cor:AdvancePaymentsCAGAS,前払金、流動資産、ガス事業,Advance payments,Advance payments-CA-GAS
jppfs_cor:PrepaidExpenses,前払費用,Prepaid expenses,Prepaid expenses
jppfs_cor:ShortTermReceivablesFromSubsidiariesAndAffiliatesCAGAS,関係会社短期債権、流動資産、ガス事業,Short-term receivables from subsidiaries and associates,Short-term receivables from subsidiaries and associates-CA-GAS
jppfs_cor:StocksOfParentCompanyCA,親会社株式、流動資産,Shares of parent,Shares of parent-CA
jppfs_cor:DeferredTaxAssetsCA,繰延税金資産、流動資産,Deferred tax assets,Deferred tax assets-CA
jppfs_cor:CurrentAssetsForIncidentalBusinessesCAGAS,附帯事業流動資産、流動資産、ガス事業,Current assets for incidental businesses,Current assets for incidental businesses-CA-GAS
jppfs_cor:RelatedConstructionGAS,受注工事勘定、ガス事業,Related construction,Related construction-GAS
jppfs_cor:OtherCA,その他、流動資産,Other,Other-CA
jppfs_cor:AllowanceForDoubtfulAccountsCA,貸倒引当金、流動資産、一括控除,Allowance for doubtful accounts,Allowance for doubtful accounts-CA-by group
jppfs_cor:CurrentAssets,流動資産,Current assets,Current assets
jppfs_cor:DeferredAssetsAbstract,繰延資産 [タイトル項目],Deferred assets,Deferred assets [abstract]
jppfs_cor:DeferredOrganizationExpensesDA,創立費、繰延資産,Deferred organization expenses,Deferred organization expenses-DA
jppfs_cor:BusinessCommencementExpensesDA,開業費、繰延資産,Business commencement expenses,Business commencement expenses-DA
jppfs_cor:StockIssuanceCostDA,株式交付費、繰延資産,Share issuance cost,Share issuance cost-DA
jppfs_cor:BondIssuanceCostDA,社債発行費、繰延資産,Bond issuance cost,Bond issuance cost-DA
jppfs_cor:CorporateBondIssuanceCostDAGAS,企業債発行費、繰延資産、ガス事業,Corporate bond issuance cost,Corporate bond issuance cost-DA-GAS
jppfs_cor:CorporateBondDiscountDAGAS,企業債発行差金、繰延資産、ガス事業,Corporate bond discount,Corporate bond discount-DA-GAS
jppfs_cor:DevelopmentExpensesDA,開発費、繰延資産,Development expenses,Development expenses-DA
jppfs_cor:NonrecurringLossDAGAS,臨時損失、繰延資産、ガス事業,Nonrecurring loss,Nonrecurring loss-DA-GAS
jppfs_cor:DeferredAssets,繰延資産,Deferred assets,Deferred assets
jppfs_cor:Assets,資産,Assets,Assets
jppfs_cor:LiabilitiesAbstract,負債の部 [タイトル項目],Liabilities,Liabilities [abstract]
jppfs_cor:NoncurrentLiabilitiesAbstract,固定負債 [タイトル項目],Non-current liabilities,Non-current liabilities [abstract]
jppfs_cor:BondsPayable,社債,Bonds payable,Bonds payable
jppfs_cor:CorporateBondsNCLGAS,企業債、固定負債、ガス事業,Corporate bonds,Corporate bonds-NCL-GAS
jppfs_cor:LongTermLoansPayable,長期借入金,Long-term loans payable,Long-term loans payable
jppfs_cor:LongTermDebtToSubsidiariesAndAffiliatesNCLGAS,関係会社長期債務、固定負債、ガス事業,Long-term debt to subsidiaries and associates,Long-term debt to subsidiaries and associates-NCL-GAS
