タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
jppfs_cor:AccumulatedDepreciationBuildingNCATelecommunications,減価償却累計額、建物、電気通信事業固定資産,Accumulated depreciation,Accumulated depreciation-building-NCA-telecommunications
jppfs_cor:BuildingsNetNCATelecommunications,建物（純額）、電気通信事業固定資産,"Buildings, net","Buildings, net-NCA-telecommunications"
jppfs_cor:StructuresNCATelecommunications,構築物、電気通信事業固定資産,Structures,Structures-NCA-telecommunications
jppfs_cor:AccumulatedDepreciationStructuresNCATelecommunications,減価償却累計額、構築物、電気通信事業固定資産,Accumulated depreciation,Accumulated depreciation-structures-NCA-telecommunications
jppfs_cor:StructuresNetNCATelecommunications,構築物（純額）、電気通信事業固定資産,"Structures, net","Structures, net-NCA-telecommunications"
jppfs_cor:MachineryAndEquipmentNCATelecommunications,機械及び装置、電気通信事業固定資産,Machinery and equipment,Machinery and equipment-NCA-telecommunications
jppfs_cor:AccumulatedDepreciationMachineryAndEquipmentNCATelecommunications,減価償却累計額、機械及び装置、電気通信事業固定資産,Accumulated depreciation,Accumulated depreciation-machinery and equipment-NCA-telecommunications
jppfs_cor:MachineryAndEquipmentNetNCATelecommunications,機械及び装置（純額）、電気通信事業固定資産,"Machinery and equipment, net","Machinery and equipment, net-NCA-telecommunications"
jppfs_cor:VehicleAndShipsNCATelecommunications,車両及び船舶、電気通信事業固定資産,Vehicle and ships,Vehicle and ships-NCA-telecommunications
jppfs_cor:AccumulatedDepreciationVehicleNCATelecommunications,減価償却累計額、車両及び船舶、電気通信事業固定資産,Accumulated depreciation,Accumulated depreciation-vehicle-NCA-telecommunications
jppfs_cor:VehicleAndShipsNetNCATelecommunications,車両及び船舶（純額）、電気通信事業固定資産,"Vehicle and ships, net","Vehicle and ships, net-NCA-telecommunications"
jppfs_cor:VehiclesNCATelecommunications,車両、電気通信事業固定資産,Vehicles,Vehicles-NCA-telecommunications
jppfs_cor:AccumulatedDepreciationVehiclesNCATelecommunications,減価償却累計額、車両、電気通信事業固定資産,Accumulated depreciation,Accumulated depreciation-vehicles-NCA-telecommunications
jppfs_cor:VehiclesNetNCATelecommunications,車両（純額）、電気通信事業固定資産,"Vehicles, net","Vehicles, net-NCA-telecommunications"
jppfs_cor:ToolsFurnitureAndFixturesNCATelecommunications,工具、器具及び備品、電気通信事業固定資産,"Tools, furniture and fixtures","Tools, furniture and fixtures-NCA-telecommunications"
jppfs_cor:AccumulatedDepreciationToolsFurnitureAndFixturesNCATelecommunications,減価償却累計額、工具、器具及び備品、電気通信事業固定資産,Accumulated depreciation,"Accumulated depreciation-tools, furniture and fixtures-NCA-telecommunications"
jppfs_cor:ToolsFurnitureAndFixturesNetNCATelecommunications,工具、器具及び備品（純額）、電気通信事業固定資産,"Tools, furniture and fixtures, net","Tools, furniture and fixtures, net-NCA-telecommunications"
jppfs_cor:InactiveFacilitiesNCATelecommunications,休止設備、電気通信事業固定資産,Inactive facilities,Inactive facilities-NCA-telecommunications
jppfs_cor:AccumulatedDepreciationInactiveNCATelecommunications,減価償却累計額、休止設備、電気通信事業固定資産,Accumulated depreciation,Accumulated depreciation-inactive-NCA-telecommunications
jppfs_cor:InactiveFacilitiesNetNCATelecommunications,休止設備（純額）、電気通信事業固定資産,"Inactive facilities, net","Inactive facilities, net-NCA-telecommunications"
jppfs_cor:LandNCATelecommunications,土地、電気通信事業固定資産,Land,Land-NCA-telecommunications
jppfs_cor:LeaseAssetsNCATelecommunications,リース資産、電気通信事業固定資産,Leased assets,Leased assets-NCA-telecommunications
jppfs_cor:AccumulatedDepreciationLeaseAssetsNCATelecommunications,減価償却累計額、リース資産、電気通信事業固定資産,Accumulated depreciation,Accumulated depreciation-lease assets-NCA-telecommunications
jppfs_cor:LeaseAssetsNetNCATelecommunications,リース資産（純額）、電気通信事業固定資産,"Leased assets, net","Leased assets, net-NCA-telecommunications"
jppfs_cor:ConstructionInProgressNCATelecommunications,建設仮勘定、電気通信事業固定資産,Construction in progress,Construction in progress-NCA-telecommunications
jppfs_cor:PropertyPlantAndEquipmentNCATelecommunications,有形固定資産、電気通信事業固定資産,"Property, plant and equipment","Property, plant and equipment-NCA-telecommunications"
jppfs_cor:IntangibleAssetsNCATelecommunicationsAbstract,無形固定資産、電気通信事業固定資産 [タイトル項目],Intangible assets,Intangible assets-NCA-telecommunications [abstract]
jppfs_cor:RightOfUsingSubmarineLineFacilitiesIANCATelecommunications,海底線使用権、無形固定資産、電気通信事業固定資産,Right of using submarine line facilities,Right of using submarine line facilities-IA-NCA-telecommunications
jppfs_cor:RightOfUsingSatelliteIANCATelecommunications,衛星利用権、無形固定資産、電気通信事業固定資産,Right of using satellite,Right of using satellite-IA-NCA-telecommunications
jppfs_cor:RightOfUsingFacilitiesIANCATelecommunications,施設利用権、無形固定資産、電気通信事業固定資産,Right of using facilities,Right of using facilities-IA-NCA-telecommunications
jppfs_cor:SoftwareIANCATelecommunications,ソフトウェア、無形固定資産、電気通信事業固定資産,Software,Software-IA-NCA-telecommunications
jppfs_cor:GoodwillIAELC,のれん、無形固定資産、電気通信事業固定資産,Goodwill,Goodwill-IA-ELC
