,タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
213,jppfs_cor:SubscriptionRightsToSharesMember,新株予約権 [メンバー],Share acquisition rights,Share acquisition rights [member]
214,jppfs_cor:NonControllingInterestsMember,非支配株主持分 [メンバー],Non-controlling interests,Non-controlling interests [member]
215,jppfs_cor:StatementOfChangesInEquityLineItems,株主資本等変動計算書 [表示項目],Statement of changes in equity,Statement of changes in equity [line items]
216,jppfs_cor:NetAssets,純資産,Net assets,Net assets
217,jppfs_cor:ChangesOfItemsDuringThePeriodAbstract,当期変動額 [タイトル項目],Changes of items during period,Changes of items during period [abstract]
218,jppfs_cor:IssuanceOfNewShares,新株の発行,Issuance of new shares,Issuance of new shares
219,jppfs_cor:DividendsFromSurplus,剰余金の配当,Dividends of surplus,Dividends of surplus
220,jppfs_cor:ProfitLossAttributableToOwnersOfParent,親会社株主に帰属する当期純利益又は親会社株主に帰属する当期純損失（△）,Profit (loss) attributable to owners of parent,Profit (loss) attributable to owners of parent
221,jppfs_cor:ProfitLoss,当期純利益又は当期純損失（△）（平成26年3月28日財規等改正後）,Profit (loss),Profit (loss) (after amendment dated 2014-03-28)
222,jppfs_cor:DisposalOfTreasuryStock,自己株式の処分,Disposal of treasury shares,Disposal of treasury shares
223,jppfs_cor:NetChangesOfItemsOtherThanShareholdersEquity,株主資本以外の項目の当期変動額（純額）,Net changes of items other than shareholders' equity,Net changes of items other than shareholders' equity
224,jppfs_cor:TotalChangesOfItemsDuringThePeriod,当期変動額合計,Total changes of items during period,Total changes of items during period
225,nan,,,
226,nan,,,
227,名前空間プレフィックス:要素名,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
228,jppfs_cor:StatementOfCashFlowsAbstract,キャッシュ・フロー計算書 [タイトル項目],Statement of cash flows,Statement of cash flows [abstract]
229,jppfs_cor:StatementOfCashFlowsTable,キャッシュ・フロー計算書 [表],Statement of cash flows,Statement of cash flows [table]
230,jppfs_cor:StatementOfCashFlowsLineItems,キャッシュ・フロー計算書 [表示項目],Statement of cash flows,Statement of cash flows [line items]
231,jppfs_cor:NetCashProvidedByUsedInOperatingActivitiesAbstract,営業活動によるキャッシュ・フロー [タイトル項目],Cash flows from operating activities,Cash flows from operating activities [abstract]
232,jppfs_cor:SubtotalOpeCF,小計、営業活動によるキャッシュ・フロー,Subtotal,Subtotal-OpeCF
233,jppfs_cor:LossGainFromValuationOfTradingProductsOpeCFSEC,トレーディング商品評価損益（△は益）、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Loss (gain) from valuation of trading products,Loss (gain) from valuation of trading products-OpeCF-SEC
234,jppfs_cor:DecreaseIncreaseInTradingProductsAssetsOpeCFSEC,トレーディング商品（資産）の増減額（△は増加）、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Decrease (increase) in trading products (assets),Decrease (increase) in trading products (assets)-OpeCF-SEC
235,jppfs_cor:IncreaseDecreaseInTradingProductsLiabilitiesOpeCFSEC,トレーディング商品（負債）の増減額（△は減少）、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Increase (decrease) in trading products (liabilities),Increase (decrease) in trading products (liabilities)-OpeCF-SEC
236,jppfs_cor:DecreaseIncreaseInTradingProductsAssetsLiabilitiesOpeCFSEC,トレーディング商品の増減額、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Decrease (increase) in trading products - assets (liabilities),Decrease (increase) in trading products-assets (liabilities)-OpeCF-SEC
237,jppfs_cor:DecreaseIncreaseInCashSegregatedAsDepositsForCustomersOpeCFSEC,顧客分別金信託の増減額（△は増加）、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Decrease (increase) in cash segregated as deposits for customers,Decrease (increase) in cash segregated as deposits for customers-OpeCF-SEC
238,jppfs_cor:IncreaseDecreaseInGuaranteeDepositsReceivedOpeCFSEC,受入保証金の増減額（△は減少）、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Increase (decrease) in guarantee deposits received,Increase (decrease) in guarantee deposits received-OpeCF-SEC
239,jppfs_cor:IncreaseDecreaseInReserveForFinancialProductsTransactionLiabilitiesOpeCFSEC,金融商品取引責任準備金の増減額（△は減少）、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Increase (decrease) in reserve for financial products transaction liabilities,Increase (decrease) in reserve for financial products transaction liabilities-OpeCF-SEC
240,jppfs_cor:ProvisionOfReserveForFinancialProductsTransactionLiabilitiesOpeCFSEC,金融商品取引責任準備金繰入れ、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Provision of reserve for financial products transaction liabilities,Provision of reserve for financial products transaction liabilities-OpeCF-SEC
241,jppfs_cor:DecreaseIncreaseInAssetsLiabilitiesForMarginTransactionOpeCFSEC,信用取引資産及び信用取引負債の増減額、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Decrease/increase in assets/liabilities for margin transaction,Decrease/increase in assets/liabilities for margin transaction-OpeCF-SEC
242,jppfs_cor:DecreaseIncreaseInMarginTransactionAssetsOpeCFSEC,信用取引資産の増減額（△は増加）、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Decrease (increase) in margin transaction assets,Decrease (increase) in margin transaction assets-OpeCF-SEC
243,jppfs_cor:IncreaseDecreaseInMarginTransactionLiabilitiesOpeCFSEC,信用取引負債の増減額（△は減少）、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Increase (decrease) in margin transaction liabilities,Increase (decrease) in margin transaction liabilities-OpeCF-SEC
244,jppfs_cor:DecreaseIncreaseInShortTermGuaranteeDepositsOpeCFSEC,短期差入保証金の増減額（△は増加）、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Decrease (increase) in short-term guarantee deposits,Decrease (increase) in short-term guarantee deposits-OpeCF-SEC
245,jppfs_cor:DecreaseIncreaseInCashPaidForSubscriptionOpeCFSEC,募集等払込金の増減額（△は増加）、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Decrease (increase) in cash paid for subscription,Decrease (increase) in cash paid for subscription-OpeCF-SEC
246,jppfs_cor:DecreaseIncreaseInTradeDateAccrualOpeCFSEC,約定見返勘定の増減額（△は増加）、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Decrease (increase) in trade date accrual,Decrease (increase) in trade date accrual-OpeCF-SEC
247,jppfs_cor:IncreaseDecreaseInBorrowingsSecuredBySecuritiesOpeCFSEC,有価証券担保借入金の増減額（△は減少）、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Increase (decrease) in borrowings secured by securities,Increase (decrease) in borrowings secured by securities-OpeCF-SEC
248,jppfs_cor:DecreaseIncreaseInLoansBorrowingsSecuredBySecuritiesOpeCFSEC,有価証券担保貸付金及び有価証券担保借入金の増減額、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Decrease/increase in loans/borrowings secured by securities,Decrease/increase in loans/borrowings secured by securities-OpeCF-SEC
249,jppfs_cor:DecreaseIncreaseInLoansSecuredBySecuritiesOpeCFSEC,有価証券担保貸付金の増減額（△は増加）、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Decrease (increase) in loans secured by securities,Decrease (increase) in loans secured by securities-OpeCF-SEC
250,jppfs_cor:IncreaseDecreaseInDepositsAndGuaranteeDepositsReceivedOpeCFSEC,預り金及び受入保証金の増減額（△は減少）、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Increase (decrease) in deposits and guarantee deposits received,Increase (decrease) in deposits and guarantee deposits received-OpeCF-SEC
251,jppfs_cor:DecreaseIncreaseInCashSegregatedAsDepositsOpeCFSEC,預託金の増減額（△は増加）、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Decrease (increase) in cash segregated as deposits,Decrease (increase) in cash segregated as deposits-OpeCF-SEC
252,jppfs_cor:DecreaseIncreaseInAdvancePaidDepositsReceivedOpeCFSEC,立替金及び預り金の増減額、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Decrease/increase in advance paid/deposits received,Decrease/increase in advance paid/deposits received-OpeCF-SEC
253,jppfs_cor:DecreaseIncreaseInAdvancePaidOpeCFSEC,立替金の増減額（△は増加）、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Decrease (increase) in advance paid,Decrease (increase) in advance paid-OpeCF-SEC
254,jppfs_cor:DecreaseIncreaseInLoansReceivableOpeCFSEC,貸付金の増減額（△は増加）、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Decrease (increase) in loans receivable,Decrease (increase) in loans receivable-OpeCF-SEC
255,jppfs_cor:DecreaseIncreaseInShortTermLoansReceivableOpeCFSEC,短期貸付金の増減額（△は増加）、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Decrease (increase) in short-term loans receivable,Decrease (increase) in short-term loans receivable-OpeCF-SEC
256,jppfs_cor:DecreaseIncreaseInCashCollateralPledgedForSecuritiesBorrowedOpeCFSEC,借入有価証券担保金の増減額（△は増加）、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Decrease (increase) in cash collateral pledged for securities borrowed,Decrease (increase) in cash collateral pledged for securities borrowed-OpeCF-SEC
257,jppfs_cor:NetCashProvidedByUsedInInvestmentActivitiesAbstract,投資活動によるキャッシュ・フロー [タイトル項目],Cash flows from investing activities,Cash flows from investing activities [abstract]
258,jppfs_cor:NetCashProvidedByUsedInFinancingActivitiesAbstract,財務活動によるキャッシュ・フロー [タイトル項目],Cash flows from financing activities,Cash flows from financing activities [abstract]
