,タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
36,jppfs_cor:AccountsReceivableOther,未収入金,Accounts receivable - other,Accounts receivable-other
37,jppfs_cor:AccruedIncome,未収収益,Accrued income,Accrued income
38,jppfs_cor:DeferredTaxAssetsCA,繰延税金資産、流動資産,Deferred tax assets,Deferred tax assets-CA
39,jppfs_cor:OtherCA,その他、流動資産,Other,Other-CA
40,jppfs_cor:AllowanceForDoubtfulAccountsCA,貸倒引当金、流動資産、一括控除,Allowance for doubtful accounts,Allowance for doubtful accounts-CA-by group
41,jppfs_cor:CurrentAssets,流動資産,Current assets,Current assets
42,jppfs_cor:NoncurrentAssetsAbstract,固定資産 [タイトル項目],Non-current assets,Non-current assets [abstract]
43,jppfs_cor:PropertyPlantAndEquipmentAbstract,有形固定資産 [タイトル項目],"Property, plant and equipment","Property, plant and equipment [abstract]"
44,jppfs_cor:BuildingsNet,建物（純額）,"Buildings, net","Buildings, net"
45,jppfs_cor:EquipmentPPESEC,器具備品（純額）、有形固定資産、第一種金融商品取引業,Equipment,"Equipment, net-PPE-SEC"
46,jppfs_cor:Land,土地,Land,Land
47,jppfs_cor:IntangibleAssetsAbstract,無形固定資産 [タイトル項目],Intangible assets,Intangible assets [abstract]
48,jppfs_cor:Goodwill,のれん,Goodwill,Goodwill
49,jppfs_cor:InvestmentsAndOtherAssetsAbstract,投資その他の資産 [タイトル項目],Investments and other assets,Investments and other assets [abstract]
50,jppfs_cor:InvestmentSecurities,投資有価証券,Investment securities,Investment securities
51,jppfs_cor:InvestmentsInCapital,出資金,Investments in capital,Investments in capital
52,jppfs_cor:LongTermLoansReceivable,長期貸付金,Long-term loans receivable,Long-term loans receivable
53,jppfs_cor:GuaranteeDepositsIOA,差入保証金、投資その他の資産,Guarantee deposits,Guarantee deposits-IOA
54,jppfs_cor:LongTermPrepaidExpenses,長期前払費用,Long-term prepaid expenses,Long-term prepaid expenses
55,jppfs_cor:DeferredTaxAssetsIOA,繰延税金資産、投資その他の資産,Deferred tax assets,Deferred tax assets-IOA
56,jppfs_cor:OtherIOA,その他、投資その他の資産,Other,Other-IOA
57,jppfs_cor:AllowanceForDoubtfulAccountsIOAByGroup,貸倒引当金、投資その他の資産、一括控除,Allowance for doubtful accounts,Allowance for doubtful accounts-IOA-by group
58,jppfs_cor:NoncurrentAssets,固定資産,Non-current assets,Non-current assets
59,jppfs_cor:DeferredAssetsAbstract,繰延資産 [タイトル項目],Deferred assets,Deferred assets [abstract]
60,jppfs_cor:DeferredOrganizationExpensesDA,創立費、繰延資産,Deferred organization expenses,Deferred organization expenses-DA
61,jppfs_cor:DeferredAssets,繰延資産,Deferred assets,Deferred assets
62,jppfs_cor:Assets,資産,Assets,Assets
63,jppfs_cor:LiabilitiesAbstract,負債の部 [タイトル項目],Liabilities,Liabilities [abstract]
64,jppfs_cor:CurrentLiabilitiesAbstract,流動負債 [タイトル項目],Current liabilities,Current liabilities [abstract]
65,jppfs_cor:TradingProductsCLSEC,トレーディング商品、流動負債、第一種金融商品取引業,Trading products,Trading products-CL-SEC
66,jppfs_cor:TradingSecuritiesAndOtherCLSEC,商品有価証券等、流動負債、第一種金融商品取引業,Trading securities and other,Trading securities and other-CL-SEC
67,jppfs_cor:DerivativesCLSEC,デリバティブ取引、流動負債、第一種金融商品取引業,Derivatives,Derivatives-CL-SEC
68,jppfs_cor:TradeDateAccrualCLSEC,約定見返勘定、流動負債、第一種金融商品取引業,Trade date accrual,Trade date accrual-CL-SEC
69,jppfs_cor:MarginTransactionLiabilitiesCLSEC,信用取引負債、流動負債、第一種金融商品取引業,Margin transaction liabilities,Margin transaction liabilities-CL-SEC
70,jppfs_cor:BorrowingsOnMarginTransactionsCLSEC,信用取引借入金、流動負債、第一種金融商品取引業,Borrowings on margin transactions,Borrowings on margin transactions-CL-SEC
71,jppfs_cor:CashReceivedForSecuritiesLendingOnMarginTransactionsCLSEC,信用取引貸証券受入金、流動負債、第一種金融商品取引業,Cash received for securities lending on margin transactions,Cash received for securities lending on margin transactions-CL-SEC
72,jppfs_cor:LoansPayableSecuredBySecuritiesCLSEC,有価証券担保借入金、流動負債、第一種金融商品取引業,Loans payable secured by securities,Loans payable secured by securities-CL-SEC
73,jppfs_cor:CashReceivedOnDebtCreditTransactionOfSecuritiesCLSEC,有価証券貸借取引受入金、流動負債、第一種金融商品取引業,Cash received on debt credit transaction of securities,Cash received on debt credit transaction of securities-CL-SEC
74,jppfs_cor:BorrowingsOnGensakiTransactionCLSEC,現先取引借入金、流動負債、第一種金融商品取引業,Borrowings on Gensaki transaction,Borrowings on Gensaki transaction-CL-SEC
75,jppfs_cor:DepositsReceivedCLSEC,預り金、流動負債、第一種金融商品取引業,Deposits received,Deposits received-CL-SEC
76,jppfs_cor:DepositsFromCustomersCLSEC,顧客からの預り金、流動負債、第一種金融商品取引業,Deposits from customers,Deposits from customers-CL-SEC
