,タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
21,jppfs_cor:DeferredTaxAssetsCA,繰延税金資産、流動資産,Deferred tax assets,Deferred tax assets-CA
22,jppfs_cor:OtherCA,その他、流動資産,Other,Other-CA
23,jppfs_cor:AllowanceForDoubtfulAccountsCA,貸倒引当金、流動資産、一括控除,Allowance for doubtful accounts,Allowance for doubtful accounts-CA-by group
24,jppfs_cor:CurrentAssets,流動資産,Current assets,Current assets
25,jppfs_cor:NoncurrentAssetsAbstract,固定資産 [タイトル項目],Non-current assets,Non-current assets [abstract]
26,jppfs_cor:NoncurrentAssetsHighwayBusinessNCAAbstractHWY,高速道路事業固定資産、高速道路事業 [タイトル項目],Non-current assets - highway business,Non-current assets - highway business-NCA-HWY [abstract]
27,jppfs_cor:PropertyPlantAndEquipmentHighwayBusinessNCAAbstractHWY,有形固定資産、高速道路事業固定資産、高速道路事業 [タイトル項目],"Property, plant and equipment","Property, plant and equipment-highway business-NCA-HWY [abstract]"
28,jppfs_cor:BuildingsHighwayBusinessNCAHWY,建物、高速道路事業固定資産、高速道路事業,Buildings,Buildings-highway business-NCA-HWY
29,jppfs_cor:AccumulatedDepreciationBuildingHighwayBusinessNCAHWY,減価償却累計額、建物、高速道路事業固定資産、高速道路事業,Accumulated depreciation,Accumulated depreciation-building-highway business-NCA-HWY
30,jppfs_cor:AccumulatedImpairmentLossBuildingsHighwayBusinessNCAHWY,減損損失累計額、建物、高速道路事業固定資産、高速道路事業,Accumulated impairment loss,Accumulated impairment loss-buildings-highway business-NCA-HWY
31,jppfs_cor:AccumulatedDepreciationAndImpairmentLossBuildingsHighwayBusinessNCAHWY,減価償却累計額及び減損損失累計額、建物、高速道路事業固定資産、高速道路事業,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-buildings-highway business-NCA-HWY
32,jppfs_cor:BuildingsNetHighwayBusinessNCAHWY,建物（純額）、高速道路事業固定資産、高速道路事業,"Buildings, net","Buildings, net-highway business-NCA-HWY"
33,jppfs_cor:StructuresHighwayBusinessNCAHWY,構築物、高速道路事業固定資産、高速道路事業,Structures,Structures-highway business-NCA-HWY
34,jppfs_cor:AccumulatedDepreciationStructuresHighwayBusinessNCAHWY,減価償却累計額、構築物、高速道路事業固定資産、高速道路事業,Accumulated depreciation,Accumulated depreciation-structures-highway business-NCA-HWY
35,jppfs_cor:AccumulatedImpairmentLossStructuresHighwayBusinessNCAHWY,減損損失累計額、構築物、高速道路事業固定資産、高速道路事業,Accumulated impairment loss,Accumulated impairment loss-structures-highway business-NCA-HWY
36,jppfs_cor:AccumulatedDepreciationAndImpairmentLossStructuresHighwayBusinessNCAHWY,減価償却累計額及び減損損失累計額、構築物、高速道路事業固定資産、高速道路事業,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-structures-highway business-NCA-HWY
37,jppfs_cor:StructuresNetHighwayBusinessNCAHWY,構築物（純額）、高速道路事業固定資産、高速道路事業,"Structures, net","Structures, net-highway business-NCA-HWY"
38,jppfs_cor:MachineryAndEquipmentHighwayBusinessNCAHWY,機械及び装置、高速道路事業固定資産、高速道路事業,Machinery and equipment,Machinery and equipment-highway business-NCA-HWY
39,jppfs_cor:AccumulatedDepreciationMachineryAndEquipmentHighwayBusinessNCAHWY,減価償却累計額、機械及び装置、高速道路事業固定資産、高速道路事業,Accumulated depreciation,Accumulated depreciation-machinery and equipment-highway business-NCA-HWY
40,jppfs_cor:AccumulatedImpairmentLossMachineryAndEquipmentHighwayBusinessNCAHWY,減損損失累計額、機械及び装置、高速道路事業固定資産、高速道路事業,Accumulated impairment loss,Accumulated impairment loss-machinery and equipment-highway business-NCA-HWY
41,jppfs_cor:AccumulatedDepreciationAndImpairmentLossMachineryAndEquipmentHighwayBusinessNCAHWY,減価償却累計額及び減損損失累計額、機械及び装置、高速道路事業固定資産、高速道路事業,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-machinery and equipment-highway business-NCA-HWY
