,タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
152,jppfs_cor:BusinessCommencementExpensesDA,開業費、繰延資産,Business commencement expenses,Business commencement expenses-DA
153,jppfs_cor:DevelopmentExpensesDA,開発費、繰延資産,Development expenses,Development expenses-DA
154,jppfs_cor:StockIssuanceCostDA,株式交付費、繰延資産,Share issuance cost,Share issuance cost-DA
155,jppfs_cor:RoadBuildingBondIssuanceCostDAHWY,道路建設関係社債発行費、繰延資産、高速道路事業,Road-building bond issuance cost,Road-building bond issuance cost-DA-HWY
156,jppfs_cor:OtherBondIssuanceCostDAHWY,その他の社債発行費、繰延資産、高速道路事業,Other bond issuance cost,Other bond issuance cost-DA-HWY
157,jppfs_cor:DeferredAssets,繰延資産,Deferred assets,Deferred assets
158,jppfs_cor:Assets,資産,Assets,Assets
159,jppfs_cor:LiabilitiesAbstract,負債の部 [タイトル項目],Liabilities,Liabilities [abstract]
160,jppfs_cor:CurrentLiabilitiesAbstract,流動負債 [タイトル項目],Current liabilities,Current liabilities [abstract]
161,jppfs_cor:NotesPayableTrade,支払手形,Notes payable - trade,Notes payable-trade
162,jppfs_cor:OperatingAccountsPayableHighwayBusinessCLHWY,高速道路事業営業未払金、流動負債、高速道路事業,Operating accounts payable - highway business,Operating accounts payable-highway business-CL-HWY
163,jppfs_cor:ShortTermLoansPayable,短期借入金,Short-term loans payable,Short-term loans payable
164,jppfs_cor:CurrentPortionOfLongTermLoansPayable,1年内返済予定の長期借入金,Current portion of long-term loans payable,Current portion of long-term loans payable
165,jppfs_cor:CurrentPortionOfBonds,1年内償還予定の社債,Current portion of bonds,Current portion of bonds
166,jppfs_cor:AccountsPayableOther,未払金,Accounts payable - other,Accounts payable-other
167,jppfs_cor:AccruedExpenses,未払費用,Accrued expenses,Accrued expenses
168,jppfs_cor:IncomeTaxesPayable,未払法人税等,Income taxes payable,Income taxes payable
169,jppfs_cor:DeferredTaxLiabilitiesCL,繰延税金負債、流動負債,Deferred tax liabilities,Deferred tax liabilities-CL
170,jppfs_cor:InterLineFaresReceivedCLHWY,預り連絡料金、流動負債、高速道路事業,Inter-line fares received,Inter-line fares received-CL-HWY
171,jppfs_cor:DepositsReceived,預り金,Deposits received,Deposits received
172,jppfs_cor:AdvancesReceivedForHighwayManagementHWY,高速道路事業受託業務前受金、流動負債、高速道路事業,Advances received for highway management,Advances received for highway management-HWY
173,jppfs_cor:AdvancesReceivedForManagementCLHWY,受託業務前受金、流動負債、高速道路事業,Advances received for management,Advances received for management-CL-HWY
174,jppfs_cor:AdvancesReceived,前受金,Advances received,Advances received
175,jppfs_cor:UnearnedRevenue,前受収益,Unearned revenue,Unearned revenue
176,jppfs_cor:ProvisionForDirectorsBonuses,役員賞与引当金,Provision for bonuses for directors (and other officers),Provision for bonuses for directors (and other officers)
177,jppfs_cor:ProvisionForBonuses,賞与引当金,Provision for bonuses,Provision for bonuses
178,jppfs_cor:ProvisionForLossOnForgedHighwayCardCLHWY,ハイウェイカード偽造損失補てん引当金、流動負債、高速道路事業,Provision for loss on forged highway card,Provision for loss on forged highway card-CL-HWY
179,jppfs_cor:ProvisionForRepaymentForCouponTicketsCLHWY,回数券払戻引当金、流動負債、高速道路事業,Provision for repayment for coupon tickets,Provision for repayment for coupon tickets-CL-HWY
180,jppfs_cor:OtherCL,その他、流動負債,Other,Other-CL
181,jppfs_cor:CurrentLiabilities,流動負債,Current liabilities,Current liabilities
182,jppfs_cor:NoncurrentLiabilitiesAbstract,固定負債 [タイトル項目],Non-current liabilities,Non-current liabilities [abstract]
183,jppfs_cor:RoadBuildingBondsPayableNCLHWY,道路建設関係社債、固定負債、高速道路事業,Road-building bonds payable,Road-building bonds payable-NCL-HWY
184,jppfs_cor:OtherBondsPayableNCLHWY,その他の社債、固定負債、高速道路事業,Other bonds payable,Other bonds payable-NCL-HWY
185,jppfs_cor:LongTermLoansPayableToRoadBuildingNCLHWY,道路建設関係長期借入金、固定負債、高速道路事業,Long-term loans payable to road-building,Long-term loans payable to road-building-NCL-HWY
186,jppfs_cor:OtherLongTermLoansPayableNCLHWY,その他の長期借入金、固定負債、高速道路事業,Other long-term loans payable,Other long-term loans payable-NCL-HWY
187,jppfs_cor:DeferredTaxLiabilitiesNCL,繰延税金負債、固定負債,Deferred tax liabilities,Deferred tax liabilities-NCL
188,jppfs_cor:GuaranteeDepositsReceivedNCL,受入保証金、固定負債,Guarantee deposits received,Guarantee deposits received-NCL
189,jppfs_cor:ProvisionForRetirementBenefits,退職給付引当金,Provision for retirement benefits,Provision for retirement benefits
190,jppfs_cor:ProvisionForDirectorsRetirementBenefits,役員退職慰労引当金,Provision for retirement benefits for directors (and other officers),Provision for retirement benefits for directors (and other officers)
191,jppfs_cor:NegativeGoodwill,負ののれん,Negative goodwill,Negative goodwill
192,jppfs_cor:ProvisionForETCMileageServiceNCLHWY,ETCマイレージサービス引当金、固定負債、高速道路事業,Provision for ETC mileage service,Provision for ETC mileage service-NCL-HWY
193,jppfs_cor:OtherNCL,その他、固定負債,Other,Other-NCL
194,jppfs_cor:NoncurrentLiabilities,固定負債,Non-current liabilities,Non-current liabilities
195,jppfs_cor:Liabilities,負債,Liabilities,Liabilities
196,jppfs_cor:NetAssetsAbstract,純資産の部 [タイトル項目],Net assets,Net assets [abstract]
197,jppfs_cor:ShareholdersEquityAbstract,株主資本 [タイトル項目],Shareholders' equity,Shareholders' equity [abstract]
198,jppfs_cor:CapitalStock,資本金,Capital stock,Capital stock
199,jppfs_cor:DepositForSubscriptionsToShares,新株式申込証拠金,Deposit for subscriptions to shares,Deposit for subscriptions to shares
200,jppfs_cor:CapitalSurplusAbstract,資本剰余金 [タイトル項目],Capital surplus,Capital surplus [abstract]
201,jppfs_cor:LegalCapitalSurplus,資本準備金,Legal capital surplus,Legal capital surplus
202,jppfs_cor:OtherCapitalSurplus,その他資本剰余金,Other capital surplus,Other capital surplus
203,jppfs_cor:CapitalSurplus,資本剰余金,Capital surplus,Capital surplus
204,jppfs_cor:RetainedEarningsAbstract,利益剰余金 [タイトル項目],Retained earnings,Retained earnings [abstract]
205,jppfs_cor:LegalRetainedEarnings,利益準備金,Legal retained earnings,Legal retained earnings
206,jppfs_cor:OtherRetainedEarningsAbstract,その他利益剰余金 [タイトル項目],Other retained earnings,Other retained earnings [abstract]
207,jppfs_cor:RetainedEarningsBroughtForward,繰越利益剰余金,Retained earnings brought forward,Retained earnings brought forward
208,jppfs_cor:OtherRetainedEarnings,その他利益剰余金,Other retained earnings,Other retained earnings
209,jppfs_cor:RetainedEarnings,利益剰余金,Retained earnings,Retained earnings
210,jppfs_cor:TreasuryStock,自己株式,Treasury shares,Treasury shares
211,jppfs_cor:DepositForSubscriptionsToTreasuryStock,自己株式申込証拠金,Deposit for subscriptions to treasury shares,Deposit for subscriptions to treasury shares
212,jppfs_cor:ShareholdersEquity,株主資本,Shareholders' equity,Shareholders' equity
213,jppfs_cor:ValuationAndTranslationAdjustmentsAbstract,評価・換算差額等 [タイトル項目],Valuation and translation adjustments,Valuation and translation adjustments [abstract]
214,jppfs_cor:ValuationDifferenceOnAvailableForSaleSecurities,その他有価証券評価差額金,Valuation difference on available-for-sale securities,Valuation difference on available-for-sale securities
215,jppfs_cor:DeferredGainsOrLossesOnHedges,繰延ヘッジ損益,Deferred gains or losses on hedges,Deferred gains or losses on hedges
216,jppfs_cor:RevaluationReserveForLand,土地再評価差額金,Revaluation reserve for land,Revaluation reserve for land
217,jppfs_cor:ValuationAndTranslationAdjustments,評価・換算差額等,Valuation and translation adjustments,Valuation and translation adjustments
218,jppfs_cor:SubscriptionRightsToShares,新株予約権,Share acquisition rights,Share acquisition rights
219,jppfs_cor:NonControllingInterests,非支配株主持分,Non-controlling interests,Non-controlling interests
220,jppfs_cor:NetAssets,純資産,Net assets,Net assets
221,jppfs_cor:LiabilitiesAndNetAssets,負債純資産,Liabilities and net assets,Liabilities and net assets
222,nan,,,
223,nan,,,
224,名前空間プレフィックス:要素名,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
225,jppfs_cor:StatementOfIncomeAbstract,損益計算書 [タイトル項目],Statement of income,Statement of income [abstract]
226,jppfs_cor:StatementOfIncomeTable,損益計算書 [表],Statement of income,Statement of income [table]
227,jppfs_cor:StatementOfIncomeLineItems,損益計算書 [表示項目],Statement of income,Statement of income [line items]
228,jppfs_cor:OperatingIncomeAndLossFromHighwayBusinessAbstractHWY,高速道路事業営業損益、高速道路事業 [タイトル項目],Operating revenue and expenses from highway business,Operating revenue and expenses from highway business - HWY [abstract]
229,jppfs_cor:OperatingRevenueHighwayBusinessAbstractHWY,営業収益、高速道路事業営業損益、高速道路事業 [タイトル項目],Operating revenue,Operating revenue-highway business-HWY [abstract]
230,jppfs_cor:FareReceiptsOperatingRevenueHighwayBusinessHWY,料金収入、営業収益、高速道路事業営業損益、高速道路事業,Fare receipts,Fare receipts-operating revenue-highway business-HWY
231,jppfs_cor:SalesOfCompletedHighwayConstructionContractsOperatingRevenueHighwayBusinessHWY,道路資産完成高、営業収益、高速道路事業営業損益、高速道路事業,Sales of completed highway construction contracts,Sales of completed highway construction contracts-operating revenue-highway business-HWY
232,jppfs_cor:RevenueManagementOperatingRevenueHighwayBusinessHWY,受託業務収入、営業収益、高速道路事業営業損益、高速道路事業,Revenue - management,Revenue - management-operating revenue-highway business-HWY
233,jppfs_cor:OtherSalesOperatingRevenueHighwayBusinessHWY,その他の売上高、営業収益、高速道路事業営業損益、高速道路事業,Other sales,Other sales-operating revenue-highway business-HWY
234,jppfs_cor:OperatingRevenueHighwayBusinessHWY,営業収益、高速道路事業営業損益、高速道路事業,Operating revenue,Operating revenue-highway business-HWY
235,jppfs_cor:OperatingExpensesHighwayBusinessAbstractHWY,営業費用、高速道路事業営業損益、高速道路事業 [タイトル項目],Operating expenses,Operating expenses-highway business-HWY [abstract]
236,jppfs_cor:RentExpensesOnHighwayAssetsOperatingExpensesHighwayBusinessHWY,道路資産賃借料、営業費用、高速道路事業営業損益、高速道路事業,Rent expenses on highway assets,Rent expenses on highway assets-operating expenses-highway business-HWY
237,jppfs_cor:CostOfSalesOfCompletedHighwayConstructionContractsOperatingExpenseHighwayBusinessHWY,道路資産完成原価、営業費用、高速道路事業営業損益、高速道路事業,Cost of sales of completed highway construction contracts,Cost of sales of completed highway construction contracts-operating expense-highway business-HWY
238,jppfs_cor:AdministrativeExpensesOperatingExpensesHighwayBusinessHWY,管理費用、営業費用、高速道路事業営業損益、高速道路事業,Administrative expenses,Administrative expenses-operating expenses-highway business-HWY
239,jppfs_cor:FiduciaryBusinessOperatingExpensesOperatingExpensesHighwayBusinessHWY,受託業務費用、営業費用、高速道路事業営業損益、高速道路事業,Fiduciary business operating expenses - management,Fiduciary business operating expenses-operating expenses-highway business-HWY
240,jppfs_cor:OperatingExpensesHighwayBusinessHWY,営業費用、高速道路事業営業損益、高速道路事業,Operating expenses,Operating expenses-highway business-HWY
241,jppfs_cor:OperatingIncomeFromHighwayBusinessHWY,高速道路事業営業利益又は高速道路事業営業損失（△）、高速道路事業,Operating profit (loss) from highway business,Operating profit (loss) from highway business - HWY
242,jppfs_cor:OperatingIncomeAndLossRelatedOperationsHighwayBusinessAbstractHWY,関連事業営業損益、高速道路事業 [タイトル項目],Operating revenue and expenses - related operations,Operating revenue and expenses - related operations - highway business - HWY [abstract]
243,jppfs_cor:OperatingRevenueRelatedOperationsHighwayBusinessAbstractHWY,営業収益、関連事業営業損益、高速道路事業 [タイトル項目],Operating revenue,Operating revenue-related operations-highway business-HWY [abstract]
244,jppfs_cor:RevenueRestStationOperatingRevenueRelatedOperationsHighwayBusinessHWY,休憩所等事業収入、営業収益、関連事業営業損益、高速道路事業,Revenue - rest station,Revenue-rest station-operating revenue-related operations-highway business-HWY
245,jppfs_cor:RevenueParkingOperatingRevenueRelatedOperationsHighwayBusinessHWY,駐車場事業収入、営業収益、関連事業営業損益、高速道路事業,Revenue - parking,Revenue-parking-operating revenue-related operations-highway business-HWY
246,jppfs_cor:RevenueManagementOperatingRevenueRelatedOperationsHighwayBusinessHWY,受託業務収入、営業収益、関連事業営業損益、高速道路事業,Revenue - management,Revenue-management-operating revenue-related operations-highway business-HWY
247,jppfs_cor:MiscellaneousOperatingRevenueOperatingRevenueRelatedOperationsHighwayBusinessHWY,営業雑収入、営業収益、関連事業営業損益、高速道路事業,Miscellaneous operating revenue,Miscellaneous operating revenue-operating revenue-related operations-highway business-HWY
248,jppfs_cor:OperatingRevenueRelatedOperationsHighwayBusinessHWY,営業収益、関連事業営業損益、高速道路事業,Operating revenue - related operations,Operating revenue-related operations-highway business-HWY
249,jppfs_cor:OperatingExpensesRelatedOperationsHighwayBusinessAbstractHWY,営業費用、関連事業営業損益、高速道路事業 [タイトル項目],Operating expenses,Operating expenses-related operations-highway business-HWY [abstract]
250,jppfs_cor:OperatingExpensesRestStationOperatingRevenueRelatedOperationsHighwayBusinessHWY,休憩所等事業費、営業費用、関連事業営業損益、高速道路事業,Operating expenses - rest station,Operating expenses-rest station-operating revenue-related operations-highway business-HWY
251,jppfs_cor:OperatingExpensesParkingOperatingRevenueRelatedOperationsHighwayBusinessHWY,駐車場事業費、営業費用、関連事業営業損益、高速道路事業,Operating expenses - parking,Operating expenses-parking-operating revenue-related operations-highway business-HWY
252,jppfs_cor:OperatingExpensesManagementOperatingRevenueRelatedOperationsHighwayBusinessHWY,受託業務事業費、営業費用、関連事業営業損益、高速道路事業,Operating expenses - management,Operating expenses-management-operating revenue-related operations-highway business-HWY
253,jppfs_cor:MiscellaneousOperatingExpensesOperatingExpensesRelatedOperationsHighwayBusinessHWY,営業雑費用、営業費用、関連事業営業損益、高速道路事業,Miscellaneous operating expenses,Miscellaneous operating expenses-operating expenses-related operations-highway business-HWY
254,jppfs_cor:OperatingExpensesRelatedOperationsHighwayBusinessHWY,営業費用、関連事業営業損益、高速道路事業,Operating expenses - related operations,Operating expenses-related operations-highway business-HWY
255,jppfs_cor:OperatingIncomeFromRelatedOperationsHighwayBusinessHWY,関連事業営業利益又は関連事業営業損失（△）、高速道路事業,Operating profit (loss) from related operations,Operating profit (loss) from related operations - HWY
256,jppfs_cor:OperatingRevenue1,営業収益,Operating revenue,Operating revenue-1
257,jppfs_cor:OperatingExpensesAbstract,営業費用 [タイトル項目],Operating expenses,Operating expenses [abstract]
258,jppfs_cor:AdministrationCostsOfHighwayBusinessAndCostOfSalesOperatingExpensesHWY,高速道路等事業管理費及び売上原価、営業費用、高速道路事業,Administration costs of highway business and cost of sales,Administration costs of highway business and cost of sales-operating expenses-HWY
259,jppfs_cor:SellingGeneralAndAdministrativeExpenses,販売費及び一般管理費,"Selling, general and administrative expenses","Selling, general and administrative expenses"
260,jppfs_cor:OperatingExpenses,営業費用,Operating expenses,Operating expenses
261,jppfs_cor:OperatingIncomeTotalBusiness,全事業営業利益又は全事業営業損失（△）,Operating profit (loss) - total business,Operating profit (loss) - total business
262,jppfs_cor:NonOperatingIncomeAbstract,営業外収益 [タイトル項目],Non-operating income,Non-operating income [abstract]
263,jppfs_cor:InterestIncomeNOI,受取利息、営業外収益,Interest income,Interest income-NOI
264,jppfs_cor:InterestOnSecuritiesNOI,有価証券利息、営業外収益,Interest on securities,Interest on securities-NOI
265,jppfs_cor:DividendsIncomeNOI,受取配当金、営業外収益,Dividend income,Dividend income-NOI
266,jppfs_cor:GainOnSalesOfSecuritiesNOI,有価証券売却益、営業外収益,Gain on sales of securities,Gain on sales of securities-NOI
267,jppfs_cor:GainOnValuationOfSecuritiesNOI,有価証券評価益、営業外収益,Gain on valuation of securities,Gain on valuation of securities-NOI
268,jppfs_cor:GainOnSalesOfGoodsNOI,物品売却益、営業外収益,Gain on sales of goods,Gain on sales of goods-NOI
269,jppfs_cor:RevenueLandRentNOIHWY,土地物件貸付料、営業外収益、高速道路事業,Revenue - land rent,Revenue-land rent-NOI-HWY
270,jppfs_cor:IncomeFromCausativePersonNOIHWY,原因者負担収入、営業外収益、高速道路事業,Income from causative person,Income from causative person-NOI-HWY
271,jppfs_cor:MiscellaneousIncomeNOI,雑収入、営業外収益,Miscellaneous income,Miscellaneous income-NOI
272,jppfs_cor:NonOperatingIncome,営業外収益,Non-operating income,Non-operating income
273,jppfs_cor:NonOperatingExpensesAbstract,営業外費用 [タイトル項目],Non-operating expenses,Non-operating expenses [abstract]
274,jppfs_cor:InterestExpensesNOE,支払利息、営業外費用,Interest expenses,Interest expenses-NOE
275,jppfs_cor:InterestOnBondsNOE,社債利息、営業外費用,Interest on bonds,Interest on bonds-NOE
276,jppfs_cor:AmortizationOfStockIssuanceCostNOE,株式交付費償却、営業外費用,Amortization of share issuance cost,Amortization of share issuance cost-NOE
277,jppfs_cor:AmortizationOfBondIssuanceCostNOE,社債発行費償却、営業外費用,Amortization of bond issuance cost,Amortization of bond issuance cost-NOE
278,jppfs_cor:AmortizationOfDeferredOrganizationExpensesNOE,創立費償却、営業外費用,Amortization of deferred organization expenses,Amortization of deferred organization expenses-NOE
279,jppfs_cor:AmortizationOfBusinessCommencementExpensesNOE,開業費償却、営業外費用,Amortization of business commencement expenses,Amortization of business commencement expenses-NOE
280,jppfs_cor:AmortizationOfDevelopmentExpensesNOE,開発費償却、営業外費用,Amortization of development expenses,Amortization of development expenses-NOE
281,jppfs_cor:LossOnSalesOfSecuritiesNOE,有価証券売却損、営業外費用,Loss on sales of securities,Loss on sales of securities-NOE
282,jppfs_cor:LossOnValuationOfSecuritiesNOE,有価証券評価損、営業外費用,Loss on valuation of securities,Loss on valuation of securities-NOE
283,jppfs_cor:MiscellaneousLossNOE,雑損失、営業外費用,Miscellaneous loss,Miscellaneous loss-NOE
284,jppfs_cor:NonOperatingExpenses,営業外費用,Non-operating expenses,Non-operating expenses
285,jppfs_cor:OrdinaryIncome,経常利益又は経常損失（△）,Ordinary profit (loss),Ordinary profit (loss)
286,jppfs_cor:ExtraordinaryIncomeAbstract,特別利益 [タイトル項目],Extraordinary income,Extraordinary income [abstract]
287,jppfs_cor:GainOnSalesOfNoncurrentAssetsEI,固定資産売却益、特別利益,Gain on sales of non-current assets,Gain on sales of non-current assets-EI
288,jppfs_cor:OtherEI,その他、特別利益,Other,Other-EI
289,jppfs_cor:ExtraordinaryIncome,特別利益,Extraordinary income,Extraordinary income
290,jppfs_cor:ExtraordinaryLossAbstract,特別損失 [タイトル項目],Extraordinary losses,Extraordinary losses [abstract]
291,jppfs_cor:LossOnSalesOfNoncurrentAssetsEL,固定資産売却損、特別損失,Loss on sales of non-current assets,Loss on sales of non-current assets-EL
292,jppfs_cor:LossOnRetirementOfNoncurrentAssetsEL,固定資産除却損、特別損失,Loss on retirement of non-current assets,Loss on retirement of non-current assets-EL
293,jppfs_cor:ImpairmentLossEL,減損損失、特別損失,Impairment loss,Impairment loss-EL
294,jppfs_cor:NonrecurringLossEL,臨時損失、特別損失,Nonrecurring loss,Nonrecurring loss-EL
295,jppfs_cor:LossOnForgedHighwayCardELHWY,偽造ハイウェイカード損失、特別損失、高速道路事業,Loss on forged highway card,Loss on forged highway card-EL-HWY
296,jppfs_cor:OtherEL,その他、特別損失,Other,Other-EL
297,jppfs_cor:ExtraordinaryLoss,特別損失,Extraordinary losses,Extraordinary losses
298,jppfs_cor:IncomeBeforeIncomeTaxes,税引前当期純利益又は税引前当期純損失（△）,Profit (loss) before income taxes,Profit (loss) before income taxes
299,jppfs_cor:IncomeTaxes,法人税等,Income taxes,Income taxes
300,jppfs_cor:IncomeTaxesCurrent,法人税、住民税及び事業税,Income taxes - current,Income taxes-current
301,jppfs_cor:IncomeTaxesDeferred,法人税等調整額,Income taxes - deferred,Income taxes-deferred
302,jppfs_cor:ProfitLoss,当期純利益又は当期純損失（△）（平成26年3月28日財規等改正後）,Profit (loss),Profit (loss) (after amendment dated 2014-03-28)
303,jppfs_cor:ProfitAttributableToAbstract,内訳、当期純利益 [タイトル項目],Profit attributable to,Profit attributable to [abstract]
304,jppfs_cor:ProfitLossAttributableToNonControllingInterests,非支配株主に帰属する当期純利益又は非支配株主に帰属する当期純損失（△）,Profit (loss) attributable to non-controlling interests,Profit (loss) attributable to non-controlling interests
305,jppfs_cor:ProfitLossAttributableToOwnersOfParent,親会社株主に帰属する当期純利益又は親会社株主に帰属する当期純損失（△）,Profit (loss) attributable to owners of parent,Profit (loss) attributable to owners of parent
306,nan,,,
307,nan,,,
308,名前空間プレフィックス:要素名,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
309,jppfs_cor:StatementOfChangesInEquityAbstract,株主資本等変動計算書 [タイトル項目],Statement of changes in equity,Statement of changes in equity [abstract]
310,jppfs_cor:StatementOfChangesInEquityTable,株主資本等変動計算書 [表],Statement of changes in equity,Statement of changes in equity [table]
311,jppfs_cor:ComponentsOfEquityAxis,純資産の内訳項目 [軸],Components of equity,Components of equity [axis]
312,jppfs_cor:NetAssetsMember,純資産 [メンバー],Net assets,Net assets [member]
313,jppfs_cor:ShareholdersEquityMember,株主資本 [メンバー],Shareholders' equity,Shareholders' equity [member]
314,jppfs_cor:CapitalStockMember,資本金 [メンバー],Capital stock,Capital stock [member]
315,jppfs_cor:CapitalSurplusMember,資本剰余金 [メンバー],Capital surplus,Capital surplus [member]
316,jppfs_cor:LegalCapitalSurplusMember,資本準備金 [メンバー],Legal capital surplus,Legal capital surplus [member]
317,jppfs_cor:OtherCapitalSurplusMember,その他資本剰余金 [メンバー],Other capital surplus,Other capital surplus [member]
318,jppfs_cor:RetainedEarningsMember,利益剰余金 [メンバー],Retained earnings,Retained earnings [member]
319,jppfs_cor:LegalRetainedEarningsMember,利益準備金 [メンバー],Legal retained earnings,Legal retained earnings [member]
320,jppfs_cor:OtherRetainedEarningsMember,その他利益剰余金 [メンバー],Other retained earnings,Other retained earnings [member]
321,jppfs_cor:RetainedEarningsBroughtForwardMember,繰越利益剰余金 [メンバー],Retained earnings brought forward,Retained earnings brought forward [member]
322,jppfs_cor:TreasuryStockMember,自己株式 [メンバー],Treasury shares,Treasury shares [member]
323,jppfs_cor:ValuationAndTranslationAdjustmentsMember,評価・換算差額等 [メンバー],Valuation and translation adjustments,Valuation and translation adjustments [member]
324,jppfs_cor:ValuationDifferenceOnAvailableForSaleSecuritiesMember,その他有価証券評価差額金 [メンバー],Valuation difference on available-for-sale securities,Valuation difference on available-for-sale securities [member]
325,jppfs_cor:DeferredGainsOrLossesOnHedgesMember,繰延ヘッジ損益 [メンバー],Deferred gains or losses on hedges,Deferred gains or losses on hedges [member]
326,jppfs_cor:RevaluationReserveForLandMember,土地再評価差額金 [メンバー],Revaluation reserve for land,Revaluation reserve for land [member]
327,jppfs_cor:ForeignCurrencyTranslationAdjustmentMember,為替換算調整勘定 [メンバー],Foreign currency translation adjustment,Foreign currency translation adjustment [member]
328,jppfs_cor:SubscriptionRightsToSharesMember,新株予約権 [メンバー],Share acquisition rights,Share acquisition rights [member]
329,jppfs_cor:NonControllingInterestsMember,非支配株主持分 [メンバー],Non-controlling interests,Non-controlling interests [member]
330,jppfs_cor:StatementOfChangesInEquityLineItems,株主資本等変動計算書 [表示項目],Statement of changes in equity,Statement of changes in equity [line items]
331,jppfs_cor:NetAssets,純資産,Net assets,Net assets
332,jppfs_cor:ChangesOfItemsDuringThePeriodAbstract,当期変動額 [タイトル項目],Changes of items during period,Changes of items during period [abstract]
333,jppfs_cor:IssuanceOfNewShares,新株の発行,Issuance of new shares,Issuance of new shares
334,jppfs_cor:DividendsFromSurplus,剰余金の配当,Dividends of surplus,Dividends of surplus
335,jppfs_cor:ProfitLossAttributableToOwnersOfParent,親会社株主に帰属する当期純利益又は親会社株主に帰属する当期純損失（△）,Profit (loss) attributable to owners of parent,Profit (loss) attributable to owners of parent
336,jppfs_cor:ProfitLoss,当期純利益又は当期純損失（△）（平成26年3月28日財規等改正後）,Profit (loss),Profit (loss) (after amendment dated 2014-03-28)
337,jppfs_cor:DisposalOfTreasuryStock,自己株式の処分,Disposal of treasury shares,Disposal of treasury shares
338,jppfs_cor:NetChangesOfItemsOtherThanShareholdersEquity,株主資本以外の項目の当期変動額（純額）,Net changes of items other than shareholders' equity,Net changes of items other than shareholders' equity
339,jppfs_cor:TotalChangesOfItemsDuringThePeriod,当期変動額合計,Total changes of items during period,Total changes of items during period
340,nan,,,
341,nan,,,
342,名前空間プレフィックス:要素名,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
343,jppfs_cor:StatementOfCashFlowsAbstract,キャッシュ・フロー計算書 [タイトル項目],Statement of cash flows,Statement of cash flows [abstract]
344,jppfs_cor:StatementOfCashFlowsTable,キャッシュ・フロー計算書 [表],Statement of cash flows,Statement of cash flows [table]
345,jppfs_cor:StatementOfCashFlowsLineItems,キャッシュ・フロー計算書 [表示項目],Statement of cash flows,Statement of cash flows [line items]
346,jppfs_cor:NetCashProvidedByUsedInOperatingActivitiesAbstract,営業活動によるキャッシュ・フロー [タイトル項目],Cash flows from operating activities,Cash flows from operating activities [abstract]
347,jppfs_cor:SubtotalOpeCF,小計、営業活動によるキャッシュ・フロー,Subtotal,Subtotal-OpeCF
348,jppfs_cor:OperatingIncomeOpeCF,営業収入、営業活動によるキャッシュ・フロー,Receipts from operating revenue,Receipts from operating revenue - OpeCF
349,jppfs_cor:PaymentsForRawMaterialsAndGoodsOpeCF,原材料又は商品の仕入れによる支出、営業活動によるキャッシュ・フロー,Payments for raw materials and goods,Payments for raw materials and goods-OpeCF
350,jppfs_cor:PaymentsForPayrollOpeCF,人件費の支出、営業活動によるキャッシュ・フロー,Payments for personnel expenses,Payments for personnel expenses-OpeCF
351,jppfs_cor:PaymentsForOtherOperatingActivityOpeCF,その他の営業支出、営業活動によるキャッシュ・フロー,Payments for other operating activity,Payments for other operating activity-OpeCF
352,jppfs_cor:IncomeBeforeIncomeTaxes,税引前当期純利益又は税引前当期純損失（△）,Profit (loss) before income taxes,Profit (loss) before income taxes
353,jppfs_cor:DepreciationOfHighwayNoncurrentAssetsOpeCFHWY,高速道路事業固定資産減価償却費、営業活動によるキャッシュ・フロー、高速道路事業,Depreciation of highway non-current assets,Depreciation of highway non-current assets-OpeCF-HWY
354,jppfs_cor:DepreciationOfRelatedNoncurrentAssetsOpeCFHWY,関連事業固定資産減価償却費、営業活動によるキャッシュ・フロー、高速道路事業,Depreciation of related non-current assets,Depreciation of related non-current assets-OpeCF-HWY
355,jppfs_cor:DepreciationOfAffiliatedNoncurrentAssetsOpeCFHWY,各事業共用固定資産減価償却費、営業活動によるキャッシュ・フロー、高速道路事業,Depreciation of affiliated non-current assets,Depreciation of affiliated non-current assets-OpeCF-HWY
356,jppfs_cor:ImpairmentLossOpeCF,減損損失、営業活動によるキャッシュ・フロー,Impairment loss,Impairment loss-OpeCF
357,jppfs_cor:IncreaseDecreaseInAllowanceForDoubtfulAccountsOpeCF,貸倒引当金の増減額（△は減少）、営業活動によるキャッシュ・フロー,Increase (decrease) in allowance for doubtful accounts,Increase (decrease) in allowance for doubtful accounts-OpeCF
358,jppfs_cor:IncreaseDecreaseInProvisionForRetirementBenefitsOpeCF,退職給付引当金の増減額（△は減少）、営業活動によるキャッシュ・フロー,Increase (decrease) in provision for retirement benefits,Increase (decrease) in provision for retirement benefits-OpeCF
359,jppfs_cor:IncreaseDecreaseInProvisionForBonusesOpeCF,賞与引当金の増減額（△は減少）、営業活動によるキャッシュ・フロー,Increase (decrease) in provision for bonuses,Increase (decrease) in provision for bonuses-OpeCF
360,jppfs_cor:IncreaseDecreaseInProvisionForETCMileageServiceOpeCFHWY,ETCマイレージサービス引当金の増減額（△は減少）、営業活動によるキャッシュ・フロー、高速道路事業,Increase (decrease) in provision for ETC mileage service,Increase (decrease) in provision for ETC mileage service-OpeCF-HWY
