タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
jpigp_cor:HeadingsAndBlockTagsIFRSAbstract,目次項目及び包括タグ（IFRS） [タイトル項目],Headings and block tags (IFRS),Headings and block tags (IFRS) [abstract]
jpigp_cor:ConsolidatedFinancialStatementIFRSHeading,連結財務諸表（IFRS） [目次項目],Consolidated financial statement,Consolidated financial statement (IFRS) [heading]
jpigp_cor:ConsolidatedStatementOfFinancialPositionIFRSHeading,連結財政状態計算書（IFRS） [目次項目],Consolidated statement of financial position,Consolidated statement of financial position (IFRS) [heading]
jpigp_cor:ConsolidatedStatementOfFinancialPositionIFRSTextBlock,連結財政状態計算書（IFRS） [テキストブロック],Consolidated statement of financial position,Consolidated statement of financial position (IFRS) [text block]
jpigp_cor:ConsolidatedStatementOfProfitOrLossAndConsolidatedStatementOfComprehensiveIncomeIFRSHeading,連結損益計算書及び連結包括利益計算書（IFRS） [目次項目],Consolidated statement of profit or loss and consolidated statement of comprehensive income,Consolidated statement of profit or loss and consolidated statement of comprehensive income (IFRS) [heading]
jpigp_cor:ConsolidatedStatementOfProfitOrLossIFRSHeading,連結損益計算書（IFRS） [目次項目],Consolidated statement of profit or loss,Consolidated statement of profit or loss (IFRS) [heading]
jpigp_cor:ConsolidatedStatementOfProfitOrLossIFRSTextBlock,連結損益計算書（IFRS） [テキストブロック],Consolidated statement of profit or loss,Consolidated statement of profit or loss (IFRS) [text block]
jpigp_cor:ConsolidatedStatementOfComprehensiveIncomeIFRSHeading,連結包括利益計算書（IFRS） [目次項目],Consolidated statement of comprehensive income,Consolidated statement of comprehensive income (IFRS) [heading]
jpigp_cor:ConsolidatedStatementOfComprehensiveIncomeIFRSTextBlock,連結包括利益計算書（IFRS） [テキストブロック],Consolidated statement of comprehensive income,Consolidated statement of comprehensive income (IFRS) [text block]
jpigp_cor:ConsolidatedStatementOfComprehensiveIncomeSingleStatementIFRSHeading,連結包括利益計算書（1計算書）（IFRS） [目次項目],Consolidated statement of comprehensive income,Consolidated statement of comprehensive income (single statement) (IFRS) [heading]
jpigp_cor:ConsolidatedStatementOfComprehensiveIncomeSingleStatementIFRSTextBlock,連結包括利益計算書（1計算書）（IFRS） [テキストブロック],Consolidated statement of comprehensive income,Consolidated statement of comprehensive income (single statement) (IFRS) [text block]
jpigp_cor:ConsolidatedStatementOfChangesInEquityIFRSHeading,連結持分変動計算書（IFRS） [目次項目],Consolidated statement of changes in equity,Consolidated statement of changes in equity (IFRS) [heading]
jpigp_cor:ConsolidatedStatementOfChangesInEquityIFRSTextBlock,連結持分変動計算書（IFRS） [テキストブロック],Consolidated statement of changes in equity,Consolidated statement of changes in equity (IFRS) [text block]
jpigp_cor:ConsolidatedStatementOfCashFlowsIFRSHeading,連結キャッシュ・フロー計算書（IFRS） [目次項目],Consolidated statement of cash flows,Consolidated statement of cash flows (IFRS) [heading]
jpigp_cor:ConsolidatedStatementOfCashFlowsIFRSTextBlock,連結キャッシュ・フロー計算書（IFRS） [テキストブロック],Consolidated statement of cash flows,Consolidated statement of cash flows (IFRS) [text block]
jpigp_cor:NotesToConsolidatedFinancialStatementsIFRSHeading,連結財務諸表注記事項（IFRS） [目次項目],Notes to consolidated financial statements,Notes to consolidated financial statements (IFRS) [heading]
jpigp_cor:NotesReportingEntityConsolidatedFinancialStatementsIFRSHeading,注記事項－報告企業、連結財務諸表（IFRS） [目次項目],Notes - Reporting entity,"Notes - Reporting entity, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesReportingEntityConsolidatedFinancialStatementsIFRSTextBlock,注記事項－報告企業、連結財務諸表（IFRS） [テキストブロック],Notes - Reporting entity,"Notes - Reporting entity, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesBasisOfPreparationConsolidatedFinancialStatementsIFRSHeading,注記事項－作成の基礎、連結財務諸表（IFRS） [目次項目],Notes - Basis of preparation,"Notes - Basis of preparation, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesBasisOfPreparationConsolidatedFinancialStatementsIFRSTextBlock,注記事項－作成の基礎、連結財務諸表（IFRS） [テキストブロック],Notes - Basis of preparation,"Notes - Basis of preparation, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesSignificantAccountingPoliciesConsolidatedFinancialStatementsIFRSHeading,注記事項－重要な会計方針、連結財務諸表（IFRS） [目次項目],Notes - Significant accounting policies,"Notes - Significant accounting policies, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesSignificantAccountingPoliciesConsolidatedFinancialStatementsIFRSTextBlock,注記事項－重要な会計方針、連結財務諸表（IFRS） [テキストブロック],Notes - Significant accounting policies,"Notes - Significant accounting policies, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesChangesInAccountingPoliciesConsolidatedFinancialStatementsIFRSHeading,注記事項－会計方針の変更、連結財務諸表（IFRS） [目次項目],Notes - Changes in accounting policies,"Notes - Changes in accounting policies, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesChangesInAccountingPoliciesConsolidatedFinancialStatementsIFRSTextBlock,注記事項－会計方針の変更、連結財務諸表（IFRS） [テキストブロック],Notes - Changes in accounting policies,"Notes - Changes in accounting policies, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesSignificantAccountingEstimatesAndJudgementsConsolidatedFinancialStatementsIFRSHeading,注記事項－重要な会計上の見積り及び判断、連結財務諸表（IFRS） [目次項目],Notes - Significant accounting estimates and judgements,"Notes - Significant accounting estimates and judgements, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesSignificantAccountingEstimatesAndJudgementsConsolidatedFinancialStatementsIFRSTextBlock,注記事項－重要な会計上の見積り及び判断、連結財務諸表（IFRS） [テキストブロック],Notes - Significant accounting estimates and judgements,"Notes - Significant accounting estimates and judgements, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesNewStandardsNotYetAppliedConsolidatedFinancialStatementsIFRSHeading,注記事項－未適用の新基準、連結財務諸表（IFRS） [目次項目],Notes - New standards not yet applied,"Notes - New standards not yet applied, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesNewStandardsNotYetAppliedConsolidatedFinancialStatementsIFRSTextBlock,注記事項－未適用の新基準、連結財務諸表（IFRS） [テキストブロック],Notes - New standards not yet applied,"Notes - New standards not yet applied, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesSegmentInformationConsolidatedFinancialStatementsIFRSHeading,注記事項－セグメント情報、連結財務諸表（IFRS） [目次項目],Notes - Segment information,"Notes - Segment information, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesSegmentInformationConsolidatedFinancialStatementsIFRSTextBlock,注記事項－セグメント情報、連結財務諸表（IFRS） [テキストブロック],Notes - Segment information,"Notes - Segment information, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesGroupEntitiesConsolidatedFinancialStatementsIFRSHeading,注記事項－グループ企業、連結財務諸表（IFRS） [目次項目],Notes - Group entities,"Notes - Group entities, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesGroupEntitiesConsolidatedFinancialStatementsIFRSTextBlock,注記事項－グループ企業、連結財務諸表（IFRS） [テキストブロック],Notes - Group entities,"Notes - Group entities, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesSubsidiariesAndAssociatesConsolidatedFinancialStatementsIFRSHeading,注記事項－子会社及び関連会社、連結財務諸表（IFRS） [目次項目],Notes - Subsidiaries and associates,"Notes - Subsidiaries and associates, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesSubsidiariesAndAssociatesConsolidatedFinancialStatementsIFRSTextBlock,注記事項－子会社及び関連会社、連結財務諸表（IFRS） [テキストブロック],Notes - Subsidiaries and associates,"Notes - Subsidiaries and associates, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesSubsidiariesConsolidatedFinancialStatementsIFRSHeading,注記事項－子会社、連結財務諸表（IFRS） [目次項目],Notes - Subsidiaries,"Notes - Subsidiaries, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesSubsidiariesConsolidatedFinancialStatementsIFRSTextBlock,注記事項－子会社、連結財務諸表（IFRS） [テキストブロック],Notes - Subsidiaries,"Notes - Subsidiaries, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesAssociatesAndJointVenturesConsolidatedFinancialStatementsIFRSHeading,注記事項－関連会社及びジョイント・ベンチャー、連結財務諸表（IFRS） [目次項目],Notes - Associates and joint ventures,"Notes - Associates and joint ventures, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesAssociatesAndJointVenturesConsolidatedFinancialStatementsIFRSTextBlock,注記事項－関連会社及びジョイント・ベンチャー、連結財務諸表（IFRS） [テキストブロック],Notes - Associates and joint ventures,"Notes - Associates and joint ventures, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesAssociatesConsolidatedFinancialStatementsIFRSHeading,注記事項－関連会社、連結財務諸表（IFRS） [目次項目],Notes - Associates,"Notes - Associates, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesAssociatesConsolidatedFinancialStatementsIFRSTextBlock,注記事項－関連会社、連結財務諸表（IFRS） [テキストブロック],Notes - Associates,"Notes - Associates, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesInterestsInOtherEntitiesConsolidatedFinancialStatementsIFRSHeading,注記事項－他の企業への関与、連結財務諸表（IFRS） [目次項目],Notes - Interests in other entities,"Notes - Interests in other entities, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesInterestsInOtherEntitiesConsolidatedFinancialStatementsIFRSTextBlock,注記事項－他の企業への関与、連結財務諸表（IFRS） [テキストブロック],Notes - Interests in other entities,"Notes - Interests in other entities, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesBusinessCombinationsConsolidatedFinancialStatementsIFRSHeading,注記事項－企業結合、連結財務諸表（IFRS） [目次項目],Notes - Business combinations,"Notes - Business combinations, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesBusinessCombinationsConsolidatedFinancialStatementsIFRSTextBlock,注記事項－企業結合、連結財務諸表（IFRS） [テキストブロック],Notes - Business combinations,"Notes - Business combinations, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesStructuredEntitiesConsolidatedFinancialStatementsIFRSHeading,注記事項－ストラクチャード・エンティティ、連結財務諸表（IFRS） [目次項目],Notes - Structured entities,"Notes - Structured entities, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesStructuredEntitiesConsolidatedFinancialStatementsIFRSTextBlock,注記事項－ストラクチャード・エンティティ、連結財務諸表（IFRS） [テキストブロック],Notes - Structured entities,"Notes - Structured entities, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesCashAndCashEquivalentsConsolidatedFinancialStatementsIFRSHeading,注記事項－現金及び現金同等物、連結財務諸表（IFRS） [目次項目],Notes - Cash and cash equivalents,"Notes - Cash and cash equivalents, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesCashAndCashEquivalentsConsolidatedFinancialStatementsIFRSTextBlock,注記事項－現金及び現金同等物、連結財務諸表（IFRS） [テキストブロック],Notes - Cash and cash equivalents,"Notes - Cash and cash equivalents, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesTradeAndOtherReceivablesConsolidatedFinancialStatementsIFRSHeading,注記事項－営業債権及びその他の債権、連結財務諸表（IFRS） [目次項目],Notes - Trade and other receivables,"Notes - Trade and other receivables, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesTradeAndOtherReceivablesConsolidatedFinancialStatementsIFRSTextBlock,注記事項－営業債権及びその他の債権、連結財務諸表（IFRS） [テキストブロック],Notes - Trade and other receivables,"Notes - Trade and other receivables, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesTradeReceivablesConsolidatedFinancialStatementsIFRSHeading,注記事項－営業債権、連結財務諸表（IFRS） [目次項目],Notes - Trade receivables,"Notes - Trade receivables, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesTradeReceivablesConsolidatedFinancialStatementsIFRSTextBlock,注記事項－営業債権、連結財務諸表（IFRS） [テキストブロック],Notes - Trade receivables,"Notes - Trade receivables, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesTradeAndOtherReceivables2ConsolidatedFinancialStatementsIFRSHeading,注記事項－売上債権及びその他の債権、連結財務諸表（IFRS） [目次項目],Notes - Trade and other receivables,"Notes - Trade and other receivables 2, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesTradeAndOtherReceivables2ConsolidatedFinancialStatementsIFRSTextBlock,注記事項－売上債権及びその他の債権、連結財務諸表（IFRS） [テキストブロック],Notes - Trade and other receivables,"Notes - Trade and other receivables 2, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesTradeReceivables2ConsolidatedFinancialStatementsIFRSHeading,注記事項－売上債権、連結財務諸表（IFRS） [目次項目],Notes - Trade receivables,"Notes - Trade receivables 2, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesTradeReceivables2ConsolidatedFinancialStatementsIFRSTextBlock,注記事項－売上債権、連結財務諸表（IFRS） [テキストブロック],Notes - Trade receivables,"Notes - Trade receivables 2, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesTradeAndOtherReceivables3ConsolidatedFinancialStatementsIFRSHeading,注記事項－売掛金及びその他の債権、連結財務諸表（IFRS） [目次項目],Notes - Trade and other receivables,"Notes - Trade and other receivables 3, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesTradeAndOtherReceivables3ConsolidatedFinancialStatementsIFRSTextBlock,注記事項－売掛金及びその他の債権、連結財務諸表（IFRS） [テキストブロック],Notes - Trade and other receivables,"Notes - Trade and other receivables 3, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesInventoriesConsolidatedFinancialStatementsIFRSHeading,注記事項－棚卸資産、連結財務諸表（IFRS） [目次項目],Notes - Inventories,"Notes - Inventories, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesInventoriesConsolidatedFinancialStatementsIFRSTextBlock,注記事項－棚卸資産、連結財務諸表（IFRS） [テキストブロック],Notes - Inventories,"Notes - Inventories, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesAssetsHeldForSaleConsolidatedFinancialStatementsIFRSHeading,注記事項－売却目的で保有する資産、連結財務諸表（IFRS） [目次項目],Notes - Assets held for sale,"Notes - Assets held for sale, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesAssetsHeldForSaleConsolidatedFinancialStatementsIFRSTextBlock,注記事項－売却目的で保有する資産、連結財務諸表（IFRS） [テキストブロック],Notes - Assets held for sale,"Notes - Assets held for sale, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesPropertyPlantAndEquipmentConsolidatedFinancialStatementsIFRSHeading,注記事項－有形固定資産、連結財務諸表（IFRS） [目次項目],"Notes - Property, plant and equipment","Notes - Property, plant and equipment, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesPropertyPlantAndEquipmentConsolidatedFinancialStatementsIFRSTextBlock,注記事項－有形固定資産、連結財務諸表（IFRS） [テキストブロック],"Notes - Property, plant and equipment","Notes - Property, plant and equipment, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesGoodwillAndIntangibleAssetsConsolidatedFinancialStatementsIFRSHeading,注記事項－のれん及び無形資産、連結財務諸表（IFRS） [目次項目],Notes - Goodwill and intangible assets,"Notes - Goodwill and intangible assets, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesGoodwillAndIntangibleAssetsConsolidatedFinancialStatementsIFRSTextBlock,注記事項－のれん及び無形資産、連結財務諸表（IFRS） [テキストブロック],Notes - Goodwill and intangible assets,"Notes - Goodwill and intangible assets, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesGoodwillConsolidatedFinancialStatementsIFRSHeading,注記事項－のれん、連結財務諸表（IFRS） [目次項目],Notes - Goodwill,"Notes - Goodwill, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesGoodwillConsolidatedFinancialStatementsIFRSTextBlock,注記事項－のれん、連結財務諸表（IFRS） [テキストブロック],Notes - Goodwill,"Notes - Goodwill, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesIntangibleAssetsConsolidatedFinancialStatementsIFRSHeading,注記事項－無形資産、連結財務諸表（IFRS） [目次項目],Notes - Intangible assets,"Notes - Intangible assets, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesIntangibleAssetsConsolidatedFinancialStatementsIFRSTextBlock,注記事項－無形資産、連結財務諸表（IFRS） [テキストブロック],Notes - Intangible assets,"Notes - Intangible assets, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesImpairmentLossesConsolidatedFinancialStatementsIFRSHeading,注記事項－減損損失、連結財務諸表（IFRS） [目次項目],Notes - Impairment losses,"Notes - Impairment losses, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesImpairmentLossesConsolidatedFinancialStatementsIFRSTextBlock,注記事項－減損損失、連結財務諸表（IFRS） [テキストブロック],Notes - Impairment losses,"Notes - Impairment losses, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesInvestmentPropertyConsolidatedFinancialStatementsIFRSHeading,注記事項－投資不動産、連結財務諸表（IFRS） [目次項目],Notes - Investment property,"Notes - Investment property, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesInvestmentPropertyConsolidatedFinancialStatementsIFRSTextBlock,注記事項－投資不動産、連結財務諸表（IFRS） [テキストブロック],Notes - Investment property,"Notes - Investment property, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesInvestmentsAccountedForUsingEquityMethodConsolidatedFinancialStatementsIFRSHeading,注記事項－持分法で会計処理されている投資、連結財務諸表（IFRS） [目次項目],Notes - Investments accounted for using equity method,"Notes - Investments accounted for using equity method, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesInvestmentsAccountedForUsingEquityMethodConsolidatedFinancialStatementsIFRSTextBlock,注記事項－持分法で会計処理されている投資、連結財務諸表（IFRS） [テキストブロック],Notes - Investments accounted for using equity method,"Notes - Investments accounted for using equity method, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesBiologicalAssetsConsolidatedFinancialStatementsIFRSHeading,注記事項－生物資産、連結財務諸表（IFRS） [目次項目],Notes - Biological assets,"Notes - Biological assets, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesBiologicalAssetsConsolidatedFinancialStatementsIFRSTextBlock,注記事項－生物資産、連結財務諸表（IFRS） [テキストブロック],Notes - Biological assets,"Notes - Biological assets, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesExplorationForAndEvaluationOfMineralResourcesConsolidatedFinancialStatementsIFRSHeading,注記事項－鉱物資源の探査及び評価、連結財務諸表（IFRS） [目次項目],Notes - Exploration for and evaluation of mineral resources,"Notes - Exploration for and evaluation of mineral resources, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesExplorationForAndEvaluationOfMineralResourcesConsolidatedFinancialStatementsIFRSTextBlock,注記事項－鉱物資源の探査及び評価、連結財務諸表（IFRS） [テキストブロック],Notes - Exploration for and evaluation of mineral resources,"Notes - Exploration for and evaluation of mineral resources, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherInvestmentsConsolidatedFinancialStatementsIFRSHeading,注記事項－その他の投資、連結財務諸表（IFRS） [目次項目],Notes - Other investments,"Notes - Other investments, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherInvestmentsConsolidatedFinancialStatementsIFRSTextBlock,注記事項－その他の投資、連結財務諸表（IFRS） [テキストブロック],Notes - Other investments,"Notes - Other investments, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherFinancialAssetsAndOtherFinancialLiabilitiesConsolidatedFinancialStatementsIFRSHeading,注記事項－その他の金融資産及びその他の金融負債、連結財務諸表（IFRS） [目次項目],Notes - Other financial assets and other financial liabilities,"Notes - Other financial assets and other financial liabilities, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherFinancialAssetsAndOtherFinancialLiabilitiesConsolidatedFinancialStatementsIFRSTextBlock,注記事項－その他の金融資産及びその他の金融負債、連結財務諸表（IFRS） [テキストブロック],Notes - Other financial assets and other financial liabilities,"Notes - Other financial assets and other financial liabilities, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherFinancialAssetsConsolidatedFinancialStatementsIFRSHeading,注記事項－その他の金融資産、連結財務諸表（IFRS） [目次項目],Notes - Other financial assets,"Notes - Other financial assets, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherFinancialAssetsConsolidatedFinancialStatementsIFRSTextBlock,注記事項－その他の金融資産、連結財務諸表（IFRS） [テキストブロック],Notes - Other financial assets,"Notes - Other financial assets, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherCurrentAssetsAndOtherNonCurrentAssetsConsolidatedFinancialStatementsIFRSHeading,注記事項－その他の流動資産及びその他の非流動資産、連結財務諸表（IFRS） [目次項目],Notes - Other current assets and other non-current assets,"Notes - Other current assets and other non-current assets, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherCurrentAssetsAndOtherNonCurrentAssetsConsolidatedFinancialStatementsIFRSTextBlock,注記事項－その他の流動資産及びその他の非流動資産、連結財務諸表（IFRS） [テキストブロック],Notes - Other current assets and other non-current assets,"Notes - Other current assets and other non-current assets, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherCurrentAssetsConsolidatedFinancialStatementsIFRSHeading,注記事項－その他の流動資産、連結財務諸表（IFRS） [目次項目],Notes - Other current assets,"Notes - Other current assets, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherCurrentAssetsConsolidatedFinancialStatementsIFRSTextBlock,注記事項－その他の流動資産、連結財務諸表（IFRS） [テキストブロック],Notes - Other current assets,"Notes - Other current assets, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherNonCurrentAssetsConsolidatedFinancialStatementsIFRSHeading,注記事項－その他の非流動資産、連結財務諸表（IFRS） [目次項目],Notes - Other non-current assets,"Notes - Other non-current assets, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherNonCurrentAssetsConsolidatedFinancialStatementsIFRSTextBlock,注記事項－その他の非流動資産、連結財務諸表（IFRS） [テキストブロック],Notes - Other non-current assets,"Notes - Other non-current assets, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherAssetsAndOtherLiabilitiesConsolidatedFinancialStatementsIFRSHeading,注記事項－その他の資産及びその他の負債、連結財務諸表（IFRS） [目次項目],Notes - Other assets and other liabilities,"Notes - Other assets and other liabilities, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherAssetsAndOtherLiabilitiesConsolidatedFinancialStatementsIFRSTextBlock,注記事項－その他の資産及びその他の負債、連結財務諸表（IFRS） [テキストブロック],Notes - Other assets and other liabilities,"Notes - Other assets and other liabilities, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherAssetsConsolidatedFinancialStatementsIFRSHeading,注記事項－その他の資産、連結財務諸表（IFRS） [目次項目],Notes - Other assets,"Notes - Other assets, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherAssetsConsolidatedFinancialStatementsIFRSTextBlock,注記事項－その他の資産、連結財務諸表（IFRS） [テキストブロック],Notes - Other assets,"Notes - Other assets, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesDeferredTaxesAndIncomeTaxesConsolidatedFinancialStatementsIFRSHeading,注記事項－繰延税金及び法人所得税、連結財務諸表（IFRS） [目次項目],Notes - Deferred taxes and income taxes,"Notes - Deferred taxes and income taxes, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesDeferredTaxesAndIncomeTaxesConsolidatedFinancialStatementsIFRSTextBlock,注記事項－繰延税金及び法人所得税、連結財務諸表（IFRS） [テキストブロック],Notes - Deferred taxes and income taxes,"Notes - Deferred taxes and income taxes, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesDeferredTaxesConsolidatedFinancialStatementsIFRSHeading,注記事項－繰延税金、連結財務諸表（IFRS） [目次項目],Notes - Deferred taxes,"Notes - Deferred taxes, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesDeferredTaxesConsolidatedFinancialStatementsIFRSTextBlock,注記事項－繰延税金、連結財務諸表（IFRS） [テキストブロック],Notes - Deferred taxes,"Notes - Deferred taxes, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesIncomeTaxesConsolidatedFinancialStatementsIFRSHeading,注記事項－法人所得税、連結財務諸表（IFRS） [目次項目],Notes - Income taxes,"Notes - Income taxes, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesIncomeTaxesConsolidatedFinancialStatementsIFRSTextBlock,注記事項－法人所得税、連結財務諸表（IFRS） [テキストブロック],Notes - Income taxes,"Notes - Income taxes, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesTradeAndOtherPayablesConsolidatedFinancialStatementsIFRSHeading,注記事項－営業債務及びその他の債務、連結財務諸表（IFRS） [目次項目],Notes - Trade and other payables,"Notes - Trade and other payables, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesTradeAndOtherPayablesConsolidatedFinancialStatementsIFRSTextBlock,注記事項－営業債務及びその他の債務、連結財務諸表（IFRS） [テキストブロック],Notes - Trade and other payables,"Notes - Trade and other payables, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesTradeAndOtherPayables2ConsolidatedFinancialStatementsIFRSHeading,注記事項－仕入債務及びその他の債務、連結財務諸表（IFRS） [目次項目],Notes - Trade and other payables,"Notes - Trade and other payables 2, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesTradeAndOtherPayables2ConsolidatedFinancialStatementsIFRSTextBlock,注記事項－仕入債務及びその他の債務、連結財務諸表（IFRS） [テキストブロック],Notes - Trade and other payables,"Notes - Trade and other payables 2, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesTradeAndOtherPayables3ConsolidatedFinancialStatementsIFRSHeading,注記事項－買掛金及びその他の債務、連結財務諸表（IFRS） [目次項目],Notes - Trade and other payables,"Notes - Trade and other payables 3, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesTradeAndOtherPayables3ConsolidatedFinancialStatementsIFRSTextBlock,注記事項－買掛金及びその他の債務、連結財務諸表（IFRS） [テキストブロック],Notes - Trade and other payables,"Notes - Trade and other payables 3, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesTradePayablesConsolidatedFinancialStatementsIFRSHeading,注記事項－営業債務、連結財務諸表（IFRS） [目次項目],Notes - Trade payables,"Notes - Trade payables, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesTradePayablesConsolidatedFinancialStatementsIFRSTextBlock,注記事項－営業債務、連結財務諸表（IFRS） [テキストブロック],Notes - Trade payables,"Notes - Trade payables, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesTradePayables2ConsolidatedFinancialStatementsIFRSHeading,注記事項－仕入債務、連結財務諸表（IFRS） [目次項目],Notes - Trade payables,"Notes - Trade payables 2, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesTradePayables2ConsolidatedFinancialStatementsIFRSTextBlock,注記事項－仕入債務、連結財務諸表（IFRS） [テキストブロック],Notes - Trade payables,"Notes - Trade payables 2, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesTradePayables3ConsolidatedFinancialStatementsIFRSHeading,注記事項－買入債務、連結財務諸表（IFRS） [目次項目],Notes - Trade payables,"Notes - Trade payables 3, Consolidated financial statements (IFRS) [heading]"
