タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
jpigp_cor:NotesContingentLiabilitiesCondensedSemiAnnualFinancialStatementsIFRSTextBlock,注記事項－偶発債務、要約中間財務諸表（IFRS） [テキストブロック],Notes - Contingent liabilities,"Notes - Contingent liabilities, Condensed semi-annual financial statements (IFRS) [text block]"
jpigp_cor:NotesSubsequentEventsCondensedSemiAnnualFinancialStatementsIFRSHeading,注記事項－後発事象、要約中間財務諸表（IFRS） [目次項目],Notes - Subsequent events,"Notes - Subsequent events, Condensed semi-annual financial statements (IFRS) [heading]"
jpigp_cor:NotesSubsequentEventsCondensedSemiAnnualFinancialStatementsIFRSTextBlock,注記事項－後発事象、要約中間財務諸表（IFRS） [テキストブロック],Notes - Subsequent events,"Notes - Subsequent events, Condensed semi-annual financial statements (IFRS) [text block]"
jpigp_cor:NotesApprovalOfCondensedSemiAnnualFinancialStatementsIFRSHeading,注記事項－要約中間財務諸表の承認（IFRS） [目次項目],Notes - Approval of condensed semi-annual financial statements,Notes - Approval of condensed semi-annual financial statements (IFRS) [heading]
jpigp_cor:NotesApprovalOfCondensedSemiAnnualFinancialStatementsIFRSTextBlock,注記事項－要約中間財務諸表の承認（IFRS） [テキストブロック],Notes - Approval of condensed semi-annual financial statements,Notes - Approval of condensed semi-annual financial statements (IFRS) [text block]
jpigp_cor:NotesFirstTimeAdoptionCondensedSemiAnnualFinancialStatementsIFRSHeading,注記事項－初度適用、要約中間財務諸表（IFRS） [目次項目],Notes - First-time adoption,"Notes - First-time adoption, Condensed semi-annual financial statements (IFRS) [heading]"
jpigp_cor:NotesFirstTimeAdoptionCondensedSemiAnnualFinancialStatementsIFRSTextBlock,注記事項－初度適用、要約中間財務諸表（IFRS） [テキストブロック],Notes - First-time adoption,"Notes - First-time adoption, Condensed semi-annual financial statements (IFRS) [text block]"
jpigp_cor:CondensedQuarterlyFinancialStatementIFRSHeading,国際会計基準による要約四半期財務諸表（IFRS） [目次項目],Condensed quarterly financial statement (IFRS),Condensed quarterly financial statement (IFRS) [heading]
jpigp_cor:CondensedQuarterlyStatementOfFinancialPositionIFRSHeading,要約四半期財政状態計算書（IFRS） [目次項目],Condensed quarterly statement of financial position,Condensed quarterly statement of financial position (IFRS) [heading]
jpigp_cor:CondensedQuarterlyStatementOfFinancialPositionIFRSTextBlock,要約四半期財政状態計算書（IFRS） [テキストブロック],Condensed quarterly statement of financial position,Condensed quarterly statement of financial position (IFRS) [text block]
jpigp_cor:CondensedQuarterlyStatementOfProfitOrLossAndCondensedQuarterlyStatementOfComprehensiveIncomeIFRSHeading,要約四半期損益計算書及び要約四半期包括利益計算書（IFRS） [目次項目],Condensed quarterly statement of profit or loss and condensed quarterly statement of comprehensive income,Condensed quarterly statement of profit or loss and condensed quarterly statement of comprehensive income (IFRS) [heading]
jpigp_cor:CondensedQuarterlyStatementOfProfitOrLossIFRSHeading,要約四半期損益計算書（IFRS） [目次項目],Condensed quarterly statement of profit or loss,Condensed quarterly statement of profit or loss (IFRS) [heading]
jpigp_cor:CondensedYearToQuarterEndStatementOfProfitOrLossIFRSHeading,四半期累計期間、要約四半期損益計算書（IFRS） [目次項目],Condensed year to quarter end statement of profit or loss,Condensed year to quarter end statement of profit or loss (IFRS) [heading]
jpigp_cor:CondensedYearToQuarterEndStatementOfProfitOrLossIFRSTextBlock,四半期累計期間、要約四半期損益計算書（IFRS） [テキストブロック],Condensed year to quarter end statement of profit or loss,Condensed year to quarter end statement of profit or loss (IFRS) [text block]
jpigp_cor:CondensedQuarterPeriodStatementOfProfitOrLossIFRSHeading,四半期会計期間、要約四半期損益計算書（IFRS） [目次項目],Condensed quarter period statement of profit or loss,Condensed quarter period statement of profit or loss (IFRS) [heading]
jpigp_cor:CondensedQuarterPeriodStatementOfProfitOrLossIFRSTextBlock,四半期会計期間、要約四半期損益計算書（IFRS） [テキストブロック],Condensed quarter period statement of profit or loss,Condensed quarter period statement of profit or loss (IFRS) [text block]
jpigp_cor:CondensedQuarterlyStatementOfComprehensiveIncomeIFRSHeading,要約四半期包括利益計算書（IFRS） [目次項目],Condensed quarterly statement of comprehensive income,Condensed quarterly statement of comprehensive income (IFRS) [heading]
jpigp_cor:CondensedYearToQuarterEndStatementOfComprehensiveIncomeIFRSHeading,四半期累計期間、要約四半期包括利益計算書（IFRS） [目次項目],Condensed year to quarter end statement of comprehensive income,Condensed year to quarter end statement of comprehensive income (IFRS) [heading]
jpigp_cor:CondensedYearToQuarterEndStatementOfComprehensiveIncomeIFRSTextBlock,四半期累計期間、要約四半期包括利益計算書（IFRS） [テキストブロック],Condensed year to quarter end statement of comprehensive income,Condensed year to quarter end statement of comprehensive income (IFRS) [text block]
jpigp_cor:CondensedQuarterPeriodStatementOfComprehensiveIncomeIFRSHeading,四半期会計期間、要約四半期包括利益計算書（IFRS） [目次項目],Condensed quarter period statement of comprehensive income,Condensed quarter period statement of comprehensive income (IFRS) [heading]
jpigp_cor:CondensedQuarterPeriodStatementOfComprehensiveIncomeIFRSTextBlock,四半期会計期間、要約四半期包括利益計算書（IFRS） [テキストブロック],Condensed quarter period statement of comprehensive income,Condensed quarter period statement of comprehensive income (IFRS) [text block]
jpigp_cor:CondensedQuarterlyStatementOfComprehensiveIncomeSingleStatementIFRSHeading,要約四半期包括利益計算書（1計算書）（IFRS） [目次項目],Condensed quarterly statement of comprehensive income,Condensed quarterly statement of comprehensive income (single statement) (IFRS) [heading]
jpigp_cor:CondensedYearToQuarterEndStatementOfComprehensiveIncomeSingleStatementIFRSHeading,四半期累計期間、要約四半期包括利益計算書（1計算書）（IFRS） [目次項目],Condensed year to quarter end statement of comprehensive income,Condensed year to quarter end statement of comprehensive income (single statement) (IFRS) [heading]
jpigp_cor:CondensedYearToQuarterEndStatementOfComprehensiveIncomeSingleStatementIFRSTextBlock,四半期累計期間、要約四半期包括利益計算書（1計算書）（IFRS） [テキストブロック],Condensed year to quarter end statement of comprehensive income,Condensed year to quarter end statement of comprehensive income (single statement) (IFRS) [text block]
jpigp_cor:CondensedQuarterPeriodStatementOfComprehensiveIncomeSingleStatementIFRSHeading,四半期会計期間、要約四半期包括利益計算書（1計算書）（IFRS） [目次項目],Condensed quarter period statement of comprehensive income,Condensed quarter period statement of comprehensive income (single statement) (IFRS) [heading]
jpigp_cor:CondensedQuarterPeriodStatementOfComprehensiveIncomeSingleStatementIFRSTextBlock,四半期会計期間、要約四半期包括利益計算書（1計算書）（IFRS） [テキストブロック],Condensed quarter period statement of comprehensive income,Condensed quarter period statement of comprehensive income (single statement) (IFRS) [text block]
jpigp_cor:CondensedQuarterlyStatementOfChangesInEquityIFRSHeading,要約四半期持分変動計算書（IFRS） [目次項目],Condensed quarterly statement of changes in equity,Condensed quarterly statement of changes in equity (IFRS) [heading]
jpigp_cor:CondensedQuarterlyStatementOfChangesInEquityIFRSTextBlock,要約四半期持分変動計算書（IFRS） [テキストブロック],Condensed quarterly statement of changes in equity,Condensed quarterly statement of changes in equity (IFRS) [text block]
jpigp_cor:CondensedQuarterlyStatementOfCashFlowsIFRSHeading,要約四半期キャッシュ・フロー計算書（IFRS） [目次項目],Condensed quarterly statement of cash flows,Condensed quarterly statement of cash flows (IFRS) [heading]
jpigp_cor:CondensedQuarterlyStatementOfCashFlowsIFRSTextBlock,要約四半期キャッシュ・フロー計算書（IFRS） [テキストブロック],Condensed quarterly statement of cash flows,Condensed quarterly statement of cash flows (IFRS) [text block]
jpigp_cor:NotesToCondensedQuarterlyFinancialStatementsIFRSHeading,要約四半期財務諸表注記事項（IFRS） [目次項目],Notes to condensed quarterly financial statements,Notes to condensed quarterly financial statements (IFRS) [heading]
jpigp_cor:NotesReportingEntityCondensedQuarterlyFinancialStatementsIFRSHeading,注記事項－報告企業、要約四半期財務諸表（IFRS） [目次項目],Notes - Reporting entity,"Notes - Reporting entity, Condensed quarterly financial statements (IFRS) [heading]"
jpigp_cor:NotesReportingEntityCondensedQuarterlyFinancialStatementsIFRSTextBlock,注記事項－報告企業、要約四半期財務諸表（IFRS） [テキストブロック],Notes - Reporting entity,"Notes - Reporting entity, Condensed quarterly financial statements (IFRS) [text block]"
