,タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
49,jppfs_cor:AccumulatedDepreciationEquipmentWAT,減価償却累計額、器具及び備品、海運業,Accumulated depreciation,Accumulated depreciation-equipment-WAT
50,jppfs_cor:AccumulatedDepreciationAndImpairmentLossEquipmentWAT,減価償却累計額及び減損損失累計額、器具及び備品、海運業,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-equipment-WAT
51,jppfs_cor:AccumulatedImpairmentLossEquipmentWAT,減損損失累計額、器具及び備品、海運業,Accumulated impairment loss,Accumulated impairment loss-equipment-WAT
52,jppfs_cor:EquipmentNetPPEWAT,器具及び備品（純額）、有形固定資産、海運業,"Equipment, net","Equipment, net-PPE-WAT"
53,jppfs_cor:Land,土地,Land,Land
54,jppfs_cor:ConstructionInProgress,建設仮勘定,Construction in progress,Construction in progress
55,jppfs_cor:OtherPPE,その他、有形固定資産,Other,Other-PPE
56,jppfs_cor:AccumulatedDepreciationOtherPPE,減価償却累計額、その他、有形固定資産,Accumulated depreciation,Accumulated depreciation-other-PPE
57,jppfs_cor:OtherNetPPE,その他（純額）、有形固定資産,"Other, net","Other, net-PPE"
58,jppfs_cor:PropertyPlantAndEquipment,有形固定資産,"Property, plant and equipment","Property, plant and equipment"
59,jppfs_cor:IntangibleAssetsAbstract,無形固定資産 [タイトル項目],Intangible assets,Intangible assets [abstract]
60,jppfs_cor:Goodwill,のれん,Goodwill,Goodwill
61,jppfs_cor:LeaseholdRight,借地権,Leasehold right,Leasehold right
62,jppfs_cor:Software,ソフトウエア,Software,Software
63,jppfs_cor:OtherIA,その他、無形固定資産,Other,Other-IA
64,jppfs_cor:IntangibleAssets,無形固定資産,Intangible assets,Intangible assets
65,jppfs_cor:InvestmentsAndOtherAssetsAbstract,投資その他の資産 [タイトル項目],Investments and other assets,Investments and other assets [abstract]
66,jppfs_cor:InvestmentSecurities,投資有価証券,Investment securities,Investment securities
67,jppfs_cor:StocksOfSubsidiariesAndAffiliates,関係会社株式,Shares of subsidiaries and associates,Shares of subsidiaries and associates
68,jppfs_cor:BondsOfSubsidiariesAndAffiliates,関係会社社債,Bonds of subsidiaries and associates,Bonds of subsidiaries and associates
69,jppfs_cor:InvestmentsInCapital,出資金,Investments in capital,Investments in capital
70,jppfs_cor:InvestmentsInCapitalOfSubsidiariesAndAffiliates,関係会社出資金,Investments in capital of subsidiaries and associates,Investments in capital of subsidiaries and associates
71,jppfs_cor:LongTermLoansReceivable,長期貸付金,Long-term loans receivable,Long-term loans receivable
72,jppfs_cor:AllowanceForDoubtfulAccountsLongTermLoansReceivable,貸倒引当金、長期貸付金,Allowance for doubtful accounts,Allowance for doubtful accounts-long-term loans receivable
73,jppfs_cor:LongTermLoansReceivableNet,長期貸付金（純額）,"Long-term loans receivable, net","Long-term loans receivable, net"
74,jppfs_cor:LongTermLoansReceivableFromShareholdersDirectorsOrEmployees,株主、役員又は従業員に対する長期貸付金,"Long-term loans receivable from shareholders, directors (and other officers) or employees","Long-term loans receivable from shareholders, directors (and other officers) or employees"
75,jppfs_cor:AllowanceForDoubtfulAccountsLongTermLoansReceivableFromShareholdersDirectorsOrEmployees,貸倒引当金、株主、役員又は従業員に対する長期貸付金,Allowance for doubtful accounts,"Allowance for doubtful accounts, Long-term loans receivable from shareholders, directors (and other officers) or employees"
76,jppfs_cor:LongTermLoansReceivableFromShareholdersDirectorsOrEmployeesNet,株主、役員又は従業員に対する長期貸付金（純額）,"Long-term loans receivable from shareholders, directors (and other officers) or employees, net","Long-term loans receivable from shareholders, directors (and other officers) or employees, net"
77,jppfs_cor:LongTermLoansReceivableFromSubsidiariesAndAffiliates,関係会社長期貸付金,Long-term loans receivable from subsidiaries and associates,Long-term loans receivable from subsidiaries and associates
78,jppfs_cor:AllowanceForDoubtfulAccountsLongTermLoansReceivableFromSubsidiariesAndAffiliates,貸倒引当金、関係会社長期貸付金,Allowance for doubtful accounts,Allowance for doubtful accounts-long-term loans receivable from subsidiaries and affiliates
79,jppfs_cor:LongTermLoansReceivableFromSubsidiariesAndAffiliatesNet,関係会社長期貸付金（純額）,"Long-term loans receivable from subsidiaries and associates, net","Long-term loans receivable from subsidiaries and associates, net"
