,タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
46,jppfs_cor:PropertyPlantAndEquipmentNCARelatedRWY,有形固定資産、関連事業固定資産、鉄道事業,"Property, plant and equipment","Property, plant and equipment-NCA-related-RWY"
47,jppfs_cor:AccumulatedDepreciationPPERelatedRWY,減価償却累計額、関連事業有形固定資産、鉄道事業,Accumulated depreciation,Accumulated depreciation-PPE-related-RWY
48,jppfs_cor:PropertyPlantAndEquipmentNetNCARelatedRWY,有形固定資産（純額）、関連事業固定資産、鉄道事業,"Property, plant and equipment, net","Property, plant and equipment, net-NCA-related-RWY"
49,jppfs_cor:IntangibleAssetsRelatedRWY,無形固定資産、関連事業固定資産、鉄道事業,Intangible assets,Intangible assets-related-RWY
50,jppfs_cor:NoncurrentAssetsRelatedRWY,関連事業固定資産、鉄道事業,Non-current assets - related,Non-current assets - related-RWY
51,jppfs_cor:NoncurrentAssetsAffiliatedAbstractRWY,各事業関連固定資産、鉄道事業 [タイトル項目],Non-current assets - affiliated,Non-current assets - affiliated-RWY [abstract]
52,jppfs_cor:PropertyPlantAndEquipmentNCAAffiliatedRWY,有形固定資産、各事業関連固定資産、鉄道事業,"Property, plant and equipment","Property, plant and equipment-NCA-affiliated-RWY"
53,jppfs_cor:AccumulatedDepreciationNCAAffiliatedRWY,減価償却累計額、各事業関連固定資産、鉄道事業,Accumulated depreciation,Accumulated depreciation-NCA-affiliated-RWY
54,jppfs_cor:PropertyPlantAndEquipmentNetNCAAffiliatedRWY,有形固定資産（純額）、各事業関連固定資産、鉄道事業,"Property, plant and equipment, net","Property, plant and equipment, net-NCA-affiliated-RWY"
55,jppfs_cor:IntangibleAssetsAffiliatedRWY,無形固定資産、各事業関連固定資産、鉄道事業,Intangible assets,Intangible assets-affiliated-RWY
56,jppfs_cor:NoncurrentAssetsAffiliatedRWY,各事業関連固定資産、鉄道事業,Non-current assets - affiliated,Non-current assets - affiliated-RWY
57,jppfs_cor:ConstructionInProgressAbstractRWY,建設仮勘定、鉄道事業 [タイトル項目],Construction in progress,Construction in progress-RWY [abstract]
58,jppfs_cor:ConstructionInProgressRailwayRWY,鉄道事業、建設仮勘定、鉄道事業,Construction in progress - railway,Construction in progress-railway-RWY
59,jppfs_cor:ConstructionInProgressRWY,建設仮勘定、鉄道事業,Construction in progress,Construction in progress-RWY
60,jppfs_cor:ConstructionInProgressOtherRWY,その他、建設仮勘定、鉄道事業,Construction in progress - other,Construction in progress-other-RWY
61,jppfs_cor:ConstructionInProgressOtherBusinessRWY,その他の事業、建設仮勘定、鉄道事業,Construction in progress - other business,Construction in progress-other business-RWY
62,jppfs_cor:ConstructionInProgressRealEstateRWY,不動産事業、建設仮勘定、鉄道事業,Construction in progress - real estate,Construction in progress-real estate-RWY
63,jppfs_cor:ConstructionInProgressRelatedRWY,関連事業、建設仮勘定、鉄道事業,Construction in progress - related,Construction in progress-related-RWY
64,jppfs_cor:ConstructionInProgressAutomobileRWY,自動車事業、建設仮勘定、鉄道事業,Construction in progress - automobile,Construction in progress-automobile-RWY
65,jppfs_cor:ConstructionInProgressRailroadRWY,鉄軌道事業、建設仮勘定、鉄道事業,Construction in progress - railroad,Construction in progress-railroad-RWY
66,jppfs_cor:ConstructionInProgressIncidentalRWY,付帯事業、建設仮勘定、鉄道事業,Construction in progress - incidental,Construction in progress-incidental-RWY
67,jppfs_cor:ConstructionInProgressDevelopmentRWY,開発事業、建設仮勘定、鉄道事業,Construction in progress - development,Construction in progress-development-RWY
68,jppfs_cor:ConstructionInProgressSideLineRWY,兼業、建設仮勘定、鉄道事業,Construction in progress - side line,Construction in progress-side line-RWY
69,jppfs_cor:ConstructionInProgressAffiliatedRWY,各事業関連、建設仮勘定、鉄道事業,Construction in progress - affiliated,Construction in progress-affiliated-RWY
70,jppfs_cor:InvestmentsAndOtherAssetsAbstract,投資その他の資産 [タイトル項目],Investments and other assets,Investments and other assets [abstract]
71,jppfs_cor:StocksOfSubsidiariesAndAffiliates,関係会社株式,Shares of subsidiaries and associates,Shares of subsidiaries and associates
72,jppfs_cor:InvestmentSecurities,投資有価証券,Investment securities,Investment securities
73,jppfs_cor:InvestmentsInCapitalOfSubsidiariesAndAffiliates,関係会社出資金,Investments in capital of subsidiaries and associates,Investments in capital of subsidiaries and associates
74,jppfs_cor:InvestmentsInCapital,出資金,Investments in capital,Investments in capital
75,jppfs_cor:LongTermLoansReceivable,長期貸付金,Long-term loans receivable,Long-term loans receivable
76,jppfs_cor:LongTermPrepaidExpenses,長期前払費用,Long-term prepaid expenses,Long-term prepaid expenses
77,jppfs_cor:DeferredTaxAssetsIOA,繰延税金資産、投資その他の資産,Deferred tax assets,Deferred tax assets-IOA
78,jppfs_cor:OtherIOA,その他、投資その他の資産,Other,Other-IOA
79,jppfs_cor:AllowanceForDoubtfulAccountsIOAByGroup,貸倒引当金、投資その他の資産、一括控除,Allowance for doubtful accounts,Allowance for doubtful accounts-IOA-by group
80,jppfs_cor:InvestmentsAndOtherAssets,投資その他の資産,Investments and other assets,Investments and other assets
81,jppfs_cor:NoncurrentAssets,固定資産,Non-current assets,Non-current assets
82,jppfs_cor:NoncurrentAssetsRailroadAbstractRWY,鉄軌道事業固定資産、鉄道事業 [タイトル項目],Non-current assets - railroad,Non-current assets - railroad-RWY [abstract]
83,jppfs_cor:PropertyPlantAndEquipmentRailroadRWY,有形固定資産、鉄軌道事業、鉄道事業,"Property, plant and equipment","Property, plant and equipment-railroad-RWY"
84,jppfs_cor:AccumulatedDepreciationRailroadRWY,減価償却累計額、鉄軌道事業、鉄道事業,Accumulated depreciation,Accumulated depreciation-railroad-RWY
85,jppfs_cor:PropertyPlantAndEquipmentNetRailroadRWY,有形固定資産（純額）、鉄軌道事業、鉄道事業,"Property, plant and equipment, net","Property, plant and equipment, net-railroad-RWY"
86,jppfs_cor:IntangibleAssetsRailroadRWY,無形固定資産、鉄軌道事業、鉄道事業,Intangible assets,Intangible assets-railroad-RWY
87,jppfs_cor:NoncurrentAssetsRailroadRWY,鉄軌道事業固定資産、鉄道事業,Non-current assets - railroad,Non-current assets - railroad-RWY
88,jppfs_cor:NoncurrentAssetsAutomobileAbstractRWY,自動車事業固定資産、鉄道事業 [タイトル項目],Non-current assets - automobile,Non-current assets - automobile-RWY [abstract]
89,jppfs_cor:PropertyPlantAndEquipmentAutomobileRWY,有形固定資産、自動車事業、鉄道事業,"Property, plant and equipment","Property, plant and equipment-automobile-RWY"
90,jppfs_cor:VehiclesAutomobileRWY,車両、自動車事業、鉄道事業,Vehicles,Vehicles-automobile-RWY
91,jppfs_cor:AccumulatedDepreciationAutomobileRWY,減価償却累計額、自動車事業、鉄道事業,Accumulated depreciation,Accumulated depreciation-automobile-RWY
92,jppfs_cor:PropertyPlantAndEquipmentNetAutomobileRWY,有形固定資産（純額）、自動車事業、鉄道事業,"Property, plant and equipment, net","Property, plant and equipment, net-automobile-RWY"
93,jppfs_cor:IntangibleAssetsAutomobileRWY,無形固定資産、自動車事業、鉄道事業,Intangible assets,Intangible assets-automobile-RWY
94,jppfs_cor:NoncurrentAssetsAutomobileRWY,自動車事業固定資産、鉄道事業,Non-current assets - automobile,Non-current assets - automobile-RWY
95,jppfs_cor:NoncurrentAssetsRealEstateAbstractRWY,不動産事業固定資産、鉄道事業 [タイトル項目],Non-current assets - real estate,Non-current assets - real estate-RWY [abstract]
96,jppfs_cor:PropertyPlantAndEquipmentRealEstateRWY,有形固定資産、不動産事業、鉄道事業,"Property, plant and equipment","Property, plant and equipment-real estate-RWY"
97,jppfs_cor:AccumulatedDepreciationRealEstateRWY,減価償却累計額、不動産事業、鉄道事業,Accumulated depreciation,Accumulated depreciation-real estate-RWY
98,jppfs_cor:PropertyPlantAndEquipmentNetRealEstateRWY,有形固定資産（純額）、不動産事業、鉄道事業,"Property, plant and equipment, net","Property, plant and equipment, net-real estate-RWY"
99,jppfs_cor:IntangibleAssetsRealEstateRWY,無形固定資産、不動産事業、鉄道事業,Intangible assets,Intangible assets-real estate-RWY
100,jppfs_cor:NoncurrentAssetsRealEstateHotelRWY,不動産事業固定資産、不動産事業、鉄道事業,Non-current assets - real estate,Non-current assets - real estate-RWY
101,jppfs_cor:NoncurrentAssetsDevelopmentAbstractRWY,開発事業固定資産、鉄道事業 [タイトル項目],Non-current assets - development,Non-current assets - development-RWY [abstract]
102,jppfs_cor:PropertyPlantAndEquipmentDevelopmentRWY,有形固定資産、開発事業、鉄道事業,"Property, plant and equipment","Property, plant and equipment-development-RWY"
103,jppfs_cor:AccumulatedDepreciationDevelopmentRWY,減価償却累計額、開発事業、鉄道事業,Accumulated depreciation,Accumulated depreciation-development-RWY
104,jppfs_cor:PropertyPlantAndEquipmentNetDevelopmentRWY,有形固定資産（純額）、開発事業、鉄道事業,"Property, plant and equipment, net","Property, plant and equipment, net-development-RWY"
105,jppfs_cor:IntangibleAssetsDevelopmentRWY,無形固定資産、開発事業、鉄道事業,Intangible assets,Intangible assets-development-RWY
106,jppfs_cor:NoncurrentAssetsDevelopmentDevelopmentRWY,開発事業固定資産、開発事業、鉄道事業,Non-current assets - development,Non-current assets - development-RWY
107,jppfs_cor:NoncurrentAssetsIncidentalAbstractRWY,付帯事業固定資産、鉄道事業 [タイトル項目],Non-current assets - incidental,Non-current assets - incidental-RWY [abstract]
108,jppfs_cor:PropertyPlantAndEquipmentIncidentalRWY,有形固定資産、付帯事業、鉄道事業,"Property, plant and equipment","Property, plant and equipment-incidental-RWY"
109,jppfs_cor:AccumulatedDepreciationIncidentalRWY,減価償却累計額、付帯事業、鉄道事業,Accumulated depreciation,Accumulated depreciation-incidental-RWY
110,jppfs_cor:PropertyPlantAndEquipmentNetIncidentalRWY,有形固定資産（純額）、付帯事業、鉄道事業,"Property, plant and equipment, net","Property, plant and equipment, net-incidental-RWY"
111,jppfs_cor:IntangibleAssetsIncidentalRWY,無形固定資産、付帯事業、鉄道事業,Intangible assets,Intangible assets-incidental-RWY
112,jppfs_cor:NoncurrentAssetsIncidentalBusinessIncidentalRWY,付帯事業固定資産、付帯事業、鉄道事業,Non-current assets - incidental,Non-current assets - incidental-RWY
113,jppfs_cor:NoncurrentAssetsSideLineAbstractRWY,兼業固定資産、鉄道事業 [タイトル項目],Non-current assets - side line,Non-current assets - side line-RWY [abstract]
114,jppfs_cor:PropertyPlantAndEquipmentSideLineRWY,有形固定資産、兼業、鉄道事業,"Property, plant and equipment","Property, plant and equipment-side line-RWY"
115,jppfs_cor:AccumulatedDepreciationSideLineRWY,減価償却累計額、兼業、鉄道事業,Accumulated depreciation,Accumulated depreciation-side line-RWY
116,jppfs_cor:PropertyPlantAndEquipmentNetSideLineRWY,有形固定資産（純額）、兼業、鉄道事業,"Property, plant and equipment, net","Property, plant and equipment, net-side line-RWY"
117,jppfs_cor:IntangibleAssetsSideLineRWY,無形固定資産、兼業、鉄道事業,Intangible assets,Intangible assets-side line-RWY
118,jppfs_cor:NoncurrentAssetsSideLineSideLineRWY,兼業固定資産、兼業、鉄道事業,Non-current assets - side line,Non-current assets - side line-RWY
119,jppfs_cor:NoncurrentAssetsOtherAbstractRWY,その他事業固定資産、鉄道事業 [タイトル項目],Non-current assets - other,Non-current assets - other-RWY [abstract]
120,jppfs_cor:PropertyPlantAndEquipmentOtherRWY,有形固定資産、その他事業、鉄道事業,"Property, plant and equipment","Property, plant and equipment-other-RWY"
121,jppfs_cor:AccumulatedDepreciationOtherRWY,減価償却累計額、その他事業、鉄道事業,Accumulated depreciation,Accumulated depreciation-other-RWY
122,jppfs_cor:PropertyPlantAndEquipmentNetOtherRWY,有形固定資産（純額）、その他事業、鉄道事業,"Property, plant and equipment, net","Property, plant and equipment, net-other-RWY"
123,jppfs_cor:IntangibleAssetsOtherRWY,無形固定資産、その他事業、鉄道事業,Intangible assets,Intangible assets-other-RWY
124,jppfs_cor:NoncurrentAssetsOtherOtherRWY,その他事業固定資産、その他事業、鉄道事業,Non-current assets - other,Non-current assets - other-other-RWY
125,jppfs_cor:NoncurrentAssetsAdvertisingOtherRWY,広告業固定資産、その他事業、鉄道事業,Non-current assets - advertising,Non-current assets - advertising-other-RWY
126,jppfs_cor:NoncurrentAssetsAirCargoOtherRWY,航空貨物業固定資産、その他事業、鉄道事業,Non-current assets - air cargo,Non-current assets - air cargo-other-RWY
127,jppfs_cor:OtherNoncurrentAssetsAbstractRWY,その他の固定資産、鉄道事業 [タイトル項目],Other non-current assets,Other non-current assets-RWY [abstract]
128,jppfs_cor:PropertyPlantAndEquipmentOtherNCARWY,有形固定資産、その他の固定資産、鉄道事業,"Property, plant and equipment","Property, plant and equipment-other NCA-RWY"
129,jppfs_cor:AccumulatedDepreciationOtherNoncurrentAssetsRWY,減価償却累計額、その他の固定資産、鉄道事業,Accumulated depreciation,Accumulated depreciation-other NCA-RWY
130,jppfs_cor:PropertyPlantAndEquipmentNetOtherNCARWY,有形固定資産（純額）、その他の固定資産、鉄道事業,"Property, plant and equipment, net","Property, plant and equipment, net-other NCA-RWY"
131,jppfs_cor:IntangibleAssetsOtherNCARWY,無形固定資産、その他の固定資産、鉄道事業,Intangible assets,Intangible assets-other NCA-RWY
132,jppfs_cor:OtherNoncurrentAssetsAffiliatedRWY,その他の固定資産、鉄道事業,Other non-current assets,Other non-current assets-RWY
133,jppfs_cor:DeferredAssetsAbstract,繰延資産 [タイトル項目],Deferred assets,Deferred assets [abstract]
134,jppfs_cor:DeferredDisasterLossDARWY,災害損失等繰延額、繰延資産、鉄道事業,Deferred disaster loss,Deferred disaster loss-DA-RWY
135,jppfs_cor:DeferredAssets,繰延資産,Deferred assets,Deferred assets
