,タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
158,jppfs_cor:ProvisionOfReserveForPriceFluctuationOEFND,価額変動準備金積立額、営業費用、投資信託,Provision of reserve for price fluctuation,Provision of reserve for price fluctuation-OE-FND
159,jppfs_cor:ProvisionOfReserveForDividendsOEFND,分配準備積立金積立額、営業費用、投資信託,Provision of reserve for dividends,Provision of reserve for dividends-OE-FND
160,jppfs_cor:RevenueAdjustmentOEFND,収益調整金、営業費用、投資信託,Revenue adjustment,Revenue adjustment-OE-FND
161,jppfs_cor:ValuationLossAdjustmentAccountsOEFND,評価損調整勘定、営業費用、投資信託,Valuation loss adjustment accounts,Valuation loss adjustment accounts-OE-FND
162,jppfs_cor:RepaymentForRetainedLossOEFND,繰越欠損金補てん額、営業費用、投資信託,Repayment for retained loss,Repayment for retained loss-OE-FND
163,jppfs_cor:OperatingExpensesFND,営業費用、投資信託,Operating expenses,Operating expenses-FND
164,jppfs_cor:OperatingIncome,営業利益又は営業損失（△）,Operating profit (loss),Operating profit (loss)
165,jppfs_cor:NonOperatingIncomeAbstract,営業外収益 [タイトル項目],Non-operating income,Non-operating income [abstract]
166,jppfs_cor:NonOperatingIncome,営業外収益,Non-operating income,Non-operating income
167,jppfs_cor:NonOperatingExpensesAbstract,営業外費用 [タイトル項目],Non-operating expenses,Non-operating expenses [abstract]
168,jppfs_cor:NonOperatingExpenses,営業外費用,Non-operating expenses,Non-operating expenses
169,jppfs_cor:OrdinaryIncome,経常利益又は経常損失（△）,Ordinary profit (loss),Ordinary profit (loss)
170,jppfs_cor:ExtraordinaryIncomeAbstract,特別利益 [タイトル項目],Extraordinary income,Extraordinary income [abstract]
171,jppfs_cor:ExtraordinaryIncome,特別利益,Extraordinary income,Extraordinary income
172,jppfs_cor:ExtraordinaryLossAbstract,特別損失 [タイトル項目],Extraordinary losses,Extraordinary losses [abstract]
173,jppfs_cor:ExtraordinaryLoss,特別損失,Extraordinary losses,Extraordinary losses
174,jppfs_cor:IncomeBeforeIncomeTaxes,税引前当期純利益又は税引前当期純損失（△）,Profit (loss) before income taxes,Profit (loss) before income taxes
175,jppfs_cor:IncomeTaxesCurrent,法人税、住民税及び事業税,Income taxes - current,Income taxes-current
176,jppfs_cor:IncomeTaxesDeferred,法人税等調整額,Income taxes - deferred,Income taxes-deferred
177,jppfs_cor:ProfitLoss,当期純利益又は当期純損失（△）（平成26年3月28日財規等改正後）,Profit (loss),Profit (loss) (after amendment dated 2014-03-28)
178,jppfs_cor:DistributionOfNetIncomeFromPartialRedemptionsFND,一部解約に伴う当期純利益金額の分配額又は一部解約に伴う当期純損失金額の分配額（△）、投資信託,Distribution of profit loss from partial redemptions,Distribution of profit loss from partial redemptions-FND
179,jppfs_cor:DistributionOfNetIncomeFromPartialExchangeFND,一部交換に伴う当期純利益金額の分配額又は一部交換に伴う当期純損失金額の分配額（△）、投資信託,Distribution of profit loss from partial exchange,Distribution of profit loss from partial exchange-FND
180,jppfs_cor:SurplusDeficitAtBeginningOfPeriodBeforeRetrospectiveApplicationAndRetrospectiveRestatementFND,遡及処理前期首剰余金又は期首欠損金（△）、投資信託,Surplus (deficit) at beginning of period before retrospective application and retrospective restatement,Surplus (deficit) at beginning of period before retrospective application and retrospective restatement-FND
181,jppfs_cor:CumulativeEffectOfRetrospectiveApplicationAndRetrospectiveRestatementFND,遡及処理の累積的影響額、投資信託,Cumulative effect of retrospective application and retrospective restatement,Cumulative effect of retrospective application and retrospective restatement-FND
182,jppfs_cor:SurplusDeficitFND,剰余金又は欠損金（△）、投資信託,Surplus (deficit),Surplus (deficit)-FND
183,jppfs_cor:IncreaseInSurplusOrDecreaseInDeficitFND,剰余金増加額又は欠損金減少額、投資信託,Increase in surplus or decrease in deficit,Increase in surplus or decrease in deficit-FND
184,jppfs_cor:IncreaseInSurplusOrDecreaseInDeficitFromPartialRedemptionsFND,当期一部解約に伴う剰余金増加額又は欠損金減少額、投資信託,Increase in surplus or decrease in deficit from partial redemptions,Increase in surplus or decrease in deficit from partial redemptions-FND
185,jppfs_cor:IncreaseInSurplusOrDecreaseInDeficitFromAdditionalSubscriptionsForThePeriodFND,当期追加信託に伴う剰余金増加額又は欠損金減少額、投資信託,Increase in surplus or decrease in deficit from additional subscriptions for period,Increase in surplus or decrease in deficit from additional subscriptions for period-FND
186,jppfs_cor:IncreaseInSurplusOrDecreaseInDeficitFromPartialExchangeFND,当期一部交換に伴う剰余金増加額又は欠損金減少額、投資信託,Increase in surplus or decrease in deficit from partial exchange,Increase in surplus or decrease in deficit from partial exchange-FND
187,jppfs_cor:DecreaseInSurplusOrIncreaseInDeficitFND,剰余金減少額又は欠損金増加額、投資信託,Decrease in surplus or increase in deficit,Decrease in surplus or increase in deficit-FND
188,jppfs_cor:DecreaseInSurplusOrIncreaseInDeficitFromPartialRedemptionsFND,当期一部解約に伴う剰余金減少額又は欠損金増加額、投資信託,Decrease in surplus or increase in deficit from partial redemptions,Decrease in surplus or increase in deficit from partial redemptions-FND
189,jppfs_cor:DecreaseInSurplusOrIncreaseInDeficitFromAdditionalSubscriptionsForThePeriodFND,当期追加信託に伴う剰余金減少額又は欠損金増加額、投資信託,Decrease in surplus or increase in deficit from additional subscriptions for period,Decrease in surplus or increase in deficit from additional subscriptions for period-FND
190,jppfs_cor:DecreaseInSurplusOrIncreaseInDeficitFromPartialExchangeFND,当期一部交換に伴う剰余金減少額又は欠損金増加額、投資信託,Decrease in surplus or increase in deficit from partial exchange,Decrease in surplus or increase in deficit from partial exchange-FND
191,jppfs_cor:DividendsFND,分配金、投資信託,Dividends,Dividends-FND
