,タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
46,jppfs_cor:Supplies,貯蔵品,Supplies,Supplies
47,jppfs_cor:RealEstateForSale,販売用不動産,Real estate for sale,Real estate for sale
48,jppfs_cor:RealEstateForSaleInProcess,仕掛販売用不動産,Real estate for sale in process,Real estate for sale in process
49,jppfs_cor:DevelopmentProjectsInProgress,開発事業等支出金,Development projects in progress,Development projects in progress
50,jppfs_cor:CostsOnRealEstateBusiness,不動産事業支出金,Costs on real estate business,Costs on real estate business
51,jppfs_cor:CostsOnUncompletedServices,未成業務支出金,Costs on uncompleted services,Costs on uncompleted services
52,jppfs_cor:LandAndBuildingsForSaleInLots,分譲土地建物,Land and buildings for sale in lots,Land and buildings for sale in lots
53,jppfs_cor:LandForSaleInLots,分譲土地,Land for sale in lots,Land for sale in lots
54,jppfs_cor:OtherInventories,その他のたな卸資産,Other inventories,Other inventories
55,jppfs_cor:AdvancePaymentsTrade,前渡金,Advance payments - trade,Advance payments-trade
56,jppfs_cor:AdvancePaymentsOther,前払金,Advance payments - other,Advance payments-other
57,jppfs_cor:PrepaidExpenses,前払費用,Prepaid expenses,Prepaid expenses
58,jppfs_cor:DeferredTaxAssetsCA,繰延税金資産、流動資産,Deferred tax assets,Deferred tax assets-CA
59,jppfs_cor:AccruedIncome,未収収益,Accrued income,Accrued income
60,jppfs_cor:AccruedInterest,未収利息,Accrued interest,Accrued interest
61,jppfs_cor:OtherAssetsEncashedWithinOneYearAbstract,その他の資産で1年内に現金化できると認められるもの [タイトル項目],Other assets - encashed within one year,Other assets-encashed within one year [abstract]
62,jppfs_cor:ShortTermClaimsOnShareholdersDirectorsOrEmployees,株主、役員又は従業員に対する短期債権,"Short-term claims on shareholders, directors (and other officers) or employees","Short-term claims on shareholders, directors (and other officers) or employees"
63,jppfs_cor:AllowanceForDoubtfulAccountsShortTermClaimsOnShareholdersDirectorsOrEmployees,貸倒引当金、株主、役員又は従業員に対する短期債権,Allowance for doubtful accounts,"Allowance for doubtful accounts, Short-term claims on shareholders, directors (and other officers) or employees"
64,jppfs_cor:ShortTermClaimsOnShareholdersDirectorsOrEmployeesNet,株主、役員又は従業員に対する短期債権（純額）,"Short-term claims on shareholders, directors (and other officers) or employees, net","Short-term claims on shareholders, directors (and other officers) or employees, net"
65,jppfs_cor:ShortTermLoansReceivable,短期貸付金,Short-term loans receivable,Short-term loans receivable
66,jppfs_cor:AllowanceForDoubtfulAccountsShortTermLoans,貸倒引当金、短期貸付金,Allowance for doubtful accounts,Allowance for doubtful accounts-short-term loans
67,jppfs_cor:ShortTermLoansReceivableNet,短期貸付金（純額）,"Short-term loans receivable, net","Short-term loans receivable, net"
68,jppfs_cor:ShortTermLoansReceivableToSubsidiariesAndAffiliates,関係会社短期貸付金,Short-term loans receivable from subsidiaries and associates,Short-term loans receivable from subsidiaries and associates
69,jppfs_cor:AllowanceForDoubtfulAccountsShortTermLoansReceivableFromSubsidiariesAndAffiliates,貸倒引当金、関係会社短期貸付金,Allowance for doubtful accounts,Allowance for doubtful accounts-short-term loans receivable from subsidiaries and affiliates
70,jppfs_cor:ShortTermLoansReceivableToSubsidiariesAndAffiliatesNet,関係会社短期貸付金（純額）,"Short-term loans receivable from subsidiaries and associates, net","Short-term loans receivable from subsidiaries and associates, net"
71,jppfs_cor:AccountsReceivableOther,未収入金,Accounts receivable - other,Accounts receivable-other
72,jppfs_cor:AccountsReceivableOtherFromSubsidiariesAndAffiliates,関係会社未収入金,Accounts receivable from subsidiaries and associates - other,Accounts receivable from subsidiaries and associates - other
73,jppfs_cor:ConsumptionTaxesReceivable,未収消費税等,Consumption taxes receivable,Consumption taxes receivable
74,jppfs_cor:IncomeTaxesReceivable,未収還付法人税等,Income taxes receivable,Income taxes receivable
75,jppfs_cor:NonOperatingNotesReceivable,営業外受取手形,Non-operating notes receivable,Non-operating notes receivable
76,jppfs_cor:ElectronicallyRecordedMonetaryClaimsNonOperatingCA,営業外電子記録債権、流動資産,Electronically recorded monetary claims - non-operating,Electronically recorded monetary claims-non-operating-CA
77,jppfs_cor:CurrentPortionOfLongTermLoansReceivable,1年内回収予定の長期貸付金,Current portion of long-term loans receivable,Current portion of long-term loans receivable
78,jppfs_cor:CurrentPortionOfLongTermLoansReceivableFromSubsidiariesAndAffiliates,1年内回収予定の関係会社長期貸付金,Current portion of long-term loans receivable from subsidiaries and associates,Current portion of long-term loans receivable from subsidiaries and associates
79,jppfs_cor:CurrentPortionOfGuaranteeDeposits,1年内回収予定の差入保証金,Current portion of guarantee deposits,Current portion of guarantee deposits
80,jppfs_cor:OtherAccountsReceivable,その他の未収入金,Other accounts receivable,Other accounts receivable
81,jppfs_cor:DepositPaidInSubsidiariesAndAffiliates,関係会社預け金,Deposit paid in subsidiaries and associates,Deposit paid in subsidiaries and associates
82,jppfs_cor:ShortTermReceivablesFromSubsidiariesAndAffiliates,関係会社短期債権,Short-term receivables from subsidiaries and associates,Short-term receivables from subsidiaries and associates
83,jppfs_cor:BeneficiaryRightOfAccountsReceivableInTrust,金銭債権信託受益権,Beneficiary right of accounts receivable in trust,Beneficiary right of accounts receivable in trust
84,jppfs_cor:GuaranteeDepositsCA,差入保証金、流動資産,Guarantee deposits,Guarantee deposits-CA
85,jppfs_cor:ShortTermClaimsOnEmployees,従業員に対する短期債権,Short-term claims on employees,Short-term claims on employees
86,jppfs_cor:ShortTermLoansToEmployees,従業員に対する短期貸付金,Short-term loans receivable from employees,Short-term loans receivable from employees
87,jppfs_cor:TrustBeneficiaryRightCA,信託受益権、流動資産,Trust beneficiary right,Trust beneficiary right-CA
88,jppfs_cor:AdvancesPaid,立替金,Advances paid,Advances paid
89,jppfs_cor:SuspensePayments,仮払金,Suspense payments,Suspense payments
90,jppfs_cor:DepositsPaid,預け金,Deposits paid,Deposits paid
91,jppfs_cor:LeaseReceivablesCA,リース債権、流動資産,Lease receivables,Lease receivables-CA
92,jppfs_cor:AllowanceForDoubtfulAccountsLeaseReceivablesCA,貸倒引当金、リース債権、流動資産,Allowance for doubtful accounts,Allowance for doubtful accounts-lease receivables-CA
93,jppfs_cor:LeaseReceivablesNetCA,リース債権（純額）、流動資産,"Lease receivables, net","Lease receivables, net-CA"
94,jppfs_cor:LeaseInvestmentAssetsCA,リース投資資産、流動資産,Lease investment assets,Lease investment assets-CA
95,jppfs_cor:AllowanceForDoubtfulAccountsLeaseInvestmentAssetsCA,貸倒引当金、リース投資資産、流動資産,Allowance for doubtful accounts,Allowance for doubtful accounts-lease investment assets-CA
96,jppfs_cor:LeaseInvestmentAssetsNetCA,リース投資資産（純額）、流動資産,"Lease investment assets, net","Lease investment assets, net-CA"
97,jppfs_cor:LeaseReceivablesAndInvestmentAssetsCA,リース債権及びリース投資資産、流動資産,Lease receivables and investment assets,Lease receivables and investment assets-CA
98,jppfs_cor:AllowanceForDoubtfulAccountsLeaseReceivablesAndInvestmentAssetsCA,貸倒引当金、リース債権及びリース投資資産、流動資産,Allowance for doubtful accounts,Allowance for doubtful accounts-lease receivables and investment assets-CA
99,jppfs_cor:LeaseReceivablesAndInvestmentAssetsNetCA,リース債権及びリース投資資産（純額）、流動資産,"Lease receivables and investment assets, net","Lease receivables and investment assets, net-CA"
100,jppfs_cor:DerivativesCA,デリバティブ債権、流動資産,Derivatives,Derivatives-CA
101,jppfs_cor:ForwardExchangeContractsCA,為替予約、流動資産,Forward exchange contracts,Forward exchange contracts-CA
102,jppfs_cor:InterestRateSwapAssetsCA,金利スワップ資産、流動資産,Interest rate swap assets,Interest rate swap assets-CA
103,jppfs_cor:InterestRateSwapCA,金利スワップ、流動資産,Interest rate swaps,Interest rate swaps-CA
104,jppfs_cor:PurchasedCurrencyOptionCA,買建通貨オプション、流動資産,Purchased currency options,Purchased currency options-CA
105,jppfs_cor:CurrencyOptionCA,通貨オプション、流動資産,Currency options,Currency options-CA
106,jppfs_cor:OptionCA,オプション資産、流動資産,Options,Options-CA
107,jppfs_cor:PrepaidPensionCostCA,前払年金費用、流動資産,Prepaid pension cost,Prepaid pension cost-CA
108,jppfs_cor:AllowanceCurrentAssetsAbstract,流動資産に属する資産に係る引当金 [タイトル項目],Allowance - current assets,Allowance-current assets [abstract]
109,jppfs_cor:AllowanceForDoubtfulAccountsCA,貸倒引当金、流動資産、一括控除,Allowance for doubtful accounts,Allowance for doubtful accounts-CA-by group
110,jppfs_cor:AccountsReceivableInstallmentSalesCreditGuaranteeCA,信用保証割賦売掛金、流動資産,Accounts receivable - installment sales - credit guarantee,Accounts receivable-installment sales-credit guarantee-CA
111,jppfs_cor:SecuritiesInDepositCA,寄託有価証券、流動資産,Securities in deposit,Securities in deposit-CA
112,jppfs_cor:CommercialNotesCA,商業手形、流動資産,Commercial notes,Commercial notes-CA
113,jppfs_cor:LoansOnMarginTransactionCA,貸借取引貸付金、流動資産,Loans on margin transaction,Loans on margin transaction-CA
114,jppfs_cor:GeneralLoansCA,一般貸付金、流動資産,General loans,General loans-CA
115,jppfs_cor:BondFinancingCA,公社債貸付金、流動資産,Bond financing,Bond financing-CA
116,jppfs_cor:SecuritiesLentCA,貸付有価証券、流動資産,Securities lent,Securities lent-CA
117,jppfs_cor:CollateralMoneyForSecuritiesBorrowedCA,借入有価証券代り金、流動資産,Collateral money for securities borrowed,Collateral money for securities borrowed-CA
118,jppfs_cor:PurchasedReceivablesCA,買取債権、流動資産,Purchased receivables,Purchased receivables-CA
119,jppfs_cor:OtherCA,その他、流動資産,Other,Other-CA
120,jppfs_cor:CurrentAssets,流動資産,Current assets,Current assets
121,jppfs_cor:NoncurrentAssetsAbstract,固定資産 [タイトル項目],Non-current assets,Non-current assets [abstract]
122,jppfs_cor:PropertyPlantAndEquipmentAbstract,有形固定資産 [タイトル項目],"Property, plant and equipment","Property, plant and equipment [abstract]"
123,jppfs_cor:BuildingsAndOtherFacilitiesHeatingIlluminationVentilationAndOtherPPEAbstract,建物及び暖房、照明、通風等の附属設備、有形固定資産 [タイトル項目],"Buildings and other facilities - heating, illumination, ventilation and other","Buildings and other facilities-heating, illumination, ventilation and other-PPE [abstract]"
124,jppfs_cor:Buildings,建物,Buildings,Buildings
125,jppfs_cor:AccumulatedDepreciationBuildings,減価償却累計額、建物,Accumulated depreciation,Accumulated depreciation-buildings
126,jppfs_cor:AccumulatedImpairmentLossBuildings,減損損失累計額、建物,Accumulated impairment loss,Accumulated impairment loss-buildings
127,jppfs_cor:AccumulatedDepreciationAndImpairmentLossBuildings,減価償却累計額及び減損損失累計額、建物,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-buildings
128,jppfs_cor:BuildingsNet,建物（純額）,"Buildings, net","Buildings, net"
129,jppfs_cor:BuildingsAndAccompanyingFacilities,建物附属設備,Facilities attached to buildings,Facilities attached to buildings
130,jppfs_cor:AccumulatedDepreciationBuildingsAndAccompanyingFacilities,減価償却累計額、建物附属設備,Accumulated depreciation,Accumulated depreciation-buildings and accompanying facilities
131,jppfs_cor:AccumulatedImpairmentLossBuildingsAndAccompanyingFacilities,減損損失累計額、建物附属設備,Accumulated impairment loss,Accumulated impairment loss-buildings and accompanying facilities
132,jppfs_cor:AccumulatedDepreciationAndImpairmentLossBuildingsAndAccompanyingFacilities,減価償却累計額及び減損損失累計額、建物附属設備,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-buildings and accompanying facilities
133,jppfs_cor:BuildingsAndAccompanyingFacilitiesNet,建物附属設備（純額）,"Facilities attached to buildings, net","Facilities attached to buildings, net"
134,jppfs_cor:Structures,構築物,Structures,Structures
135,jppfs_cor:AccumulatedDepreciationStructures,減価償却累計額、構築物,Accumulated depreciation,Accumulated depreciation-structures
136,jppfs_cor:AccumulatedImpairmentLossStructures,減損損失累計額、構築物,Accumulated impairment loss,Accumulated impairment loss-structures
137,jppfs_cor:AccumulatedDepreciationAndImpairmentLossStructures,減価償却累計額及び減損損失累計額、構築物,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-structures
138,jppfs_cor:StructuresNet,構築物（純額）,"Structures, net","Structures, net"
139,jppfs_cor:BuildingsAndStructures,建物及び構築物,Buildings and structures,Buildings and structures
140,jppfs_cor:AccumulatedDepreciationBuildingsAndStructures,減価償却累計額、建物及び構築物,Accumulated depreciation,Accumulated depreciation-buildings and structures
141,jppfs_cor:AccumulatedImpairmentLossBuildingsAndStructures,減損損失累計額、建物及び構築物,Accumulated impairment loss,Accumulated impairment loss-buildings and structures
142,jppfs_cor:AccumulatedDepreciationAndImpairmentLossBuildingsAndStructures,減価償却累計額及び減損損失累計額、建物及び構築物,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-buildings and structures
143,jppfs_cor:BuildingsAndStructuresNet,建物及び構築物（純額）,"Buildings and structures, net","Buildings and structures, net"
144,jppfs_cor:MachineryEquipmentAndOtherFacilitiesConveyorHoistCraneAndOtherPPEAbstract,機械及び装置並びにコンベヤー、ホイスト、起重機等の搬送設備その他の附属設備、有形固定資産 [タイトル項目],"Machinery, equipment and other facilities - conveyor, hoist, crane and other","Machinery, equipment and other facilities-conveyor, hoist, crane and other-PPE [abstract]"
145,jppfs_cor:MachineryAndEquipment,機械及び装置,Machinery and equipment,Machinery and equipment
146,jppfs_cor:AccumulatedDepreciationMachineryAndEquipment,減価償却累計額、機械及び装置,Accumulated depreciation,Accumulated depreciation-machinery and equipment
147,jppfs_cor:AccumulatedImpairmentLossMachineryAndEquipment,減損損失累計額、機械及び装置,Accumulated impairment loss,Accumulated impairment loss-machinery and equipment
148,jppfs_cor:AccumulatedDepreciationAndImpairmentLossMachineryAndEquipment,減価償却累計額及び減損損失累計額、機械及び装置,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-machinery and equipment
