,タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
542,jppfs_cor:ReserveForSpecialAccountForAdvancedDepreciationOfNoncurrentAssets,固定資産圧縮特別勘定積立金,Reserve for special account for advanced depreciation of non-current assets,Reserve for special account for advanced depreciation of non-current assets
543,jppfs_cor:ReserveForSpecialDepreciation,特別償却準備金,Reserve for special depreciation,Reserve for special depreciation
544,jppfs_cor:ReserveForSoftwarePrograms,プログラム等準備金,Reserve for software programs,Reserve for software programs
545,jppfs_cor:ReserveForOverseasInvestmentLoss,海外投資等損失準備金,Reserve for overseas investment loss,Reserve for overseas investment loss
546,jppfs_cor:ReserveForResearchAndDevelopment,研究開発積立金,Reserve for research and development,Reserve for research and development
547,jppfs_cor:ReserveForDividends1,配当積立金,Reserve for dividends,Reserve for dividends-1
548,jppfs_cor:ReserveForDividends2,配当準備金,Reserve for dividends,Reserve for dividends-2
549,jppfs_cor:ReserveForDividends3,配当準備積立金,Reserve for dividends,Reserve for dividends-3
550,jppfs_cor:ReserveForDividends4,配当引当積立金,Reserve for dividends,Reserve for dividends-4
551,jppfs_cor:ReserveForRetirementAllowance1,退職給与積立金,Reserve for retirement allowance,Reserve for retirement allowance-1
552,jppfs_cor:ReserveForRetirementAllowance2,退職積立金,Reserve for retirement allowance,Reserve for retirement allowance-2
553,jppfs_cor:ReserveForRetirementAllowance3,退職手当積立金,Reserve for retirement allowance,Reserve for retirement allowance-3
554,jppfs_cor:ReserveForRetirementAllowance4,退職慰労積立金,Reserve for retirement allowance,Reserve for retirement allowance-4
555,jppfs_cor:ReserveForDirectorsRetirementAllowance,役員退職積立金,Reserve for retirement allowance for directors (and other officers),Reserve for retirement allowance for directors (and other officers)
556,jppfs_cor:ReserveForReductionEntry1,圧縮記帳積立金,Reserve for reduction entry,Reserve for reduction entry-1
557,jppfs_cor:ReserveForReductionEntry2,圧縮積立金,Reserve for reduction entry,Reserve for reduction entry-2
558,jppfs_cor:ReserveForReductionEntryOfLand,土地圧縮積立金,Reserve for reduction entry of land,Reserve for reduction entry of land
559,jppfs_cor:ReserveForReductionEntryOfBuildings,建物圧縮積立金,Reserve for reduction entry of buildings,Reserve for reduction entry of buildings
560,jppfs_cor:ReserveForReductionEntryOfRealEstate,不動産圧縮積立金,Reserve for reduction entry of real estate,Reserve for reduction entry of real estate
561,jppfs_cor:ReserveForReductionEntryOfAssets,資産圧縮積立金,Reserve for reduction entry of assets,Reserve for reduction entry of assets
562,jppfs_cor:ReserveForReductionEntryOfDepreciableAssets,償却資産圧縮積立金,Reserve for reduction entry of depreciable assets,Reserve for reduction entry of depreciable assets
563,jppfs_cor:ReserveForReductionEntryOfReplacedProperty,買換資産圧縮積立金,Reserve for reduction entry of replaced property,Reserve for reduction entry of replaced property
564,jppfs_cor:ReserveForPropertyReplacement,買換資産積立金,Reserve for property replacement,Reserve for property replacement
565,jppfs_cor:ReserveForSpecialDepreciationGeneral,特別償却積立金,Reserve for special depreciation,Reserve for special depreciation-general
566,jppfs_cor:SpecialReserve,特別積立金,Special reserve,Special reserve
567,jppfs_cor:VoluntaryRetainedEarnings,任意積立金,Voluntary retained earnings,Voluntary retained earnings
568,jppfs_cor:GeneralReserve,別途積立金,General reserve,General reserve
569,jppfs_cor:RetainedEarningsBroughtForward,繰越利益剰余金,Retained earnings brought forward,Retained earnings brought forward
570,jppfs_cor:OtherRetainedEarnings,その他利益剰余金,Other retained earnings,Other retained earnings
571,jppfs_cor:RetainedEarnings,利益剰余金,Retained earnings,Retained earnings
572,jppfs_cor:TreasuryStock,自己株式,Treasury shares,Treasury shares
573,jppfs_cor:DepositForSubscriptionsToTreasuryStock,自己株式申込証拠金,Deposit for subscriptions to treasury shares,Deposit for subscriptions to treasury shares
574,jppfs_cor:ShareholdersEquity,株主資本,Shareholders' equity,Shareholders' equity
575,jppfs_cor:ValuationAndTranslationAdjustmentsAbstract,評価・換算差額等 [タイトル項目],Valuation and translation adjustments,Valuation and translation adjustments [abstract]
576,jppfs_cor:ValuationDifferenceOnAvailableForSaleSecurities,その他有価証券評価差額金,Valuation difference on available-for-sale securities,Valuation difference on available-for-sale securities
577,jppfs_cor:DeferredGainsOrLossesOnHedges,繰延ヘッジ損益,Deferred gains or losses on hedges,Deferred gains or losses on hedges
578,jppfs_cor:RevaluationReserveForLand,土地再評価差額金,Revaluation reserve for land,Revaluation reserve for land
579,jppfs_cor:ForeignCurrencyTranslationAdjustment,為替換算調整勘定,Foreign currency translation adjustment,Foreign currency translation adjustment
580,jppfs_cor:RemeasurementsOfDefinedBenefitPlans,退職給付に係る調整累計額,Remeasurements of defined benefit plans,Remeasurements of defined benefit plans
581,jppfs_cor:ValuationAndTranslationAdjustments,評価・換算差額等,Valuation and translation adjustments,Valuation and translation adjustments
582,jppfs_cor:SubscriptionRightsToShares,新株予約権,Share acquisition rights,Share acquisition rights
583,jppfs_cor:TreasurySubscriptionRightsToShares,自己新株予約権,Treasury share acquisition rights,Treasury share acquisition rights
584,jppfs_cor:NonControllingInterests,非支配株主持分,Non-controlling interests,Non-controlling interests
585,jppfs_cor:NetAssets,純資産,Net assets,Net assets
586,jppfs_cor:LiabilitiesAndNetAssets,負債純資産,Liabilities and net assets,Liabilities and net assets
587,nan,,,
588,nan,,,
589,名前空間プレフィックス:要素名,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
590,jppfs_cor:StatementOfIncomeAbstract,損益計算書 [タイトル項目],Statement of income,Statement of income [abstract]
591,jppfs_cor:StatementOfIncomeTable,損益計算書 [表],Statement of income,Statement of income [table]
592,jppfs_cor:StatementOfIncomeLineItems,損益計算書 [表示項目],Statement of income,Statement of income [line items]
593,jppfs_cor:RevenueFromOperatingActivitiesAbstract,営業活動による収益 [タイトル項目],Revenue from operating activities,Revenue from operating activities [abstract]
594,jppfs_cor:NetSalesAbstract,売上高 [タイトル項目],Net sales,Net sales [abstract]
595,jppfs_cor:NetSales,売上高,Net sales,Net sales
596,jppfs_cor:OperatingRevenue1Abstract,営業収益 [タイトル項目],Operating revenue,Operating revenue-1 [abstract]
597,jppfs_cor:OperatingRevenue1,営業収益,Operating revenue,Operating revenue-1
598,jppfs_cor:OperatingRevenue2Abstract,営業収入 [タイトル項目],Operating revenue,Operating revenue-2 [abstract]
599,jppfs_cor:OperatingRevenue2,営業収入,Operating revenue,Operating revenue-2
600,jppfs_cor:GrossOperatingRevenue,営業総収入,Gross operating revenue,Gross operating revenue
601,jppfs_cor:RevenueFromOperatingActivitiesDetailAbstract,営業活動による収益の内訳 [タイトル項目],Revenue from operating activities - detail,Revenue from operating activities-detail [abstract]
602,jppfs_cor:GrossSalesRevOA,総売上高、営業活動による収益,Gross sales,Gross sales-RevOA
603,jppfs_cor:SalesAllowanceAndReturnsRevOA,売上値引及び戻り高、営業活動による収益,Sales allowance and returns,Sales allowance and returns-RevOA
604,jppfs_cor:NetSalesOfGoodsRevOA,商品売上高、営業活動による収益,Net sales of goods,Net sales of goods-RevOA
605,jppfs_cor:NetSalesOfFinishedGoodsRevOA,製品売上高、営業活動による収益,Net sales of finished goods,Net sales of finished goods-RevOA
606,jppfs_cor:NetSalesOfMerchandiseAndFinishedGoodsRevOA,商品及び製品売上高、営業活動による収益,Net sales of merchandise and finished goods,Net sales of merchandise and finished goods-RevOA
607,jppfs_cor:SalesOfSemiFinishedGoodsRevOA,半製品売上高、営業活動による収益,Sales of semi-finished goods,Sales of semi-finished goods-RevOA
608,jppfs_cor:SalesOfRawMaterialsRevOA,原材料売上高、営業活動による収益,Sales of raw materials,Sales of raw materials-RevOA
609,jppfs_cor:SalesOfByProductsRevOA,副産物売上高、営業活動による収益,Sales of by-products,Sales of by-products-RevOA
610,jppfs_cor:SalesOfScrapsRevOA,作業くず売上高、営業活動による収益,Sales of scraps,Sales of scraps-RevOA
611,jppfs_cor:ServiceRevenueRevOA,役務収益、売上高、営業活動による収益,Service revenue,Service revenue-RevOA
612,jppfs_cor:ServiceSalesRevOA,サービス売上高、営業活動による収益,Service sales,Service sales-RevOA
613,jppfs_cor:InstallmentSalesRevOA,割賦販売売上高、営業活動による収益,Installment sales,Installment sales-RevOA
614,jppfs_cor:RealEstateSalesRevOA,不動産売上高、営業活動による収益,Real estate sales,Real estate sales-RevOA
615,jppfs_cor:SalesOnDevelopmentBusinessRevOA,開発事業売上高、営業活動による収益,Sales on development business,Sales on development business-RevOA
616,jppfs_cor:SalesOnRealEstateBusinessRevOA,不動産事業売上高、営業活動による収益,Sales on real estate business,Sales on real estate business-RevOA
617,jppfs_cor:SalesOnLeaseBusinessRevOA,賃貸事業売上高、営業活動による収益,Sales on lease business,Sales on lease business-RevOA
618,jppfs_cor:SalesOnSellingBusinessRevOA,分譲事業売上高、営業活動による収益,Sales on selling business,Sales on selling business-RevOA
619,jppfs_cor:SalesOnOtherBusinessRevOA,その他の事業売上高、営業活動による収益,Sales on other business,Sales on other business-RevOA
620,jppfs_cor:LeaseBusinessRevenueRevOA,賃貸事業収益、営業活動による収益,Lease business revenue,Lease business revenue-RevOA
621,jppfs_cor:SellingBusinessRevenueRevOA,分譲事業収益、営業活動による収益,Selling business revenue,Selling business revenue-RevOA
622,jppfs_cor:LeaseBusinessRevenueSpecificRevOA,賃貸事業収入、営業活動による収益,Lease business revenue,Lease business revenue-specific-RevOA
623,jppfs_cor:RentIncomeRevOA,賃貸収入、営業活動による収益,Rent income,Rent income-RevOA
624,jppfs_cor:RentIncomeOfRealEstateRevOA,不動産賃貸収入、営業活動による収益,Rent income of real estate,Rent income of real estate-RevOA
625,jppfs_cor:RealEstateIncomeRevOA,不動産収入、営業活動による収益,Real estate income,Real estate income-RevOA
626,jppfs_cor:CommissionIncomeRevOA,手数料収入、営業活動による収益,Commission income,Commission income-RevOA
627,jppfs_cor:ProcessingIncomeRevOA,加工料収入、営業活動による収益,Processing income,Processing income-RevOA
628,jppfs_cor:RoyaltyIncomeRevOA,ロイヤリティー収入、営業活動による収益,Royalty income,Royalty income-RevOA
629,jppfs_cor:ConsultingIncomeRevOA,コンサルティング収入、営業活動による収益,Consulting income,Consulting income-RevOA
630,jppfs_cor:IncomeFromFranchisedStoresRevOA,加盟店からの収入、営業活動による収益,Income from franchised stores,Income from franchised stores-RevOA
631,jppfs_cor:DividendsFromSubsidiariesAndAffiliatesRevOA,関係会社受取配当金、営業活動による収益,Dividends from subsidiaries and associates,Dividends from subsidiaries and associates-RevOA
632,jppfs_cor:DividendsIncomeRevOA,受取配当金、営業活動による収益,Dividend income,Dividend income-RevOA
633,jppfs_cor:CommissionsFromSubsidiariesAndAffiliatesRevOA,関係会社受入手数料、営業活動による収益,Commissions from subsidiaries and associates,Commissions from subsidiaries and associates-RevOA
634,jppfs_cor:InterestOnLoansToSubsidiariesAndAffiliatesRevOA,関係会社貸付金利息、営業活動による収益,Interest on loans receivable from subsidiaries and associates,Interest on loans receivable from subsidiaries and associates-RevOA
635,jppfs_cor:InterestOnSecuritiesOfSubsidiariesAndAffiliatesRevOA,関係会社有価証券利息、営業活動による収益,Interest on securities of subsidiaries and associates,Interest on securities of subsidiaries and associates-RevOA
636,jppfs_cor:ManagementFeeIncomeRevOA,経営管理料、営業活動による収益,Management fee income,Management fee income-RevOA
637,jppfs_cor:ConsultingFeeIncomeRevOA,経営指導料、営業活動による収益,Consulting fee income,Consulting fee income-RevOA
638,jppfs_cor:TrademarkFeeIncomeRevOA,商標使用料、営業活動による収益,Trademark fee income,Trademark fee income-RevOA
639,jppfs_cor:AssetRentalIncomeRevOA,資産利用料、営業活動による収益,Asset rental income,Asset rental income-RevOA
640,jppfs_cor:ContractsCompletedRevOA,完成業務高、営業活動による収益,Contracts completed,Contracts completed-RevOA
641,jppfs_cor:ConstructionSalesRevOA,工事売上高、営業活動による収益,Construction sales,Construction sales-RevOA
642,jppfs_cor:SalesOfSoftwareDevelopmentRevOA,ソフトウエア開発売上高、営業活動による収益,Sales of software development,Sales of software development-RevOA
643,jppfs_cor:SalesOfInformationServiceRevOA,情報サービス売上高、営業活動による収益,Sales of information service,Sales of information service-RevOA
644,jppfs_cor:SalesOfMaintenanceServiceRevOA,保守売上高、営業活動による収益,Sales of maintenance service,Sales of maintenance service-RevOA
645,jppfs_cor:AnnualFeeIncomeRevOA,年会費収入、営業活動による収益,Annual fee income,Annual fee income-RevOA
646,jppfs_cor:WarehouseIncomeRevOA,倉庫収入、営業活動による収益,Warehouse income,Warehouse income-RevOA
647,jppfs_cor:WarehousingFeeIncomeRevOA,倉庫保管料、営業活動による収益,Warehousing fee income,Warehousing fee income-RevOA
648,jppfs_cor:StevedoringIncomeRevOA,倉庫荷役料、営業活動による収益,Stevedoring income,Stevedoring income-RevOA
649,jppfs_cor:TransportationIncomeRevOA,運送収入、営業活動による収益,Transportation income,Transportation income-RevOA
650,jppfs_cor:MiscellaneousTransportationIncomeRevOA,運送雑収、営業活動による収益,Miscellaneous transportation income,Miscellaneous transportation income-RevOA
651,jppfs_cor:ProductionIncomeRevOA,制作収入、営業活動による収益,Production income,Production income-RevOA
652,jppfs_cor:IncomeFromBroadcastingBusinessRevOA,放送収入、営業活動による収益,Income from broadcasting business,Income from broadcasting business-RevOA
653,jppfs_cor:IncomeFromTelevisionBusinessRevOA,テレビ収入、営業活動による収益,Income from television business,Income from television business-RevOA
654,jppfs_cor:IncomeFromRadioBusinessRevOA,ラジオ収入、営業活動による収益,Income from radio business,Income from radio business-RevOA
655,jppfs_cor:RentalSalesRevOA,レンタル売上高、営業活動による収益,Rental sales,Rental sales-RevOA
656,jppfs_cor:SalesOfGoodsOnConsignmentRevOA,受託品売上高、営業活動による収益,Sales of goods on consignment,Sales of goods on consignment-RevOA
657,jppfs_cor:IndentSalesRevOA,買付品売上高、営業活動による収益,Indent sales,Indent sales-RevOA
658,jppfs_cor:OtherSalesRevOA,その他の売上高、営業活動による収益,Other sales,Other sales-RevOA
659,jppfs_cor:OtherBusinessRevenue1RevOA,その他の事業収益、営業活動による収益,Other business revenue,Other business revenue-1-RevOA
660,jppfs_cor:OtherBusinessRevenue2RevOA,その他の事業収入、営業活動による収益,Other business revenue,Other business revenue-2-RevOA
661,jppfs_cor:OtherOperatingRevenue1RevOA,その他の営業収益、営業活動による収益,Other operating revenue,Other operating revenue-1-RevOA
662,jppfs_cor:OtherOperatingRevenue2RevOA,その他の営業収入、営業活動による収益,Other operating revenue,Other operating revenue-2-RevOA
663,jppfs_cor:OtherRevenue1RevOA,その他の収益、営業活動による収益,Other revenue,Other revenue-1-RevOA
664,jppfs_cor:OtherRevenue2RevOA,その他の収入、営業活動による収益,Other revenue,Other revenue-2-RevOA
665,jppfs_cor:OtherRevOA,その他、営業活動による収益,Other,Other-RevOA
666,jppfs_cor:FinancialRevenueAbstract,金融収益 [タイトル項目],Financial revenue,Financial revenue [abstract]
667,jppfs_cor:FinancialRevenue,金融収益,Financial revenue,Financial revenue
668,jppfs_cor:FinancingRevenueRevOA,融資収益、営業活動による収益,Financing revenue,Financing revenue-RevOA
669,jppfs_cor:LeaseRevenueRevOA,リース収益、営業活動による収益,Lease revenue,Lease revenue-RevOA
670,jppfs_cor:RevenueFromOperationalInvestmentSecuritiesRevOA,営業投資有価証券売上高、営業活動による収益,Revenue from operational investment securities,Revenue from operational investment securities-RevOA
671,jppfs_cor:RevenueFromAgencyServicesOfInstallmentPurchaseRevOA,割賦購入あっせん収益、営業活動による収益,Revenue from agency services of installment purchase,Revenue from agency services of installment purchase-RevOA
672,jppfs_cor:CreditCardRevenueRevOA,包括信用購入あっせん収益、営業活動による収益,Revenue from credit card business,Revenue from credit card business-RevOA
673,jppfs_cor:PerItemRevenueRevOA,個別信用購入あっせん収益、営業活動による収益,Revenue from installment sales finance business,Revenue from installment sales finance business-RevOA
674,jppfs_cor:DiscountRevenueRevOA,受取割引料、営業活動による収益,Discount revenue,Discount revenue-RevOA
675,jppfs_cor:RevenueFromCreditGuaranteeRevOA,信用保証収益、営業活動による収益,Revenue from credit guarantee,Revenue from credit guarantee-RevOA
676,jppfs_cor:IncomeFromPartnershipManagementRevOA,投資事業組合管理収入、営業活動による収益,Income from partnership management,Income from partnership management-RevOA
677,jppfs_cor:NameTransferFeeRevOA,名義書換手数料、営業活動による収益,Name transfer fee,Name transfer fee-RevOA
678,jppfs_cor:LoanAgencyRevenueRevOA,融資代行収益、営業活動による収益,Loan agency revenue,Loan agency revenue-RevOA
679,jppfs_cor:CollectionFromPurchasedReceivableRevOA,買取債権回収高、営業活動による収益,Collection from purchased receivable,Collection from purchased receivable-RevOA
680,jppfs_cor:InterestOnCollateralMoneyForSecuritiesBorrowedRevOA,借入有価証券代り金利息、営業活動による収益,Interest on collateral money for securities borrowed,Interest on collateral money for securities borrowed-RevOA
681,jppfs_cor:ChargeOnSecuritiesLoanedRevOA,有価証券貸付料、営業活動による収益,Charge on securities loaned,Charge on securities loaned-RevOA
682,jppfs_cor:InterestOnLoansOnMarginTransactionRevOA,貸借取引貸付金利息、営業活動による収益,Interest on loans on margin transaction,Interest on loans on margin transaction-RevOA
683,jppfs_cor:InterestOnBondFinancingRevOA,公社債貸付金利息、営業活動による収益,Interest on bond financing,Interest on bond financing-RevOA
684,jppfs_cor:InterestOnGeneralLoansRevOA,一般貸付金利息、営業活動による収益,Interest on general loans,Interest on general loans-RevOA
685,jppfs_cor:GainOnInvestmentRevOA,投資収益、営業活動による収益,Gain on investment,Gain on investment-RevOA
686,jppfs_cor:OtherFinancialRevenueRevOA,その他の金融収益、営業活動による収益,Other financial revenue,Other financial revenue-RevOA
687,jppfs_cor:COSAndExpensesFromOperatingActivitiesAbstract,営業活動による費用・売上原価 [タイトル項目],COS and expenses from operating activities,COS and expenses from operating activities [abstract]
688,jppfs_cor:CostOfSalesAbstract,売上原価 [タイトル項目],Cost of sales,Cost of sales [abstract]
689,jppfs_cor:CostOfSales,売上原価,Cost of sales,Cost of sales
690,jppfs_cor:OperatingExpensesAbstract,営業費用 [タイトル項目],Operating expenses,Operating expenses [abstract]
691,jppfs_cor:OperatingExpenses,営業費用,Operating expenses,Operating expenses
692,jppfs_cor:OperatingCostAbstract,営業原価 [タイトル項目],Operating cost,Operating cost [abstract]
693,jppfs_cor:OperatingCost,営業原価,Operating cost,Operating cost
694,jppfs_cor:COSAndExpensesFromOperatingActivitiesDetailAbstract,営業活動による費用・売上原価の内訳 [タイトル項目],COS and expenses from operating activities - detail,COS and expenses from operating activities-detail [abstract]
695,jppfs_cor:CostOfGoodsSoldAbstract,商品売上原価 [タイトル項目],Cost of goods sold,Cost of goods sold [abstract]
696,jppfs_cor:BeginningGoodsCOS,商品期首たな卸高、売上原価,Beginning goods,Beginning goods-COS
697,jppfs_cor:TotalPurchaseOfGoods,総仕入高,Total purchase of goods,Total purchase of goods
698,jppfs_cor:PurchaseAllowanceAndReturns,仕入値引及び戻し高,Purchase allowance and returns,Purchase allowance and returns
699,jppfs_cor:CostOfPurchasedGoods,当期商品仕入高,Cost of purchased goods,Cost of purchased goods
700,jppfs_cor:EndingGoodsCOS,商品期末たな卸高、売上原価,Ending goods,Ending goods-COS
701,jppfs_cor:TotalBeginningAndPurchaseOfGoods,合計、商品期首たな卸高及び当期商品仕入高,Total,Total-beginning and purchase of goods
702,jppfs_cor:GoodsTransferToOtherAccountCOS,商品他勘定振替高、売上原価,Goods transfer to other account,Goods transfer to other account-COS
703,jppfs_cor:ValuationLossOnGoodsCOS,商品評価損、売上原価,Valuation loss on goods,Valuation loss on goods-COS
704,jppfs_cor:SubtotalCOSGoods,小計、売上原価、商品,Subtotal,Subtotal-COS-goods
705,jppfs_cor:NetCOSGoods,差引、売上原価、商品,Net,Net-COS-goods
706,jppfs_cor:CostOfGoodsSold,商品売上原価,Cost of goods sold,Cost of goods sold
707,jppfs_cor:CostOfFinishedGoodsSoldAbstract,製品売上原価 [タイトル項目],Cost of finished goods sold,Cost of finished goods sold [abstract]
708,jppfs_cor:BeginningFinishedGoodsCOS,製品期首たな卸高、売上原価,Beginning finished goods,Beginning finished goods-COS
709,jppfs_cor:CostOfProductsManufactured,当期製品製造原価,Cost of products manufactured,Cost of products manufactured
710,jppfs_cor:PurchaseOfFinishedGoodsCOS,当期製品仕入高、売上原価,Purchase of finished goods,Purchase of finished goods-COS
711,jppfs_cor:EndingFinishedGoodsCOS,製品期末たな卸高、売上原価,Ending finished goods,Ending finished goods-COS
712,jppfs_cor:TotalBeginningFinishedGoodsAndCostOfProductsManufacturedForThePeriod,合計、製品期首たな卸高及び当期製品製造原価,Total,Total-beginning finished goods and cost of products manufactured for period
713,jppfs_cor:FinishedGoodsTransferToOtherAccountCOS,製品他勘定振替高、売上原価,Finished goods transfer to other account,Finished goods transfer to other account-COS
714,jppfs_cor:ValuationLossOnFinishedGoodsCOS,製品評価損、売上原価,Valuation loss on finished goods,Valuation loss on finished goods-COS
715,jppfs_cor:ValuationLossOnRawMaterialsCOS,原材料評価損、売上原価,Valuation loss on raw materials,Valuation loss on raw materials-COS
716,jppfs_cor:SubtotalCOSFinishedGoods,小計、売上原価、製品,Subtotal,Subtotal-COS-finished goods
717,jppfs_cor:NetCOSFinishedGoods,差引、売上原価、製品,Net,Net-COS-finished goods
718,jppfs_cor:CostOfFinishedGoodsSold,製品売上原価,Cost of finished goods sold,Cost of finished goods sold
719,jppfs_cor:TransferToOtherAccountCOS,他勘定振替高、売上原価,Transfer to other account,Transfer to other account-COS
720,jppfs_cor:TransferFromOtherAccountCOS,他勘定受入高、売上原価,Transfer from other account,Transfer from other account-COS
721,jppfs_cor:TransferOfGoodsByMergerCOS,合併による商品受入高、売上原価,Transfer of goods by merger,Transfer of goods by merger-COS
722,jppfs_cor:CostPriceBalanceCOS,原価差額、売上原価,Cost price balance,Cost price balance-COS
723,jppfs_cor:CostOfMerchandiseAndFinishedGoodsSoldCOS,商品及び製品売上原価、売上原価,Cost of merchandise and finished goods sold,Cost of merchandise and finished goods sold-COS
724,jppfs_cor:BeginningMerchandiseAndFinishedGoodsCOS,商品及び製品期首たな卸高、売上原価,Beginning merchandise and finished goods,Beginning merchandise and finished goods-COS
725,jppfs_cor:CostOfPurchasedMerchandiseAndFinishedGoodsCOS,当期商品及び製品仕入高、売上原価,Cost of purchased merchandise and finished goods,Cost of purchased merchandise and finished goods-COS
726,jppfs_cor:TotalBeginningAndCostPurchasedMerchandiseAndFinishedGoodsCOS,合計、商品及び製品期首たな卸高及び当期仕入高、売上原価,Total,Total-beginning and cost purchased-merchandise and finished goods-COS
727,jppfs_cor:EndingMerchandiseAndFinishedGoodsCOS,商品及び製品期末たな卸高、売上原価,Ending merchandise and finished goods,Ending merchandise and finished goods-COS
728,jppfs_cor:CostOfRawMaterialSalesCOSExpOA,原材料売上原価、営業活動による費用・売上原価,Cost of raw material sales,Cost of raw material sales-COSExpOA
729,jppfs_cor:CostOfServiceSalesCOSExpOA,サービス売上原価、営業活動による費用・売上原価,Cost of service sales,Cost of service sales-COSExpOA
730,jppfs_cor:CostOfSalesRealEstateCOSExpOA,不動産売上原価、営業活動による費用・売上原価,Cost of sales - real estate,Cost of sales-real estate-COSExpOA
731,jppfs_cor:CostOfSalesOnDevelopmentBusinessCOSExpOA,開発事業売上原価、営業活動による費用・売上原価,Cost of sales on development business,Cost of sales on development business-COSExpOA
732,jppfs_cor:CostOfSalesOnRealEstateBusinessCOSExpOA,不動産事業売上原価、営業活動による費用・売上原価,Cost of sales on real estate business,Cost of sales on real estate business-COSExpOA
733,jppfs_cor:CostOfSalesOnLeaseBusinessCOSExpOA,賃貸事業売上原価、営業活動による費用・売上原価,Cost of sales on lease business,Cost of sales on lease business-COSExpOA
734,jppfs_cor:CostOfSalesOnSellingBusinessCOSExpOA,分譲事業売上原価、営業活動による費用・売上原価,Cost of sales on selling business,Cost of sales on selling business-COSExpOA
735,jppfs_cor:CostOfSalesOnOtherBusinessCOSExpOA,その他の事業売上原価、営業活動による費用・売上原価,Cost of sales on other business,Cost of sales on other business-COSExpOA
736,jppfs_cor:CostOfConstructionSalesCOSExpOA,工事売上原価、営業活動による費用・売上原価,Cost of construction sales,Cost of construction sales-COSExpOA
737,jppfs_cor:CostOfSalesOfSoftwareDevelopmentCOSExpOA,ソフトウエア開発売上原価、営業活動による費用・売上原価,Cost of sales of software development,Cost of sales of software development-COSExpOA
738,jppfs_cor:CostOfSalesOfInformationServiceCOSExpOA,情報サービス売上原価、営業活動による費用・売上原価,Cost of sales of information service,Cost of sales of information service-COSExpOA
739,jppfs_cor:CostOfSalesOfMaintenanceServiceCOSExpOA,保守売上原価、営業活動による費用・売上原価,Cost of sales of maintenance service,Cost of sales of maintenance service-COSExpOA
740,jppfs_cor:CostOfSalesOfGoodsOnConsignmentCOSExpOA,受託品売上原価、営業活動による費用・売上原価,Cost of sales of goods on consignment,Cost of sales of goods on consignment-COSExpOA
741,jppfs_cor:CostOfIndentSalesCOSExpOA,買付品売上原価、営業活動による費用・売上原価,Cost of indent sales,Cost of indent sales-COSExpOA
742,jppfs_cor:CostOfCompletedWorkCOSExpOA,完成業務原価、営業活動による費用・売上原価,Cost of completed work,Cost of completed work-COSExpOA
743,jppfs_cor:RentCostCOSExpOA,賃貸原価、営業活動による費用・売上原価,Rent cost,Rent cost-COSExpOA
744,jppfs_cor:CostOfRealEstateRentCOSExpOA,不動産賃貸原価、営業活動による費用・売上原価,Cost of real estate rent,Cost of real estate rent-COSExpOA
745,jppfs_cor:ExpensesOfRealEstateRentCOSExpOA,不動産賃貸費用、営業活動による費用・売上原価,Expenses of real estate rent,Expenses of real estate rent-COSExpOA
746,jppfs_cor:LeaseBusinessCostCOSExpOA,賃貸事業原価、営業活動による費用・売上原価,Lease business cost,Lease business cost-COSExpOA
747,jppfs_cor:SellingBusinessCostCOSExpOA,分譲事業原価、営業活動による費用・売上原価,Selling business cost,Selling business cost-COSExpOA
748,jppfs_cor:OtherBusinessCostCOSExpOA,その他の事業原価、営業活動による費用・売上原価,Other business cost,Other business cost-COSExpOA
749,jppfs_cor:AmortizationOfSoftwareCOSExpOA,ソフトウエア償却費、営業活動による費用・売上原価,Amortization of software,Amortization of software-COSExpOA
750,jppfs_cor:MaintenanceAndOperatingExpensesCOSExpOA,維持運転費、営業活動による費用・売上原価,Maintenance and operating expenses,Maintenance and operating expenses-COSExpOA
751,jppfs_cor:ProgramProductionExpensesCOSExpOA,番組制作費、営業活動による費用・売上原価,Program production expenses,Program production expenses-COSExpOA
752,jppfs_cor:ProgramExpensesCOSExpOA,番組費、営業活動による費用・売上原価,Program expenses,Program expenses-COSExpOA
753,jppfs_cor:BroadcastingExpensesCOSExpOA,放送費、営業活動による費用・売上原価,Broadcasting expenses,Broadcasting expenses-COSExpOA
754,jppfs_cor:OtherBusinessExpensesCOSExpOA,その他の事業費用、営業活動による費用・売上原価,Other business expenses,Other business expenses-COSExpOA
755,jppfs_cor:OtherCostCOSExpOA,その他の原価、営業活動による費用・売上原価,Other cost,Other cost-COSExpOA
756,jppfs_cor:OtherCOSExpOA,その他、営業活動による費用・売上原価,Other,Other-COSExpOA
757,jppfs_cor:FinancialExpensesAbstract,金融費用 [タイトル項目],Financial expenses,Financial expenses [abstract]
758,jppfs_cor:FinancialExpenses,金融費用,Financial expenses,Financial expenses
759,jppfs_cor:CostOfOperationalInvestmentSecuritiesCOSExpOA,営業投資有価証券売上原価、営業活動による費用・売上原価,Cost of operational investment securities,Cost of operational investment securities-COSExpOA
760,jppfs_cor:InterestOnLoansCOSExpOA,借入金利息、営業活動による費用・売上原価,Interest on loans,Interest on loans-COSExpOA
761,jppfs_cor:BorrowingFeeOnSecuritiesCOSExpOA,有価証券借入料、営業活動による費用・売上原価,Borrowing fee on securities,Borrowing fee on securities-COSExpOA
