,Document,ordinanceCode,formCode,DocumentClass
110,XBRLの修正（外国会社－外国会社届出書）,10,718001,訂正有価証券届出書
111,届出の取下げ願い（二号、二号の二、二号の三、二号の五、二号の六様式）,10,990004,届出の取下げ願い
112,届出の取下げ願い（二号の四、二号の七様式）,10,991004,届出の取下げ願い
113,届出の取下げ願い（七号～七号の五様式）,10,992004,届出の取下げ願い
114,内部統制報告書,15,010000,内部統制報告書
115,訂正内部統制報告書,15,010001,訂正内部統制報告書
116,内部統制報告書,15,020000,内部統制報告書
117,訂正内部統制報告書,15,020001,訂正内部統制報告書
118,外国会社内部統制報告書,15,030000,内部統制報告書
119,訂正外国会社内部統制報告書,15,030001,訂正内部統制報告書
120,有価証券通知書,20,010000,有価証券通知書
121,変更有価証券通知書,20,010001,変更通知書（有価証券通知書）
122,有価証券届出書（通常方式）,20,020000,有価証券届出書
123,訂正有価証券届出書（通常方式）,20,020001,訂正有価証券届出書
124,有価証券届出書（組込方式）,20,022000,有価証券届出書
125,訂正有価証券届出書（組込方式）,20,022001,訂正有価証券届出書
126,有価証券届出書（参照方式）,20,023000,有価証券届出書
127,訂正有価証券届出書（参照方式）,20,023001,訂正有価証券届出書
128,外国者届出書,20,024000,有価証券届出書
129,外国者訂正届出書,20,024001,訂正有価証券届出書
130,有価証券報告書,20,030000,有価証券報告書
131,訂正有価証券報告書,20,030001,訂正有価証券報告書
132,有価証券報告書（法24条3項に基づくもの）,20,040000,有価証券報告書
133,訂正有価証券報告書（法24条3項に基づくもの）,20,040001,訂正有価証券報告書
134,外国者報告書,20,042000,有価証券報告書
135,外国者訂正報告書,20,042001,訂正有価証券報告書
136,外国者半期報告書,20,042100,半期報告書
137,外国者半期訂正報告書,20,042101,訂正半期報告書
138,半期報告書,20,050000,半期報告書
139,訂正半期報告書,20,050001,訂正半期報告書
140,発行登録書,20,060000,発行登録書
141,訂正発行登録書,20,070001,訂正発行登録書
142,発行登録取下届出書,20,080004,発行登録取下届出書
143,発行登録追補書類,20,090003,発行登録追補書類
144,変更発行登録通知書,20,100001,変更通知書（発行登録通知書）
145,発行登録通知書,20,100005,発行登録通知書
146,届出の取下げ願い,20,990004,届出の取下げ願い
147,臨時報告書,20,999000,臨時報告書
148,訂正臨時報告書,20,999001,訂正臨時報告書
149,外国者臨時報告書,20,999100,臨時報告書
150,訂正外国者臨時報告書,20,999101,訂正臨時報告書
151,有価証券通知書（内国投資信託受益証券）,30,01A000,有価証券通知書
152,変更有価証券通知書（内国投資信託受益証券）,30,01A001,変更通知書（有価証券通知書）
153,有価証券通知書（内国投資証券）,30,01B000,有価証券通知書
154,変更有価証券通知書（内国投資証券）,30,01B001,変更通知書（有価証券通知書）
155,有価証券通知書（外国投資信託受益証券）,30,01C000,有価証券通知書
156,変更有価証券通知書（外国投資信託受益証券）,30,01C001,変更通知書（有価証券通知書）
157,有価証券通知書（外国投資証券）,30,01D000,有価証券通知書
158,変更有価証券通知書（外国投資証券）,30,01D001,変更通知書（有価証券通知書）
159,変更有価証券通知書（外国貸付債権信託受益証券）,30,020001,変更通知書（有価証券通知書）
160,有価証券通知書（内国資産流動化証券）,30,022000,有価証券通知書
161,変更有価証券通知書（内国資産流動化証券）,30,022001,変更通知書（有価証券通知書）
162,有価証券通知書（外国資産流動化証券）,30,023000,有価証券通知書
163,変更有価証券通知書（外国資産流動化証券）,30,023001,変更通知書（有価証券通知書）
164,有価証券通知書（内国資産信託流動化受益証券）,30,024000,有価証券通知書
165,変更有価証券通知書（内国資産信託流動化受益証券）,30,024001,変更通知書（有価証券通知書）
166,有価証券通知書（外国資産信託流動化受益証券）,30,025000,有価証券通知書
167,変更有価証券通知書（外国資産信託流動化受益証券）,30,025001,変更通知書（有価証券通知書）
168,変更有価証券通知書（貸付債権信託受益権）,30,030001,変更通知書（有価証券通知書）
169,変更有価証券通知書（内国組合契約出資持分）,30,032001,変更通知書（有価証券通知書）
170,変更有価証券通知書（外国組合契約出資持分）,30,033001,変更通知書（有価証券通知書）
171,有価証券通知書（内国信託受益証券等）,30,03A000,有価証券通知書
172,変更有価証券通知書（内国信託受益証券等）,30,03A001,変更通知書（有価証券通知書）
173,有価証券通知書（外国信託受益証券等）,30,03B000,有価証券通知書
174,変更有価証券通知書（外国信託受益証券等）,30,03B001,変更通知書（有価証券通知書）
175,有価証券通知書（内国抵当証券）,30,03C000,有価証券通知書
176,変更有価証券通知書（内国抵当証券）,30,03C001,変更通知書（有価証券通知書）
177,有価証券通知書（外国抵当証券）,30,03D000,有価証券通知書
178,変更有価証券通知書（外国抵当証券）,30,03D001,変更通知書（有価証券通知書）
179,有価証券通知書（内国有価証券投資事業権利等）,30,03E000,有価証券通知書
180,変更有価証券通知書（内国有価証券投資事業権利等）,30,03E001,変更通知書（有価証券通知書）
181,有価証券通知書（外国有価証券投資事業権利等）,30,03F000,有価証券通知書
182,変更有価証券通知書（外国有価証券投資事業権利等）,30,03F001,変更通知書（有価証券通知書）
183,有価証券届出書（内国投資信託受益証券）,30,04A000,有価証券届出書
184,訂正有価証券届出書（内国投資信託受益証券）,30,04A001,訂正有価証券届出書
185,有価証券届出書（内国投資証券）,30,04B000,有価証券届出書
186,訂正有価証券届出書（内国投資証券）,30,04B001,訂正有価証券届出書
187,有価証券届出書（外国投資信託受益証券）,30,04C000,有価証券届出書
188,訂正有価証券届出書（外国投資信託受益証券）,30,04C001,訂正有価証券届出書
189,外国会社届出書（外国投資信託受益証券）,30,04C200,有価証券届出書
190,外国会社訂正届出書（外国投資信託受益証券）,30,04C201,訂正有価証券届出書
191,有価証券届出書（外国投資証券）,30,04D000,有価証券届出書
192,訂正有価証券届出書（外国投資証券）,30,04D001,訂正有価証券届出書
193,有価証券届出書（組込方式・内国投資証券）,30,04E000,有価証券届出書
194,訂正有価証券届出書（組込方式・内国投資証券）,30,04E001,訂正有価証券届出書
195,有価証券届出書（参照方式・内国投資証券）,30,04F000,有価証券届出書
196,訂正有価証券届出書（参照方式・内国投資証券）,30,04F001,訂正有価証券届出書
197,有価証券届出書（組込方式・外国投資証券）,30,04G000,有価証券届出書
198,訂正有価証券届出書（組込方式・外国投資証券）,30,04G001,訂正有価証券届出書
199,外国会社届出書（外国投資証券）,30,04G300,有価証券届出書
200,外国会社訂正届出書（外国投資証券）,30,04G301,訂正有価証券届出書
201,有価証券届出書（参照方式・外国投資証券）,30,04H000,有価証券届出書
202,訂正有価証券届出書（参照方式・外国投資証券）,30,04H001,訂正有価証券届出書
203,訂正有価証券届出書（外国貸付債権信託受益証券）,30,050001,訂正有価証券届出書
204,有価証券届出書（内国資産流動化証券）,30,052000,有価証券届出書
205,訂正有価証券届出書（内国資産流動化証券）,30,052001,訂正有価証券届出書
206,有価証券届出書（組込方式・特定内国資産流動化証券）,30,052200,有価証券届出書
207,訂正有価証券届出書（組込方式・特定内国資産流動化証券）,30,052201,訂正有価証券届出書
208,有価証券届出書（参照方式・特定内国資産流動化証券）,30,052300,有価証券届出書
209,訂正有価証券届出書（参照方式・特定内国資産流動化証券）,30,052301,訂正有価証券届出書
210,有価証券届出書（外国資産流動化証券）,30,053000,有価証券届出書
211,訂正有価証券届出書（外国資産流動化証券）,30,053001,訂正有価証券届出書
212,有価証券届出書（組込方式・特定外国資産流動化証券）,30,053200,有価証券届出書
213,訂正有価証券届出書（組込方式・特定外国資産流動化証券）,30,053201,訂正有価証券届出書
214,有価証券届出書（参照方式・特定外国資産流動化証券）,30,053300,有価証券届出書
215,訂正有価証券届出書（参照方式・特定外国資産流動化証券）,30,053301,訂正有価証券届出書
216,外国会社届出書（外国資産流動化証券）,30,053400,有価証券届出書
217,外国会社訂正届出書（外国資産流動化証券）,30,053401,訂正有価証券届出書
218,有価証券届出書（内国資産信託流動化受益証券）,30,054000,有価証券届出書
219,訂正有価証券届出書（内国資産信託流動化受益証券）,30,054001,訂正有価証券届出書
220,有価証券届出書（外国資産信託流動化受益証券）,30,055000,有価証券届出書
221,訂正有価証券届出書（外国資産信託流動化受益証券）,30,055001,訂正有価証券届出書
222,外国会社届出書（外国資産信託流動化証券）,30,055200,有価証券届出書
223,外国会社訂正届出書（外国資産信託流動化証券）,30,055201,訂正有価証券届出書
224,訂正有価証券届出書（貸付債権信託受益権）,30,060001,訂正有価証券届出書
225,訂正有価証券届出書（内国組合契約出資持分）,30,062001,訂正有価証券届出書
226,訂正有価証券届出書（外国組合契約出資持分）,30,063001,訂正有価証券届出書
227,有価証券届出書（内国信託受益証券等）,30,06A000,有価証券届出書
228,訂正有価証券届出書（内国信託受益証券等）,30,06A001,訂正有価証券届出書
229,有価証券届出書（外国信託受益証券等）,30,06B000,有価証券届出書
230,訂正有価証券届出書（外国信託受益証券等）,30,06B001,訂正有価証券届出書
231,外国会社届出書（外国信託受益証券）,30,06B200,有価証券届出書
232,外国会社訂正届出書（外国信託受益証券）,30,06B201,訂正有価証券届出書
233,有価証券届出書（内国抵当証券）,30,06C000,有価証券届出書
234,訂正有価証券届出書（内国抵当証券）,30,06C001,訂正有価証券届出書
235,有価証券届出書（外国抵当証券）,30,06D000,有価証券届出書
236,訂正有価証券届出書（外国抵当証券）,30,06D001,訂正有価証券届出書
237,外国会社届出書（外国抵当証券）,30,06D200,有価証券届出書
238,外国会社訂正届出書（外国抵当証券）,30,06D201,訂正有価証券届出書
239,有価証券届出書（内国有価証券投資事業権利等）,30,06E000,有価証券届出書
240,訂正有価証券届出書（内国有価証券投資事業権利等）,30,06E001,訂正有価証券届出書
241,有価証券届出書（外国有価証券投資事業権利等）,30,06F000,有価証券届出書
242,訂正有価証券届出書（外国有価証券投資事業権利等）,30,06F001,訂正有価証券届出書
243,外国会社届出書（外国有価証券投資事業権利等）,30,06F200,有価証券届出書
244,外国会社訂正届出書（外国有価証券投資事業権利等）,30,06F201,訂正有価証券届出書
245,有価証券報告書（内国投資信託受益証券）,30,06G000,有価証券報告書
246,訂正有価証券報告書（内国投資信託受益証券）,30,06G001,訂正有価証券報告書
247,訂正有価証券届出書（内国投資信託受益証券）,30,06G101,訂正有価証券届出書
248,訂正有価証券報告書（内国投資信託受益証券）,30,06G201,訂正有価証券報告書
249,有価証券報告書（外国投資信託受益証券）,30,06H000,有価証券報告書
250,訂正有価証券報告書（外国投資信託受益証券）,30,06H001,訂正有価証券報告書
251,訂正有価証券届出書（外国投資信託受益証券）,30,06H101,訂正有価証券届出書
252,訂正有価証券報告書（外国投資信託受益証券）,30,06H201,訂正有価証券報告書
253,有価証券報告書（内国信託受益証券等）,30,06I000,有価証券報告書
254,訂正有価証券報告書（内国信託受益証券等）,30,06I001,訂正有価証券報告書
255,訂正有価証券届出書（内国信託受益証券等）,30,06I101,訂正有価証券届出書
256,訂正有価証券報告書（内国信託受益証券等）,30,06I201,訂正有価証券報告書
257,有価証券報告書（外国信託受益証券等）,30,06J000,有価証券報告書
258,訂正有価証券報告書（外国信託受益証券等）,30,06J001,訂正有価証券報告書
259,訂正有価証券届出書（外国信託受益証券等）,30,06J101,訂正有価証券届出書
260,訂正有価証券報告書（外国信託受益証券等）,30,06J201,訂正有価証券報告書
261,有価証券報告書（内国投資信託受益証券）,30,07A000,有価証券報告書
262,訂正有価証券報告書（内国投資信託受益証券）,30,07A001,訂正有価証券報告書
263,有価証券報告書（内国投資証券）,30,07B000,有価証券報告書
264,訂正有価証券報告書（内国投資証券）,30,07B001,訂正有価証券報告書
265,有価証券報告書（外国投資信託受益証券）,30,07C000,有価証券報告書
266,訂正有価証券報告書（外国投資信託受益証券）,30,07C001,訂正有価証券報告書
267,有価証券報告書（外国投資証券）,30,07D000,有価証券報告書
268,訂正有価証券報告書（外国投資証券）,30,07D001,訂正有価証券報告書
269,外国会社報告書,30,07I000,有価証券報告書
270,外国会社訂正報告書,30,07I001,訂正有価証券報告書
